Gene Symbol	Gene name	Fold change NUP98/HOXA9	NUP98/HHEX
Prnp	Prion protein (Prnp)	2.3	2.3
Car1	Carbonic anhydrase 1(Car1)	4.7	1.5
Hbb-b2	Hemoglobin, beta adult minor chain (Hbb-b2)	3.1	3.4
CD28	CD28 antigen	4.2	1.8
Rab38	Rab38, member of RAS oncogene family (Rab38)	2.4	1.6
Hba-a1	Hemoglobin alpha, adult chain 1 (Hba-a1)	1.7	1.9
Mylc2pl	Myosin light chain 2, precursor lymphocyte-specific (Mylc2pl)	4.7	1.9
Pbx3	Pre B-cell leukemia transcription factor 3 (Pbx3)	5.4	1.9
Mef2c	Myocyte enhancer factor 2C (Mef2c)	2	1.6
Calcrl	Calcitonin receptor-like (Calcrl)	5.6	1.7
Tcf12	Transcription factor 12 (Tcf12)	1.8	2.1
Hba-a1	Hemoglobin alpha, adult chain 1 (Hba-a1)	1.7	2
Prnp	Prion protein (Prnp)	3.2	3.1
Hoxa5	Homeo box A5 (Hoxa5)	12.1	1.7
RIKEN	RIKEN cDNA 4732435N03 gene	2.3	1.5
Hba-a1	Hemoglobin alpha, adult chain 1 (Hba-a1)	2.4	2.9
Hoxa9	Homeo box A9 (Hoxa9)	11.3	2.4
Crisp1	Cysteine-rich secretory protein 1 (Crisp1)	126.5	-1.6
Kit	Kit oncogene (Kit)	-2.8	-1.9
Smpx	Small muscle protein, X-linked (Smpx)	-2.4	-2.2
Akr1c18	Aldo-keto reductase family 1, member C18 (Akr1c18)	-2.8	2.6
C3ar1	Complement component 3a receptor 1 (C3ar1)	-1.9	-2.2
Clnk	Cytokine-dependent hematopoietic cell linker (Clnk)	-2.5	-1.7
Hs6st2	Heparan sulfate 6-O-sulfotransferase 2 (Hs6st2)	-2.3	-1.9
Papss2	3-phosphoadenosine 5-phosphosulfate synthase 2 (Papss2)	-2.5	-1.6
Mcpt1	Mast cell protease 1 (Mcpt1)	-10.4	-4.2
Rprm	Reprimo, TP53 dependent G2 arrest mediator candidate (Rprm)	-1.9	-1.8
Ela2	Elastase 2, neutrophil (Ela2)	-2.4	-1.6
Mcpt4	Mast cell protease 4 (Mcpt4)	-10	-3.1
Tpsab1	Tryptase alpha/beta 1 (Tpsab1)	-15.4	-2.2
Hs6st2	Heparan sulfate 6-O-sulfotransferase 2 (Hs6st2)	-4.8	-3
Kit	Kit oncogene (Kit)	-2.5	-1.9
