Gene symbol	Gene title	Avg FC	FC range	Category
MYH6	myosin, heavy polypeptide 6, cardiac muscle, alpha	3001	6854 -915	X
SMPX	small muscle protein, X-linked	2877	6928 -795	O
MYH7	myosin, heavy polypeptide 7, cardiac muscle, beta	2401	6153 -341	O
TNNI1	troponin I type 1 (skeletal, slow)	1990	6078 -100	O
PLN	phospholamban	1899	3542 -732	O
CSRP3	cysteine and glycine-rich protein 3 (cardiac LIM protein)	1481	2345 -700	O
LUM	lumican	1375	2989 -365	O
IGFBP7	insulin-like growth factor binding protein 7	1269	2781 -518	N
COL3A1	collagen, type III, alpha 1	1234	2187 -538	O
IGF2	insulin-like growth factor 2 (somatomedin A)	1149	1374 -965	N
SRD5A2L2	steroid 5 alpha-reductase 2-like 2	1141	3432 -69	X
MYOZ2	myozenin 2	1068	1857 -481	O
NPNT	nephronectin	1020	1590 -708	N
TF	transferrin	942	1759 -218	U
MGP	matrix Gla protein	860	2671 -182	O
FGB	fibrinogen beta chain	813	1425 -299	O
TNNT2	troponin T type 2 (cardiac)	757	1049 -359	O
LDB3	LIM domain binding 3	750	2195 -134	O
CXCL14	chemokine (C-X-C motif) ligand 14	722	1617 -228	O
FGG	fibrinogen gamma chain	686	1708 -161	U
GABRP	gamma-aminobutyric acid (GABA) A receptor, pi	653	1514 -158	X
MYL7	myosin, light polypeptide 7, regulatory	578	1303 -104	O
TDO2	tryptophan 2,3-dioxygenase	562	1116 -290	N
TTR	transthyretin (prealbumin, amyloidosis type I)	510	1209 -100	U
TTN	titin	494	1325 -77	O
DCN	decorin	451	1066 -160	O
DNM3	dynamin 3	448	1240 -132	-
MMP1	matrix metallopeptidase 1 (interstitial collagenase)	390	633 -137	X
COL6A3	collagen, type VI, alpha 3	383	505 -137	N
C5orf23	chromosome 5 open reading frame 23	370	844 -38	N
SERPINA1	serpin peptidase inhibitor, clade A, member 1	365	774 -112	U
AHSG	alpha-2-HS-glycoprotein	353	498 -248	N
CKM	creatine kinase, muscle	347	510 -171	O
A2M	alpha-2-macroglobulin	337	635 -66	N
MYOM1	myomesin 1 (skelemin) 185kDa	318	954 -64	O
FABP1	fatty acid binding protein 1, liver	307	828 -27	X
CLIC5	chloride intracellular channel 5	307	503 -129	-
GUCY1A3	guanylate cyclase 1, soluble, alpha 3	294	535 -126	N
