Gene	GeneID	Probeset	Is.Sense	Fold.change	P.Adj	Symbol	Symbol.alt	Chromosome	Alternative symbols	Official full name
AQP5	362	ADXCRPD.7995.C1_x_at	TRUE	-4.08880949	5.23972E-38	AQP5	AQP5	12q13		aquaporin 5
CTSE	1510	ADXCRAG_AJ250717_s_at	TRUE	-3.91370103	1.01578E-24	CTSE	CTSE	1q31	CATE	cathepsin E
REG4	83998	ADXCRIH.384.C1_s_at	TRUE	-3.114200901	9.81997E-21	REG4	REG4	1p13.1-p12	GISP|REG-IV|RELP	regenerating islet-derived family, member 4
CDX2	1045	ADXCRAG_BC014461_x_at	TRUE	2.116284461	6.93603E-18	CDX2	CDX2	13q12.3	CDX-3|CDX3	caudal type homeobox 2
SOX8	30812	ADXCRAG_AK024491_s_at	TRUE	-2.434287213	3.87114E-17	SOX8	SOX8	16p13.3	MGC24837	SRY (sex determining region Y)-box 8
CDX2	1045	ADXCRAG_BC014461_at	TRUE	2.075568638	3.87114E-17	CDX2	CDX2	13q12.3	CDX-3|CDX3	caudal type homeobox 2
VNN1	8876	ADXCRAG_AJ132099_s_at	TRUE	-1.206950825	1.03442E-16	VNN1	VNN1	6q23-q24	HDLCQ8|MGC116930|MGC116931|MGC116932|MGC116933|Tiff66	vanin 1
F5	2153	ADXCRAG_M14335_s_at	TRUE	-1.51238356	1.432E-15	F5	F5	1q23	FVL|PCCF	coagulation factor V (proaccelerin, labile factor)
HSF5	124535	ADXCRSS.Hs#S2988180_at	TRUE	2.485965802	4.21248E-14	HSF5	HSF5	17q22	FLJ40311|HSF 5|HSTF 5|MGC134827	heat shock transcription factor family member 5
LYZ	4069	ADXCRIH.1305.C1_s_at	TRUE	-2.206758982	1.1821E-13	LYZ	LYZ	12q15	LZM	lysozyme
TM4SF4	7104	ADXCRPD.7687.C1_at	TRUE	-2.091757161	4.14078E-13	TM4SF4	TM4SF4	3q25	FLJ31015|ILTMP|il-TMP	transmembrane 4 L six family member 4
LYZ	4069	ADXCRIH.31.C9_at	FALSE	-2.296844244	1.7225E-12	LYZ	LYZ	12q15	LZM	lysozyme
HSF5	124535	ADXCRPD.10572.C1_at	TRUE	1.92053016	2.81868E-12	HSF5	HSF5	17q22	FLJ40311|HSF 5|HSTF 5|MGC134827	heat shock transcription factor family member 5
KLK10	5655	ADXCRPD.7217.C1_at	FALSE	-1.492633738	3.53247E-12	KLK10	KLK10	19q13	NES1|PRSSL1	kallikrein-related peptidase 10
ANXA10	11199	ADXCRAD_CK823169_at	TRUE	-1.073589908	4.41294E-12	ANXA10	ANXA10	4q33	ANX14	annexin A10
SATB2	23314	ADXCRPD.10016.C1_at	TRUE	2.390420921	4.71603E-12	SATB2	SATB2	2q33	FLJ21474|FLJ32076|KIAA1034|MGC119474|MGC119477	SATB homeobox 2
LOC388199	388199	ADXCRPD.7300.C1_s_at	FALSE	-1.706528279	4.71603E-12	PRR25	PRR25	16p13.3	gs64	proline rich 25
TFCP2L1	29842	ADXCRPDRC.8321.C1_s_at	TRUE	1.515726499	5.04281E-12	TFCP2L1	TFCP2L1	2q14	CRTR1|LBP-9|LBP9	transcription factor CP2-like 1
PIWIL1	9271	ADXCRAG_BC028581_s_at	TRUE	-0.777321442	5.72019E-12	PIWIL1	PIWIL1	12q24.33	HIWI|MIWI|PIWI	piwi-like 1 (Drosophila)
LOC146336	146336	ADXCRAG_NM_182510_s_at	TRUE	-1.329665775	3.76856E-11	LOC146336		16p13.3	FLJ32252	hypothetical LOC146336
HSF5	124535	ADXCRSS.Hs#S3740849_at	FALSE	1.648371945	3.76856E-11	HSF5	HSF5	17q22	FLJ40311|HSF 5|HSTF 5|MGC134827	heat shock transcription factor family member 5
C13orf18	80183	ADXCRAD_NM_025113_s_at	TRUE	2.057983259	6.20522E-11	C13orf18	C13orf18	13q14.13	FLJ21562|FLJ43762	chromosome 13 open reading frame 18
TM4SF4	7104	ADXCRAD_BM825250_s_at	TRUE	-1.32597252	1.17238E-10	TM4SF4	TM4SF4	3q25	FLJ31015|ILTMP|il-TMP	transmembrane 4 L six family member 4
VNN1	8876	ADXCRAD_BP299698_s_at	TRUE	-1.288000809	1.24908E-10	VNN1	VNN1	6q23-q24	HDLCQ8|MGC116930|MGC116931|MGC116932|MGC116933|Tiff66	vanin 1
CTSE	1510	ADXCRPD.14332.C1_at	FALSE	-0.763127951	3.93817E-10	CTSE	CTSE	1q31	CATE	cathepsin E
PIWIL1	9271	ADXCRAG_BC028581_x_at	TRUE	-1.916075411	5.47083E-10	PIWIL1	PIWIL1	12q24.33	HIWI|MIWI|PIWI	piwi-like 1 (Drosophila)
GGH	8836	ADXCRIH.546.C1_at	TRUE	1.937469824	8.11404E-10	GGH	GGH	8q12.3	GH	gamma-glutamyl hydrolase (conjugase, folylpolygammaglutamyl hydrolase)
HSF5	124535	ADXCRSS.Hs#S3012761_at	FALSE	1.540868572	8.44211E-10	HSF5	HSF5	17q22	FLJ40311|HSF 5|HSTF 5|MGC134827	heat shock transcription factor family member 5
DUSP4	1846	ADXCRAD_BM852899_at	TRUE	-1.288331341	1.16019E-09	DUSP4	DUSP4	8p12-p11	HVH2|MKP-2|MKP2|TYP	dual specificity phosphatase 4
SOX13	9580	ADXCRAD_BX094012_s_at	TRUE	-0.789625818	1.53414E-09	SOX13	SOX13	1q32	ICA12|MGC117216|Sox-13	SRY (sex determining region Y)-box 13
B3GALT5	10317	ADXCRAG_NM_006057_s_at	TRUE	-0.918274989	3.46723E-09	B3GALT5	B3GALT5	21q22.3	B3GalT-V|B3GalTx|B3T5|GLCT5|beta3Gal-T5	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5
SLC14A1	6563	ADXCRAD_BU664688_s_at	TRUE	-1.041714164	3.58567E-09	SLC14A1	SLC14A1	18q11-q12	FLJ33745|FLJ41687|HUT11|HsT1341|JK|RACH1|UT-B1|UT1|UTE	solute carrier family 14 (urea transporter), member 1 (Kidd blood group)
TRNP1	388610	ADXCRAG_XM_371238_at	TRUE	-1.229127515	3.58567E-09	TRNP1	TRNP1	1p36.11	C1orf225|TNRP	TMF1-regulated nuclear protein 1
SYT13	57586	ADXCRPD.12823.C1_s_at	TRUE	-0.879576563	4.10618E-09	SYT13	SYT13	11p12-p11	KIAA1427	synaptotagmin XIII
TRNP1	388610	ADXCRAD_BM718216_s_at	TRUE	-1.486209608	4.99205E-09	TRNP1	TRNP1	1p36.11	C1orf225|TNRP	TMF1-regulated nuclear protein 1
RNF43	54894	ADXCRSS.Hs#S1405714_at	TRUE	1.55514778	6.44381E-09	RNF43	RNF43	17q22	DKFZp781H02126|DKFZp781H0392|FLJ20315|FLJ77466|FLJ99338|MGC125630|RNF124|URCC	ring finger protein 43
