Gene name	Probe set	n	c	a	b
ABAT	209459_s_at	157	0.83	1.14	-7.6
ADRA2A	209869_at	157	0.64	0.6	-0.8
APOD	201525_at	158	0.72	0.77	-2.7
ASPH	210896_s_at	155	0.72	0.91	-4.8
AURKA	204092_s_at	158	0.67	0.8	-2.4
AZGP1	209309_at	158	0.79	0.67	-0.8
BIRC5	202095_s_at	153	0.75	0.94	-3.8
C4A	208451_s_at	158	0.86	0.76	-2.3
CCL8	214038_at	149	0.66	0.76	-2.8
CCND1	208712_at	146	0.75	0.75	-2.4
CD3D	213539_at	141	0.67	0.65	0
CDH1	201131_s_at	157	0.76	0.86	-3
CEACAM5	201884_at	148	0.67	0.78	0.1
CELSR2	204029_at	158	0.69	0.71	-1.4
CHPT1	221675_s_at	147	0.62	0.68	-1.5
CKMT1A	202712_s_at	150	0.81	0.57	0.4
COL4A5	213110_s_at	154	0.79	0.77	-2
CTTN	201059_at	158	0.72	0.65	-0.4
CXCL12	209687_at	157	0.62	0.56	0.3
CYBRD1	217889_s_at	153	0.62	1.09	-8.5
DCN	209335_at	148	0.59	0.55	-1.1
DHCR7	201791_s_at	158	0.75	0.89	-4.4
E2F8	219990_at	140	0.56	0.69	-1.6
EEF1A2	204540_at	146	0.79	0.74	-2.5
EGFR	201983_s_at	140	0.61	0.75	-2.3
EPHX2	209368_at	149	0.62	1.13	-7.4
ERBB2	216836_s_at	147	0.7	0.65	-0.8
ESR1	205225_at	148	0.82	0.64	1
FGFR2	203638_s_at	142	0.77	0.95	-3.3
GJA1	201667_at	156	0.8	0.72	-0.4
GSTM1	204550_x_at	141	0.74	0.35	5.8
HSPA2	211538_s_at	153	0.84	0.84	-3
IL6ST	212196_at	159	0.71	0.81	-5
INPP4B	205376_at	157	0.77	0.93	-6.8
KRT15	204734_at	157	0.79	0.91	-6.2
KRT5	201820_at	151	0.68	0.57	-0.9
LTF	202018_s_at	150	0.88	0.86	-2.1
MAPT	206401_s_at	156	0.83	0.76	-2.5
MGP	202291_s_at	157	0.71	0.49	4.3
MMP1	204475_at	139	0.7	1.05	-4.3
NMU	206023_at	156	0.71	1.12	-5.1
PCNA	201202_at	159	0.52	0.78	-1
PGR	208305_at	143	0.78	0.82	-4.8
PIP	206509_at	154	0.83	0.74	0.7
PLAT	201860_s_at	158	0.78	0.79	-2.6
PRSS16	208165_s_at	153	0.71	0.57	0.1
PTGER3	210832_x_at	151	0.7	0.4	2.5
PTHLH	211756_at	152	0.57	0.63	-2.4
PTPRT	205948_at	150	0.81	0.62	-0.9
PVALB	205336_at	152	0.8	0.74	-1.5
RACGAP1	222077_s_at	147	0.52	0.86	-2.5
RBBP8	203344_s_at	157	0.71	0.71	-0.9
SCGB2A1	205979_at	143	0.83	0.82	-2.6
SCUBE2	219197_s_at	148	0.88	0.7	1.4
SEC14L2	204541_at	158	0.74	0.86	-5.7
SERPINA3	202376_at	146	0.54	0.72	5.5
SQLE	209218_at	135	0.56	0.55	4
STC2	203438_at	156	0.86	0.83	-3.6
TFAP2B	214451_at	155	0.88	0.75	-2.3
TOP2A	201292_at	139	0.54	0.88	-3.4
TRIM29	202504_at	151	0.7	0.73	-2
UBE2C	202954_at	148	0.72	0.79	-1.4
WNT5A	205990_s_at	148	0.77	0.76	-2.4
