GO	MicroRNA	p	FDR	ENRICHMENT
cell cycle	mmu-miR-298	4.88567E-09	0.07625	2.189427
cell cycle	mmu-miR-362-5p	4.88567E-09	0.07625	2.189427
cell cycle	mmu-miR-450a-3p	4.88567E-09	0.07625	2.189427
cell cycle	mmu-miR-467a	4.88567E-09	0.07625	2.189427
cell cycle	mmu-miR-495	4.88567E-09	0.07625	2.189427
cell cycle	mmu-miR-666-5p	4.88567E-09	0.07625	2.189427
cell cycle	mmu-miR-670	4.88567E-09	0.07625	2.189427
proteolysis	mmu-miR-298	1.16468E-08	0.07375	2.088922
proteolysis	mmu-miR-362-5p	1.16468E-08	0.07375	2.088922
proteolysis	mmu-miR-450a-3p	1.16468E-08	0.07375	2.088922
proteolysis	mmu-miR-467a	1.16468E-08	0.07375	2.088922
proteolysis	mmu-miR-495	1.16468E-08	0.07375	2.088922
proteolysis	mmu-miR-666-5p	1.16468E-08	0.07375	2.088922
proteolysis	mmu-miR-670	1.16468E-08	0.07375	2.088922
protein transport	mmu-miR-298	1.76691E-07	0.08875	2.021877
protein transport	mmu-miR-362-5p	1.76691E-07	0.08875	2.021877
protein transport	mmu-miR-450a-3p	1.76691E-07	0.08875	2.021877
protein transport	mmu-miR-467a	1.76691E-07	0.08875	2.021877
protein transport	mmu-miR-495	1.76691E-07	0.08875	2.021877
protein transport	mmu-miR-666-5p	1.76691E-07	0.08875	2.021877
protein transport	mmu-miR-670	1.76691E-07	0.08875	2.021877
cell division	mmu-miR-298	5.19374E-07	0.0675	2.527686
cell division	mmu-miR-362-5p	5.19374E-07	0.0675	2.527686
cell division	mmu-miR-450a-3p	5.19374E-07	0.0675	2.527686
cell division	mmu-miR-467a	5.19374E-07	0.0675	2.527686
cell division	mmu-miR-495	5.19374E-07	0.0675	2.527686
cell division	mmu-miR-666-5p	5.19374E-07	0.0675	2.527686
cell division	mmu-miR-670	5.19374E-07	0.0675	2.527686
vesicle-mediated transport	mmu-miR-298	1.83779E-06	0.0625	2.754956
vesicle-mediated transport	mmu-miR-362-5p	1.83779E-06	0.0625	2.754956
vesicle-mediated transport	mmu-miR-450a-3p	1.83779E-06	0.0625	2.754956
vesicle-mediated transport	mmu-miR-467a	1.83779E-06	0.0625	2.754956
vesicle-mediated transport	mmu-miR-495	1.83779E-06	0.0625	2.754956
vesicle-mediated transport	mmu-miR-666-5p	1.83779E-06	0.0625	2.754956
vesicle-mediated transport	mmu-miR-670	1.83779E-06	0.0625	2.754956
G-protein coupled receptor protein signaling pathway	mmu-miR-298	2.67027E-06	0.06125	1.42356
G-protein coupled receptor protein signaling pathway	mmu-miR-362-5p	2.67027E-06	0.06125	1.42356
G-protein coupled receptor protein signaling pathway	mmu-miR-450a-3p	2.67027E-06	0.06125	1.42356
G-protein coupled receptor protein signaling pathway	mmu-miR-467a	2.67027E-06	0.06125	1.42356
G-protein coupled receptor protein signaling pathway	mmu-miR-495	2.67027E-06	0.06125	1.42356
G-protein coupled receptor protein signaling pathway	mmu-miR-666-5p	2.67027E-06	0.06125	1.42356
G-protein coupled receptor protein signaling pathway	mmu-miR-670	2.67027E-06	0.06125	1.42356
positive regulation of transcription from RNA polymerase II promoter	mmu-miR-298	3.09113E-06	0.0825	2.165271
positive regulation of transcription from RNA polymerase II promoter	mmu-miR-362-5p	3.09113E-06	0.0825	2.165271
positive regulation of transcription from RNA polymerase II promoter	mmu-miR-450a-3p	3.09113E-06	0.0825	2.165271
positive regulation of transcription from RNA polymerase II promoter	mmu-miR-467a	3.09113E-06	0.0825	2.165271
positive regulation of transcription from RNA polymerase II promoter	mmu-miR-495	3.09113E-06	0.0825	2.165271
positive regulation of transcription from RNA polymerase II promoter	mmu-miR-666-5p	3.09113E-06	0.0825	2.165271
positive regulation of transcription from RNA polymerase II promoter	mmu-miR-670	3.09113E-06	0.0825	2.165271
regulation of transcription	mmu-miR-298	3.75503E-06	0.07875	1.885144
regulation of transcription	mmu-miR-362-5p	3.75503E-06	0.07875	1.885144
regulation of transcription	mmu-miR-450a-3p	3.75503E-06	0.07875	1.885144
