Gene	Function	Fold Induction 2H	Fold Induction 24H	Reference
CAP10	Capsule	2.1	2.5	10
CAS1	O-Acetyl transferase	2.2	NA	40
CAS2	Capsule structure modification	NA	2.5	58
CAS31	Capsule O-acetylation	NA	2.8	57
CAS32	Capsule structure modification	2	NA	57
CNA1	Calcineurin	NA	3	61
FHB1	Flavohemoglobin denitrosylase	NA	4.6	21
FTR1	Iron transporter	2.4	2.1	48
GTH1	Glucose transporter	4.2	2.7	J. A. Alspaugh, unpublished
ICL1	Isocitrate lyase, glyoxylate cycle	3	NA	70
IPC1	Inositol-phosphoryl ceramide synthase 1	NA	4.1	54
LAC1	Laccase, melanin production	3.8		55
LAC2	Laccase, melanin production	3	3.4	55
PKA1	Protein kinase A	NA	2.1	25
SMG1	Aryl alcohol oxidase homolog	2.7	5.7	J. A. Alspaugh, unpublished
