Gene Symbol	Gene Name	Gene Chip Fold Change(INS/SAL)	qRT-PCR Fold Change(INS/SAL)
Arg1	Arginase 1, liver	9.42	24.38
Col1a2	Procollagen, type I, alpha 2	4.99	30.84
Col1a1	Procollagen, type I, alpha 1	4.76	–
Spp1	Secreted phosphoprotein 1	4.01	12.67
Col3a1	Procollagen, type III, alpha 1	3.9	27.08
Ccl6	Chemokine (C-C motif) ligand 6	3.87	–
Fbln2	Fibulin 2	3.07	8.15
Serpina3n	Serine (or cysteine) proteinase inhibitor, clade A, member3N	2.91	–
Fn1	Fibronectin 1	2.67	6.29
Tgfbi	Transforming growth factor, beta induced	2.63	8.11
Fcgr2b	Fc receptor, IgG, low affinity IIb	2.56	–
Postn	Periostin, osteoblast-specific factor	2.52	–
Bgn	Biglycan	2.37	3.97
Lzp-s	P lysozyme structural	2.33	4.12
F13a1	Coagulation factor XIII, A1 subunit	2.13	–
Lilrb4	Leukocyte immunoglobulin-like receptor, subfamily B,member 4	2.09	–
Cxcl4	Chemokine (C-X-C motif) ligand 4	2.09	10.24
H19	H19 fetal liver mRNA	2.05	–
Tagln	Transgelin	2.01	–
Prg1	Proteoglycan 1, secretory granule	2	8.9
Ecm1	Extracellular matrix protein 1	1.98	3.54
Col5a1	Procollagen, type V, alpha 1	1.97	–
C3ar1	Complement component 3a receptor 1	1.96	–
Timp1	Tissue inhibitor of metalloproteinase 1	1.96	2.95
H2-Aa	Histocompatibility 2, class II antigen A, alpha	1.95	–
Ptprc	Protein tyrosine phosphatase, receptor type, C	1.93	–
Cd68	CD68 antigen	1.91	2.55
C3	Complement component 3	1.87	4.72
