Curated Gene Symbol	Well ID	UG cluster	Gene Symbol	GeneBank	Fold-difference (eHCC/LGDN)	Parametric p-value
ATP5G3	1173605	Hs.429	ATP5G3	518	1.95	5.10E-05
SSBP1	1173734	Hs.490394	SSBP1	6742	1.83	9.58E-05
PTH1R	1173758	Hs.1019	PTHR1	5745	0.31	3.81E-04
HSPE1	1173801	Hs.1197	HSPE1	3336	2.54	9.20E-05
DPM1	1174492	Hs.301898	DPM1	8813	2.18	8.12E-04
MRPS23	1174612	Hs.5836	MRPS23	51649	0.54	7.37E-04
G3BP2	1174792	Hs.303676	G3BP2	9908	1.67	8.58E-04
OSBP2	1174986	Hs.517546	OSBP2	23762	0.5	6.73E-04
CABIN1	1175008	Hs.517478	CABIN1	23523	0.52	3.31E-04
SEMA4B	1175306	Hs.474935	SEMA4B	10509	0.55	4.84E-04
NDUFS4	1175448	Hs.528222	NDUFS4	4724	2.16	9.66E-04
SNX2	1175490	Hs.134822	SNX2	6643	2.09	1.66E-04
TIMM23	1175549	Hs.524308	TIMM23	10431	1.86	5.27E-04
WDR90	1175683	Hs.511903	WDR90	197335	0.63	9.21E-04
RAB3IL1	1175830	Hs.13759	RAB3IL1	5866	0.59	6.04E-04
RHOD	1175963	Hs.15114	RHOD	29984	0.52	4.64E-04
AIFM1	1176275	Hs.424932	PDCD8	9131	1.65	5.60E-04
TLK1	1176293	Hs.470586	TLK1	9874	1.87	1.37E-04
RABEPK	1176304	Hs.19012	RABEPK	10244	1.77	9.36E-04
C14orf142	1176400	Hs.20142	C14orf142	84520	2.13	3.88E-04
RMND5B	1176710	Hs.519804	RMND5B	64777	0.65	7.80E-04
NHP2	1176877	Hs.27222	NOLA2	55651	2.25	5.91E-04
ARHGEF3	1177104	Hs.476402	ARHGEF3	50650	0.45	3.08E-04
PGBD3	1177260	Hs.133444	PGBD3	267004	0.42	6.16E-05
NDUFA8	1177631	Hs.495039	NDUFA8	4702	2.11	1.31E-04
RNF6	1177706	Hs.136885	RNF6	6049	1.86	7.04E-04
MAN2A1	1177732	Hs.432822	MAN2A1	4124	2.4	3.87E-04
RAB36	1177982	Hs.369557	RAB36	9609	0.65	6.27E-04
TENM1	1178086	Hs.130438	ODZ3	55714	0.36	7.71E-05
SIRT2	1178197	Hs.466693	SIRT2	22933	0.58	9.86E-04
ZADH2	1178443	Hs.591065	ZADH2	284273	0.63	9.84E-04
CSN3	1178623	Hs.54415	CSN3	1448	0.58	1.77E-04
NMI	1178641	Hs.54483	NMI	9111	1.64	7.90E-04
KRT71	1178708	Hs.433845	KRT71	112802	0.39	1.96E-04
CELSR2	1178795	Hs.57652	CELSR2	1952	0.53	8.86E-04
SEMA3G	1178926	Hs.59729	SEMA3G	56920	0.44	5.10E-06
	1178934	Hs.400256	LOC285535	285535	0.48	3.93E-04
MYO10	1178994	Hs.481720	MYO10	4651	0.43	4.75E-04
ATP5H	1179096	Hs.514465	ATP5H	10476	1.8	7.11E-04
TRIP10	1179456	Hs.515094	TRIP10	9322	0.53	4.50E-06
MARCKSL1	1179542	Hs.75061	MARCKSL1	65108	0.6	8.61E-04
ODC1	1179584	Hs.467701	ODC1	4953	2.43	2.22E-04
PRSS8	1179755	Hs.75799	PRSS8	5652	0.47	1.70E-05
PGD	1179782	Hs.464071	PGD	5226	2.17	4.01E-04
ANK3	1179784	Hs.499725	ANK3	288	0.48	4.81E-04
ATP5O	1179859	Hs.409140	ATP5O	539	2.07	1.30E-04
PSMA5	1179896	Hs.632424	PSMA5	5686	2.61	3.97E-04
UBXN4	1179959	Hs.591242	UBXD2	23190	2.28	4.30E-06
DBI	1180131	Hs.78888	DBI	1622	2.12	3.09E-04
GNG10	1180192	Hs.534196	GNG10	2790	2.51	6.68E-04
TM9SF4	1180219	Hs.129244	TM9SF4	9777	0.47	2.48E-04
PSMC6	1180235	Hs.156171	PSMC6	5706	2.37	8.27E-04
PITPNA	1180274	Hs.429819	PITPNA	5306	0.56	4.35E-04
