hsa-miRNA	% miRNA Expression R/P	% miRNA Expression 2102Ep (U) vs NTera2 (U)	% miRNA Expression NTera2 D/U)	% miRNA Expression 2102Ep (D/U)
hsa-miR-223	1135.571231	NC	Up	NC
hsa-miR-206	1009.241373	-220	NC	NC
hsa-miR-30a3p	816.742082	NC	Up	NC
hsa-miR-368	815.2857788	3500	NC	NC
hsa-miR-10b	772.7130269	NC	Undet	NC
hsa-miR-338	770.4267522	41500	Up	Down
hsa-miR-195	716.6781978	NC	A	A
hsa-miR-93	584.9476069	-160	Down	NC
hsa-miR-23a	551.4310681	200	NC	NC
hsa-miR-185	526.5698431	120	NC	NC
hsa-miR-22	514.9294678	290	Up	NC
hsa-miR-339	492.5213166	28100	Up	NC
hsa-miR-186	447.9887044	-140	NC	NC
hsa-miR-128a	442.675849	-150	NC	NC
hsa-miR-374	436.9029661	-100	NC	NC
hsa-miR-193	400.2099215	1100	NC	NC
hsa-miR-106b	397.1898585	-160	NC	NC
hsa-miR-194	384.0507499	-100	NC	NC
hsa-miR-224	344.6998251	NC	Undet	NC
hsa-miR-222	342.9526571	110	NC	NC
hsa-miR-29c	336.3029871	140	NC	NC
hsa-miR-21	333.1135486	200	NC	NC
hsa-miR-34c	315.8291208	35320	Up	Down
hsa-miR-139	314.175359	-740	Down	NC
hsa-miR-197	293.7647789	10640	NC	NC
hsa-miR-15a	292.8993165	17030	Up	Down
hsa-miR-218	288.3622744	940	Up	NC
hsa-miR-106a	281.5098885	20780	NC	NC
hsa-miR-340	280.7685741	49250	Up	NC
hsa-miR-219	279.7355288	210	Up	NC
hsa-miR-155	271.0428782	NC	Undet	Down
hsa-miR-92	270.1058863	5490	Up	NC
has-let-7g	260.6706081	46460	NC	Down
hsa-miR-328	260.1412983	8730	Up	NC
hsa-miR-149	244.190036	-15560	Up	NC
hsa-miR-23b	242.7274867	120	NC	NC
hsa-miR-221	238.9278913	38500	Up	NC
hsa-miR-150	228.4171328	-180	NC	NC
hsa-miR-190	214.9257886	-250	NC	NC
hsa-miR-107	210.6178095	110	NC	NC
hsa-miR-331	209.1486666	7350	Up	NC
hsa-miR-181c	207.2063046	130	NC	NC
hsa-miR-133b	202.5726728	25860	Up	NC
