Gene Symbol	Gene Name	Gene Chip Fold Change(INS/SAL)	qRT-PCR Fold Change(INS/SAL)
Top2b	Topoisomerase (DNA) II beta	2.49	6.45
Aplp2	Amyloid beta (A4) precursor-like protein 2	2.24	–
Crygc	Crystallin, gamma C	2.22	2.5
Atp6v0a1	ATPase, H+ transporting, lysosomal V0 subunit a isoform 1	2.19	–
Usp	Ubiquitin-specific protease 12	2	3.28
121200003l10Rik	RIKEN cDNA 1200003l10	2	–
Hspa1b	Heat-shock protein 1B	2	10.14
Ywhag	3-Monooxgenase/tryptophan 5-monooxgenase activation protein, gamma polypeptide	1.97	14.7
Bfsp1	Beaded filament structural protein in lens-CP94	1.96	4.08
Mbd1	Methyl-CpG binding domain protein 1	1.96	–
Kif5c	Kinesin family member 5C	1.95	6.64
Aqp0	Aquaporin 0	1.93	3.25
Dscr1	Down syndrome critical region homolog 1 (human)	1.91	–
Cpeb4	Cytoplasmic polyadenylation element binding protein 4	1.9	2.96
Npn3	Neoplastic progression 3	1.9	–
Crygb	Crystallin, gamma B	1.89	–
Rs1h	Retinoschisis 1 homolog (human)	1.89	10.48
Hspa1a/Hspa1b	Heat-shock protein 1A/heat-shock protein 1B	1.89	–
Cryga	Crystallin, gamma A	1.87	2.19
Dct	Dopachrome tautomerase	–1.87	–
Dio2	Deiodinase, iodothyronine, type II	–1.94	–
Hba-a1	Hemoglobin alpha, adult chain 1	–1.95	–2.86
Nr4a1	Nuclear receptor subfamily 4, group A, member 1	–2.04	–2.15
Egr2	Early growth response 2	–2.05	–9.80
Dcn	Decorin	–2.20	–
Hbb-b1	Hemoglobin, beta adult major chain	–2.21	–5.29
Fosb	FBJ osteosarcoma oncogene B	–2.21	–8.92
Tyrp1	Tyrosinase-related protein 1	–2.24	–4.34
Si	Silver	–2.32	–
Alas2	Aminolevulinic acid synthase 2, erythroid	–2.59	–3.67
