Gene symbol	Probe set	P-Value	FDR	SP / MP Ratio	UG cluster	Map	Description
MYCT1	231947_at	0.003883	0.357325	3	Hs.18160	6q25.2	Myc target 1
HIPK2	219028_at	0.0013214	0.357325	2.3	Hs.397465	7q32-q34	homeodomain interacting protein kinase 2 (HIPK2), mRNA.
ASB1	212819_at	0.0077133	0.357325	2.2	Hs.516788	2q37	ankyrin repeat and SOCS box-containing 1 (ASB1), mRNA.
	228647_at	0.0011451	0.357325	2.1	Hs.655804	12	Homo sapiens, clone IMAGE:3621928
SERF2	226692_at	0.0024407	0.357325	2.1	Hs.424126	15q15.3	Small EDRK-rich factor 2
ADAM19	209765_at	0.0074001	0.357325	2.1	Hs.483944	5q32-q33	ADAM metallopeptidase domain 19 (meltrin beta) (ADAM19), transcript variant 2, mRNA.
FIGN	242828_at	0.0025941	0.357325	2	Hs.593650	2q24.3	Fidgetin
NQO1	201467_s_at	0.003887	0.357325	2	Hs.406515	16q22.1	NAD(P)H dehydrogenase, quinone 1 (NQO1), transcript variant 1, mRNA.
LOC728190	1558794_at	0.0053547	0.357325	2	Hs.655534	10q23.2	Hypothetical protein LOC728190
GEMIN6	219539_at	0.0005315	0.2865326	1.9	Hs.143818	2p22.1	gem (nuclear organelle) associated protein 6 (GEMIN6), mRNA.
LLGL1	236594_at	0.0027616	0.357325	1.9	Hs.513983	17p11.2	Lethal giant larvae homolog 1 (Drosophila)
RGNEF	1554003_at	0.0044277	0.357325	1.9	Hs.482521	5q13.2	Rho-guanine nucleotide exchange factor (RGNEF), mRNA.
P18SRP	217608_at	0.005323	0.357325	1.9	Hs.656180	5q12.3	P18SRP protein (P18SRP), mRNA.
EIF5B	214313_s_at	0.0000266	0.1504141	1.8	Hs.158688	2q11.2	eukaryotic translation initiation factor 5B (EIF5B), mRNA.
C1orf43	208229_at	0.0006959	0.305613	1.8	Hs.287471	1q21.2	chromosome 1 open reading frame 43 (C1orf43), transcript variant 2, mRNA.
MRPL41	225425_s_at	0.0013992	0.357325	1.8	Hs.44017	9q34.3	mitochondrial ribosomal protein L41 (MRPL41), nuclear gene encoding mitochondrial protein, mRNA.
TNRC6B	1558142_at	0.0034035	0.357325	1.8	Hs.372082	22q13.1	trinucleotide repeat containing 6B (TNRC6B), transcript variant 2, mRNA.
ZNRD1	223639_s_at	0.0054129	0.357325	1.8	Hs.57813	6p21.3	zinc ribbon domain containing 1 (ZNRD1), transcript variant b, mRNA.
MAGEH1	218573_at	0.005635	0.357325	1.8	Hs.279819	Xp11.21	melanoma antigen family H, 1 (MAGEH1), mRNA.
FLJ38984	212791_at	0.007617	0.357325	1.8	Hs.112023	1p34.3	hypothetical protein FLJ38984 (FLJ38984), mRNA.
KIAA1377	235956_at	0.008312	0.357325	1.8	Hs.156352	11q22.1	KIAA1377 (KIAA1377), mRNA.
TMEM17	1557137_at	0.0002065	0.233361	1.7	Hs.308028	2p15	transmembrane protein 17 (TMEM17), mRNA.
KRTHB5	226927_at	0.0005206	0.2865326	1.7	Hs.42547	12q23.3	Keratin, hair, basic, 5
EPHB4	202894_at	0.0016575	0.357325	1.7	Hs.437008	7q22	EPH receptor B4 (EPHB4), mRNA.
SUHW2	230789_at	0.0016714	0.357325	1.7	Hs.43834	22q11.22	suppressor of hairy wing homolog 2 (Drosophila) (SUHW2), mRNA.
EPHB2	209589_s_at	0.0023501	0.357325	1.7	Hs.523329	1p36.1-p35	EPH receptor B2 (EPHB2), transcript variant 1, mRNA.
C6orf203	223576_at	0.002729	0.357325	1.7	Hs.486084	6q21	chromosome 6 open reading frame 203 (C6orf203), mRNA.
	235938_at	0.0033668	0.357325	1.7	Hs.102276	2	Transcribed locus
LOC554203	1554448_at	0.0034134	0.357325	1.7	Hs.648327	Xq13.2	Hypothetical LOC554203
ACN9	218981_at	0.0039821	0.357325	1.7	Hs.592269	7q21.3	ACN9 homolog (S. cerevisiae) (ACN9), mRNA.
	242273_at	0.0039893	0.357325	1.7	Hs.175569	12	Transcribed locus
NAPE-PLD	238722_x_at	0.0047896	0.357325	1.7	Hs.324271	7q22.1	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D (NAPE-PLD), mRNA.
CSTA	204971_at	0.0058276	0.357325	1.7	Hs.518198	3q21	cystatin A (stefin A) (CSTA), mRNA.
LTBP1	202729_s_at	0.0060426	0.357325	1.7	Hs.654497	2p22-p21	latent transforming growth factor beta binding protein 1 (LTBP1), transcript variant 2, mRNA.
TCEAL8	224819_at	0.0060969	0.357325	1.7	Hs.389734	Xq22.1	transcription elongation factor A (SII)-like 8 (TCEAL8), transcript variant 2, mRNA.
USP46	203869_at	0.0061484	0.357325	1.7	Hs.331478	4q12	ubiquitin specific peptidase 46 (USP46), mRNA.
NQO2	203814_s_at	0.0062576	0.357325	1.7	Hs.533050	6pter-q12	NAD(P)H dehydrogenase, quinone 2 (NQO2), mRNA.
DNM3	209839_at	0.0069845	0.357325	1.7	Hs.654775	1q24.3	dynamin 3 (DNM3), mRNA.
PHF23	223081_at	0.0075666	0.357325	1.7	Hs.647432	17p13.1	PHD finger protein 23 (PHF23), mRNA.
PIGC	202846_s_at	0.0078002	0.357325	1.7	Hs.188456	1q23-q25	phosphatidylinositol glycan anchor biosynthesis, class C (PIGC), transcript variant 1, mRNA.
YIPF5	224949_at	0.0079177	0.357325	1.7	Hs.372050	5q32	Yip1 domain family, member 5 (YIPF5), transcript variant 2, mRNA.
TP53I3	210609_s_at	0.0085641	0.357325	1.7	Hs.50649	2p23.3	tumor protein p53 inducible protein 3 (TP53I3), transcript variant 2, mRNA.
VANGL1	219330_at	0.0096075	0.3735558	1.7	Hs.515130	1p11-p13.1	vang-like 1 (van gogh, Drosophila) (VANGL1), mRNA.
RAB27A	235766_x_at	0.0097427	0.3735558	1.7	Hs.654978	15q15-q21.1	RAB27A, member RAS oncogene family
MSL3L1	207551_s_at	0.0098016	0.3735558	1.7	Hs.655288	Xp22.3	male-specific lethal 3-like 1 (Drosophila) (MSL3L1), transcript variant 2, mRNA.
PCM1	228905_at	0.0010711	0.357325	1.6	Hs.491148	8p22-p21.3	Pericentriolar material 1
ST3GAL6	213355_at	0.0001571	0.2189306	1.6	Hs.148716	3q12.1	ST3 beta-galactoside alpha-2,3-sialytransferase 6 (ST3GAL6), mRNA
FPGT	205140_at	0.0023576	0.357325	1.6	Hs.632389	1p31.1	fucose-1-phosphate guanylyltransferase (FPGT), mRNA.
CCDC131	213065_at	0.0023875	0.357325	1.6	Hs.527874	12q21.1	coiled-coil domain containing 131 (CCDC131), mRNA.
DOK1	216835_s_at	0.0026437	0.357325	1.6	Hs.103854	2p13	docking protein 1, 62kDa (downstream of tyrosine kinase 1) (DOK1), mRNA.
EPM2AIP1	227847_at	0.0027566	0.357325	1.6	Hs.28020	3p22.1	EPM2A (laforin) interacting protein 1 (EPM2AIP1), mRNA.
TK2	204276_at	0.0047747	0.357325	1.6	Hs.512619	16q22-q23.1	thymidine kinase 2, mitochondrial (TK2), mRNA.
TNFRSF1A	207643_s_at	0.0049834	0.357325	1.6	Hs.279594	12p13.2	tumor necrosis factor receptor superfamily, member 1A (TNFRSF1A), mRNA.
B3GALT6	225733_at	0.0050574	0.357325	1.6	Hs.284284	1p36.33	UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6 (B3GALT6), mRNA.
CROT	231102_at	0.0050783	0.357325	1.6	Hs.125039	7q21.1	Carnitine O-octanoyltransferase
	233369_at	0.0053122	0.357325	1.6	Hs.659112	14	CDNA FLJ11835 fis, clone HEMBA1006595
HCG12	227980_at	0.0053674	0.357325	1.6		6p21.3	HLA complex group 12 (HCG12) on chromosome 6.
MTERFD2	1557965_at	0.0057467	0.357325	1.6	Hs.159556	2q37.3	MTERF domain containing 2
PRPF38A	223230_at	0.0069595	0.357325	1.6	Hs.5301	1p33-p32.1	PRP38 pre-mRNA processing factor 38 (yeast) domain containing A (PRPF38A), transcript variant 2, mRNA.
BRI3BP	231810_at	0.0076539	0.357325	1.6	Hs.632740	12q24.31	BRI3 binding protein
ATF7	228829_at	0.0078128	0.357325	1.6	Hs.12286	12q13	Activating transcription factor 7
FOXN3	230790_x_at	0.0079681	0.357325	1.6		14q31.3	forkhead box N3 (FOXN3), transcript variant 1, mRNA.
SNRPF	203832_at	0.0080202	0.357325	1.6	Hs.105465	12q22	small nuclear ribonucleoprotein polypeptide F (SNRPF), mRNA.
P18SRP	227288_at	0.0086766	0.3587496	1.6	Hs.656180	5q12.3	P18SRP protein (P18SRP), mRNA.
C6orf153	235223_at	0.0092776	0.3688657	1.6	Hs.309231	6p21.1	Chromosome 6 open reading frame 153
POLI	238992_at	0.0098077	0.3735558	1.6	Hs.438533	18q21.1	Polymerase (DNA directed) iota
SLC35D2	213083_at	0.0016697	0.357325	1.5	Hs.654897	9q22.32	solute carrier family 35, member D2 (SLC35D2), mRNA.
GOLGA2	204384_at	0.0022635	0.357325	1.5	Hs.155827	9q34.11	golgi autoantigen, golgin subfamily a, 2 (GOLGA2), mRNA.
NUP50	218294_s_at	0.0025784	0.357325	1.5	Hs.475103	22q13.31	nucleoporin 50kDa (NUP50), transcript variant 3, mRNA.
EPHB2	210651_s_at	0.0025935	0.357325	1.5	Hs.523329	1p36.1-p35	EPH receptor B2 (EPHB2), transcript variant 1, mRNA.
KIAA2013	224708_at	0.002807	0.357325	1.5	Hs.520094	1p36.22	KIAA2013
STOML2	215416_s_at	0.002934	0.357325	1.5	Hs.3439	9p13.1	stomatin (EPB72)-like 2 (STOML2), mRNA.
SLC25A20	203658_at	0.0031346	0.357325	1.5	Hs.13845	3p21.31	solute carrier family 25 (carnitine/acylcarnitine translocase), member 20 (SLC25A20), nuclear gene encoding mitochondrial protein, mRNA.
FLJ10038	205510_s_at	0.0032578	0.357325	1.5	Hs.511316	15q15.3	Hypothetical protein FLJ10038
MORC2	216863_s_at	0.0033636	0.357325	1.5	Hs.555918	22q12.2	MORC family CW-type zinc finger 2 (MORC2), mRNA.
HTATIP2	210253_at	0.0039718	0.357325	1.5	Hs.90753	11p15.1	HIV-1 Tat interactive protein 2, 30kDa
C6orf89	225729_at	0.0040706	0.357325	1.5	Hs.433381	6p21.2	chromosome 6 open reading frame 89 (C6orf89), mRNA.
MRPL14	225201_s_at	0.0042225	0.357325	1.5	Hs.311190	6p21.3	mitochondrial ribosomal protein L14 (MRPL14), nuclear gene encoding mitochondrial protein, mRNA.
CBR1	209213_at	0.004874	0.357325	1.5	Hs.88778	21q22.13	carbonyl reductase 1 (CBR1), mRNA.
RBM15B	226987_at	0.0050961	0.357325	1.5	Hs.476291	3p21.2	RNA binding motif protein 15B (RBM15B), mRNA.
MRPL16	217980_s_at	0.0051361	0.357325	1.5	Hs.530734	11q12-q13.1	mitochondrial ribosomal protein L16 (MRPL16), nuclear gene encoding mitochondrial protein, mRNA.
PTAR1	235484_at	0.0059159	0.357325	1.5	Hs.494100	9q21.11	Protein prenyltransferase alpha subunit repeat containing 1
DLG3	212729_at	0.0064187	0.357325	1.5	Hs.522680	Xq13.1	discs, large homolog 3 (neuroendocrine-dlg, Drosophila) (DLG3), transcript variant 2, mRNA.
TMEM57	241364_at	0.006544	0.357325	1.5	Hs.189782	1p36.11|1p36.11	Transmembrane protein 57
ALG14	1553954_at	0.0067852	0.357325	1.5	Hs.408927	1p21.3	asparagine-linked glycosylation 14 homolog (S. cerevisiae) (ALG14), mRNA.
VPS4A	217913_at	0.0075772	0.357325	1.5	Hs.128420	16q22.1	vacuolar protein sorting 4 homolog A (S. cerevisiae) (VPS4A), mRNA.
AGGF1	208042_at	0.0082254	0.357325	1.5	Hs.634849	5q13.3	angiogenic factor with G patch and FHA domains 1 (AGGF1), mRNA.
CCM2	223164_at	0.0085196	0.357325	1.5	Hs.148272	7p13	cerebral cavernous malformation 2 (CCM2), transcript variant 2, mRNA.
SNX19	202359_s_at	0.008734	0.3587496	1.5	Hs.444024	11q25	sorting nexin 19 (SNX19), mRNA.
	222518_at	0.0000109	0.1504141	1.4	Hs.649021	20	Transcribed locus
MRPS16	222499_at	0.0012027	0.357325	1.4	Hs.180312	10q22.1	mitochondrial ribosomal protein S16 (MRPS16), nuclear gene encoding mitochondrial protein, mRNA.
C10orf35	226313_at	0.0012993	0.357325	1.4	Hs.522992	10q21.3	chromosome 10 open reading frame 35 (C10orf35), mRNA.
	1558517_s_at	0.001761	0.357325	1.4	Hs.412836	1	CDNA FLJ37485 fis, clone BRAWH2014379
PFDN4	205362_s_at	0.0021093	0.357325	1.4	Hs.91161	20q13.2	prefoldin subunit 4 (PFDN4), mRNA.
TMEM182	238867_at	0.0027338	0.357325	1.4	Hs.436203	2q12.1	transmembrane protein 182 (TMEM182), mRNA.
TRAM2	202368_s_at	0.0031899	0.357325	1.4	Hs.520182	6p21.1-p12	translocation associated membrane protein 2 (TRAM2), mRNA.
LTV1	225748_at	0.0032649	0.357325	1.4	Hs.185675	6q24.2	LTV1 homolog (S. cerevisiae) (LTV1), mRNA.
LOC116143	235071_at	0.0036588	0.357325	1.4	Hs.631877	2p14	monad (LOC116143), mRNA.
	229544_at	0.0046211	0.357325	1.4	Hs.167087	3	CDNA clone IMAGE:4791887
FKBP11	219118_at	0.005504	0.357325	1.4	Hs.655103	12q13.12	FK506 binding protein 11, 19 kDa (FKBP11), mRNA.
BRCC3	221196_x_at	0.0056518	0.357325	1.4	Hs.558537	Xq28	BRCA1/BRCA2-containing complex, subunit 3 (BRCC3), transcript variant 2, mRNA.
C18orf37	229582_at	0.0060582	0.357325	1.4	Hs.464903	18q12.2	chromosome 18 open reading frame 37 (C18orf37), mRNA.
DHX32	218198_at	0.0063066	0.357325	1.4	Hs.501379	10q26.2	DEAH (Asp-Glu-Ala-His) box polypeptide 32 (DHX32), mRNA.
	226230_at	0.0063431	0.357325	1.4	Hs.654969	2	Transcribed locus
SEC11C	223299_at	0.0065098	0.357325	1.4	Hs.45107	18q21.32	SEC11 homolog C (S. cerevisiae) (SEC11C), mRNA.
SEPHS1	208941_s_at	0.0065494	0.357325	1.4	Hs.124027	10p14	selenophosphate synthetase 1 (SEPHS1), mRNA.
BTF3L4	226963_at	0.00718	0.357325	1.4	Hs.538093	1p32.3	basic transcription factor 3-like 4 (BTF3L4), mRNA.
GULP1	204237_at	0.0073445	0.357325	1.4	Hs.470887	2q32.3-q33	GULP, engulfment adaptor PTB domain containing 1 (GULP1), mRNA.
CDK5	204247_s_at	0.0073697	0.357325	1.4	Hs.647078	7q36	cyclin-dependent kinase 5 (CDK5), mRNA.
FANCF	218689_at	0.0078844	0.357325	1.4	Hs.632151	11p15	Fanconi anemia, complementation group F (FANCF), mRNA.
R3HCC1	35156_at	0.0079721	0.357325	1.4	Hs.458644	8p21.3	R3H domain and coiled-coil containing 1
HEBP2	203430_at	0.0082308	0.357325	1.4	Hs.486589	6q24	heme binding protein 2 (HEBP2), mRNA.
SSR3	217790_s_at	0.0087615	0.3590099	1.4	Hs.518346	3q25.31	signal sequence receptor, gamma (translocon-associated protein gamma) (SSR3), mRNA.
COX18	227442_at	0.0090962	0.3669665	1.4	Hs.356697	4q13.3	COX18 cytochrome c oxidase assembly homolog (S. cerevisiae) (COX18), mRNA.
GGCX	235413_at	0.009429	0.3728521	1.4	Hs.77719	2p12	gamma-glutamyl carboxylase (GGCX), mRNA.
