Gene Name	Fold-change
C1QTNF3	0.21
BHMT2	0.36
JDP2	0.38
GJB2	0.39
PYGL	0.41
PER3	0.42
COMP	0.42
LOC100132800	0.43
ULK1	0.43
C14orf45	0.45
TCEAL3	0.45
BBS2	0.46
TMC4	0.47
TNFAIP8L1	0.49
COPS7A	0.49
IER2	0.5
ITGB5	0.5
C1QTNF6	0.51
VKORC1	0.52
ADAM20	0.52
C22orf39	0.53
SIRPB1	0.53
VPS24	0.53
PYROXD2	0.53
GFPT1	0.53
SLC35E1	0.53
FAM108C1	0.54
CERCAM	0.55
RIC8A	0.55
PTDSS2	0.56
LOC650226	0.57
MAN1B1	0.59
TK2	0.59
VPS37C	0.6
LOC116437	0.6
NP_001013662.1	0.6
PHF13	0.6
CTSF	0.6
SLC16A5	0.61
GPR107	0.61
IFT20	0.62
SLC12A4	0.62
CREB5	0.62
PHF2	0.63
ZFP14	0.63
MYOM1	0.64
SNUPN	0.64
ICMT	0.64
ANXA4	0.67
GATSL3	0.67
