Ensembl ID	Gene Name	Description	RefSeq ID	Fold Change	FDR
ENSG00000174951	FUT1	Homo sapiens fucosyltransferase 1 (galactoside 2-alpha-L-fucosyltransferase) (FUT1), mRNA	NM_000148	23.4	102.992
ENSG00000049249	TNFRSF9	Homo sapiens tumor necrosis factor receptor superfamily, member 9 (TNFRSF9), mRNA	NM_001561	6.7	26.709
ENSG00000128591	FLNC	Homo sapiens filamin C, gamma (actin binding protein 280) (FLNC), mRNA	NM_001458	5.5	185.161
ENSG00000130487	KLHDC7B	kelch domain containing 7		5.2	17.091
ENSG00000184545	DUSP8	Homo sapiens dual specificity phosphatase 8 (DUSP8), mRNA	NM_004420	5.0	87.302
ENSG00000136826	KLF4	Homo sapiens Kruppel-like factor 4 (gut) (KLF4), mRNA	NM_004235	4.8	68.623
ENSG00000127415	IDUA	Homo sapiens iduronidase, alpha-L- (IDUA), mRNA	NM_000203	4.8	14.856
ENSG00000139269	INHBE	Homo sapiens inhibin, beta E (INHBE), mRNA	NM_031479	4.6	2224.608
ENSG00000128965	MGC4504	Homo sapiens hypothetical protein MGC4504 (MGC4504), mRNA	NM_024111	4.6	388.523
ENSG00000162772	ATF3	Homo sapiens activating transcription factor 3 (ATF3), mRNA	NM_004024	4.5	695.605
ENSG00000105499	PLA2G4C	Homo sapiens phospholipase A2, group IVC (cytosolic, calcium-independent) (PLA2G4C), mRNA	NM_003706	4.5	64.381
ENSG00000197471	SPN	Leukosialin precursor (Leucocyte sialoglycoprotein) (Sialophorin) (CD43 antigen) (Galactoglycoprotein) (GALGP). [Source:Uniprot/SWISSPROT;Acc:P16150]	ENST00000360121	4.2	15.137
ENSG00000203711	LOC389440	PREDICTED: Homo sapiens hypothetical LOC389440 (LOC389440), mRNA	XM_374188	4.0	17.643
ENSG00000008516	MMPL1	Homo sapiens matrix metalloproteinase-like 1 (MMPL1), mRNA	NM_004142	3.9	13.100
ENSG00000148677	ANKRD1	Homo sapiens ankyrin repeat domain 1 (cardiac muscle) (ANKRD1), mRNA	NM_014391	3.8	637.916
ENSG00000128165	ADM2	Homo sapiens adrenomedullin 2 (ADM2), mRNA	NM_024866	3.5	182.829
ENSG00000205595	AREG	Homo sapiens amphiregulin (schwannoma-derived growth factor) (AREG), mRNA	NM_001657	3.4	129.246
ENSG00000172733	PURG	Homo sapiens purine-rich element binding protein G (PURG), mRNA	NM_013357	3.3	22.148
ENSG00000130513	GDF15	Homo sapiens growth differentiation factor 15 (GDF15), mRNA	NM_004864	3.2	365.115
ENSG00000127561	SYNGR3	Homo sapiens synaptogyrin 3 (SYNGR3), mRNA	NM_004209	3.1	18.461
ENSG00000125740	FOSB	Homo sapiens FBJ murine osteosarcoma viral oncogene homolog B (FOSB), mRNA	NM_006732	3.1	15.905
ENSG00000105327	BBC3	Homo sapiens BCL2 binding component 3 (BBC3), mRNA	NM_014417	3.0	135.857
ENSG00000161583	TBC1D3	Homo sapiens TBC1 domain family, member 3 (TBC1D3), mRNA	NM_032258	3.0	13.344
ENSG00000107731	UNC5B	Homo sapiens unc-5 homolog B (C. elegans) (UNC5B), mRNA	NM_170744	2.9	129.246
ENSG00000149435	GGTLA4	Homo sapiens gamma-glutamyltransferase-like activity 4 (GGTLA4), transcript variant C, mRNA	NM_080920	2.8	15.010
ENSG00000163734	CXCL3	Homo sapiens chemokine (C-X-C motif) ligand 3 (CXCL3), mRNA	NM_002090	2.8	15.010
ENSG00000162241	LOC283130	Homo sapiens hypothetical protein LOC283130 (LOC283130), mRNA	NM_182556	2.8	18.397
ENSG00000167861	C17orf28	Homo sapiens chromosome 17 open reading frame 28 (C17orf28), mRNA	NM_030630	2.8	85.729
ENSG00000128346	C22orf23	Homo sapiens chromosome 22 open reading frame 23 (C22orf23), mRNA	NM_032561	2.8	19.290
ENSG00000156510	FLJ22761	Homo sapiens hypothetical protein FLJ22761 (FLJ22761), mRNA	NM_025130	2.8	33.987
ENSG00000127366	TAS2R5	Homo sapiens taste receptor, type 2, member 5 (TAS2R5), mRNA	NM_018980	2.7	21.053
ENSG00000104856	RELB	Homo sapiens v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian) (RELB), mRNA	NM_006509	2.7	73.673
ENSG00000171462	EGFL9	Homo sapiens EGF-like-domain, multiple 9 (EGFL9), transcript variant 2, mRNA	NM_206539	2.6	20.342
ENSG00000185950	IRS2	Homo sapiens insulin receptor substrate 2 (IRS2), mRNA	NM_003749	2.6	47.509
ENSG00000178607	ERN1	Homo sapiens endoplasmic reticulum to nucleus signalling 1 (ERN1), transcript variant 2, mRNA	NM_152461	2.6	135.332
ENSG00000178607	ERN1	Homo sapiens endoplasmic reticulum to nucleus signalling 1 (ERN1), transcript variant 1, mRNA	NM_001433	2.6	135.332
ENSG00000198517	MAFK	Homo sapiens cDNA FLJ32205 fis, clone PLACE6003094.	AK056767	2.6	270.745
ENSG00000198517	MAFK	Homo sapiens v-maf musculoaponeurotic fibrosarcoma oncogene homolog K (avian) (MAFK), mRNA	NM_002360	2.6	270.745
ENSG00000099625	C19orf26	Homo sapiens chromosome 19 open reading frame 26 (C19orf26), mRNA	NM_152769	2.5	19.690
ENSG00000081052	COL4A4	Homo sapiens collagen, type IV, alpha 4 (COL4A4), mRNA	NM_000092	2.5	16.312
ENSG00000179979	FLJ34443	Homo sapiens hypothetical protein FLJ34443 (FLJ34443), mRNA	NM_175918	2.4	17.246
ENSG00000130766	SESN2	Homo sapiens sestrin 2 (SESN2), mRNA	NM_031459	2.4	374.066
ENSG00000004777	SNX26	Homo sapiens sorting nexin 26 (SNX26), mRNA	NM_052948	2.4	18.143
ENSG00000166341	DCHS1	Homo sapiens dachsous 1 (Drosophila) (DCHS1), mRNA	NM_003737	2.4	20.032
ENSG00000171119	NRTN	Homo sapiens neurturin (NRTN), mRNA	NM_004558	2.4	13.038
ENSG00000115844	DLX2	Homo sapiens distal-less homeo box 2 (DLX2), mRNA	NM_004405	2.4	13.038
ENSG00000102890	ELMO3	Homo sapiens engulfment and cell motility 3 (ced-12 homolog, C. elegans) (ELMO3), mRNA	NM_024712	2.4	13.921
ENSG00000112182	BACH2	Homo sapiens BTB and CNC homology 1, basic leucine zipper transcription factor 2 (BACH2), mRNA	NM_021813	2.4	50.039
ENSG00000101255	TRIB3	Homo sapiens tribbles homolog 3 (Drosophila) (TRIB3), mRNA	NM_021158	2.4	811.820
