Pathways	Number	p Value	Gene
Cell cycle	10	1.80E-10	MCM2; MCM7; PKMYT1; CDK2; GADD45B; MAD2L2; TFDP1; GADD45A; PCNA; ORC1L
Apoptosis	8	7.26E-09	IRAK2; NFKBIA; BCL2L1; TNFRSF10B; BAX; DFFA; EXOG; TNF
Purine metabolism	8	4.74E-07	ADA; ADCY3; ADCY8; POLA1; POLR3K; POLE2; GART; DGUOK
MAPK signaling	8	3.71E-05	MAP3K8; GADD45B; DUSP2; ATF4; GADD45A; DUSP5; TNF; DUSP10
Cytokine-cytokine receptor interaction	7	1.92E-04	TNFSF9; TNFRSF10B; CD70; IL8; TNF; TNFRSF18; TNFSF13B
DNA polymerase	5	5.76E-07	MCM2; MCM7; POLA1; PCNA; POLE2
Base excision repair	5	5.76E-07	PARP2; PCNA; POLE2; APEX2; POLB
Adipocytokine signaling	5	1.32E-05	SOCS3; NFKBIA; TNF; NFKBIE; CPT1A
p53 signaling	5	1.52E-05	CDK2; GADD45B; TNFRSF10B; BAX; GADD45A
Epithelial cell signaling in H.pylori infection	5	1.63E-05	NFKBIA; LYN; IL8; JAM2; SRC
Small cell lung cancer	5	4.44E-05	NFKBIA; BCL2L1; CDK2; TRAF3; TRAF4
Toll-like receptor signaling	5	1.00E-04	NFKBIA; MAP3K8; IL8; TNF; TRAF3
One carbon pool by folate	4	6.80E-07	SHMT2; GART; MTHFS; MTHFD1L
Urea cycle andmetabolism of amino groups	4	7.33E-06	ASS1; ACY1; ALDH7A1; SMS
Aminoacyl-tRNA biosynthesis	4	3.46E-05	WARS; YARS; GARS; RARS
Glycine, serine and threonine metabolism	4	4.19E-05	CBS; PHGDH; SHMT2; GARS
Gap junction	4	8.33E-04	ADCY3; ADCY8; CSNK1D; SRC
Pyrimidine metabolism	4	8.33E-04	UPP1; POLA1; POLR3K; POLE2
GnRH signaling	4	0.0014	ADCY3; ADCY8; ATF4; SRC
T cell receptor signaling	4	0.0015	NFKBIA; MAP3K8; TNF; NFKBIE
Tight junction	4	0.00335	CGN; MYL2; JAM2; SRC
Insulin signaling	4	0.00353	TRIP10; SOCS3; PFKM; PTPN1
Mismatch repair	3	1.46E-04	MSH6; PCNA; EXO1
Arginine and proline metabolism	3	5.66E-04	ASS1; PYCR1; RARS
Nucleotide excision repair	3	0.00102	ERCC1; PCNA; POLE2
Fatty acid metabolism	3	0.00109	ACADVL; ALDH7A1; CPT1A
Glutathione metabolism	3	0.00148	GSTA4; GGCT; SMS
Inositol phosphate metabolism	3	0.001952	IMPA2; INPP1; ITPKA
Amyotrophic lateral sclerosis	3	0.002056	BCL2L1; BAX; TNF
Hedgehog signaling	3	0.002163	CSNK1E; CSNK1D; RAB23
Glycolysis/Gluconeogenesis	3	0.00301	ALDH7A1; PFKM; GCK
Drug metabolism cytochrom.p450	3	0.00419	GSTA4; FMO4; CYP3A5
B-cell receptor signaling	3	0.0047	NFKBIA; LYN; NFKBIE
Chronic myeloid leukemia	3	0.0047	NFKBIA; BCL2L1; STAT5A
Phosphatidylinositol signaling	3	0.0048	IMPA2; INPP1; ITPKA
Prostate cancer	3	0.0073	NFKBIA; CDK2; ATF4
NK cell mediated cytotoxicity	3	0.0243	TNFRSF10B; ULBP1; TNF
Jak-STAT signaling	3	0.0327	SOCS3; BCL2L1; STAT5A
Calcium signaling	3	0.0501	ADCY3; ADCY8; ITPKA
Focal adhesion	3	0.0649	MYL2; SRC; PARVB
