ID	Gene	Description	p value
A_23_P341325	RPL10L	ribosomal protein L10-like	0.00086
A_24_P356721	RPL18	ribosomal protein L18	0.00089
A_32_P31182	RPL7	ribosomal protein L7	0.00073
A_24_P202154	FLJ12331	hypothetical protein FLJ12331	0.00218
A_23_P93258	HIST1H3B	histone cluster 1, H3b	0.00181
A_23_P171255	IGBP1	immunoglobulin (CD79A) binding protein 1	0.00105
A_32_P230828	GAS5	growth arrest-specific 5	0.00136
A_23_P422794	NSMCE2	non-SMC element 2, MMS21 homolog (S. cerevisiae)	0.00501
A_24_P272710	RPL10	ribosomal protein L10	0.00382
A_23_P58538	TIGA1	chromosome 5 open reading frame 26	0.00055
A_24_P22821	DHX34	DEAH (Asp-Glu-Ala-His) box polypeptide 34	0.00007
A_23_P406355	FAM76B	family with sequence similarity 76, member B	0.00244
A_32_P38467	SNHG8	small nucleolar RNA host gene (non-protein coding) 8	0.00358
A_23_P319013	ZNF383	zinc finger protein 383	0.00364
A_24_P416014	C15ORF15	chromosome 15 open reading frame 15	0.0021
A_24_P339272	C17ORF45	chromosome 17 open reading frame 45	0.00347
A_23_P71415	C8ORF32	chromosome 8 open reading frame 32	0.00359
A_23_P137031	EIF2S3	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa	0.00299
A_32_P103837	FAM60A	family with sequence similarity 60, member A	0.00073
A_24_P911571	GNB5	guanine nucleotide binding protein (G protein), beta 5	0.00002
A_24_P161463	C20ORF199	chromosome 20 open reading frame 199	0.00432
A_23_P142724	RPL37A	ribosomal protein L37a	0.00382
A_32_P224911	TATDN1	TatD DNase domain containing 1	0.00376
A_23_P82748	ENY2	enhancer of yellow 2 homolog (Drosophila)	0.0038
A_24_P410627	MKRN1	makorin, ring finger protein, 1	0.0001
A_23_P28318	PRO1853	hypothetical protein PRO1853	0.0062
A_23_P126291	SNRPE	small nuclear ribonucleoprotein polypeptide E	0.00136
A_23_P107295	LRRC37B	leucine rich repeat containing 37B	0.00027
A_24_P40010	RPS28 (includes EG:6234)	ribosomal protein S28	0.00636
A_23_P333951	C1ORF67	chromosome 1 open reading frame 67	0.00171
A_32_P49423	NPM1 (includes EG:4869)	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	0.00136
A_24_P375813	RPL7A (includes EG:6130)	ribosomal protein L7a	0.00192
A_23_P435944	ZNF530	zinc finger protein 530	0.00173
A_23_P213728	CAMLG	calcium modulating ligand	0.00034
A_23_P76882	CCNB1IP1	cyclin B1 interacting protein 1	0.00087
A_23_P101759	FUT5	fucosyltransferase 5 (alpha (1,3) fucosyltransferase)	0.00051
A_24_P256654	LOC401588	hypothetical LOC401588	0.00055
A_23_P218423	MRPL10	mitochondrial ribosomal protein L10	0.00538
A_32_P182941	RPS3	ribosomal protein S3	0.00216
A_23_P139376	RPS3	ribosomal protein S3	0.00217
A_23_P430051	NGLY1	N-glycanase 1	0.00136
A_23_P26687	TMEM186	transmembrane protein 186	0.00238
A_23_P133146	H2AFZ	H2A histone family, member Z	0.00551
A_24_P261383	JOSD3	Josephin domain containing 3	0.00425
A_23_P256244	OXR1	oxidation resistance 1	0.00182
A_23_P18196	RFC4	replication factor C (activator 1) 4, 37kDa	0.00218
A_32_P139654	SS18L1	synovial sarcoma translocation gene on chromosome 18-like 1	0.00432
A_23_P71727	CKS2 (includes EG:1164)	CDC28 protein kinase regulatory subunit 2	0.00396
A_32_P93852	FAM44B	family with sequence similarity 44, member B	0.00269
A_23_P55564	ZCCHC2	zinc finger, CCHC domain containing 2	0.00544
A_23_P55127	C17ORF48	chromosome 17 open reading frame 48	0.00392
A_23_P136619	CA13	carbonic anhydrase XIII	0.0038
A_24_P55148	HIST1H2BJ	histone cluster 1, H2bj	0.00717
A_32_P220307	RPL39	ribosomal protein L39	0.00412
A_32_P98348	ZNF525	zinc finger protein 525	0.0035
A_32_P87531	C1ORF67	chromosome 1 open reading frame 67	0.0035
A_24_P364335	CLEC2D (includes EG:29121)	C-type lectin domain family 2, member D	0.00182
A_32_P2807	LOC158257	hypothetical protein LOC158257	0.00364
A_32_P188674	NPM1 (includes EG:4869)	nucleophosmin (nucleolar phosphoprotein B23, numatrin)	0.0024
A_23_P138461	PEO1	progressive external ophthalmoplegia 1	0.0069
A_23_P23765	ITGB3BP	integrin beta 3 binding protein (beta3-endonexin)	0.00314
A_23_P76918	TIMM9	translocase of inner mitochondrial membrane 9 homolog (yeast)	0.00183
A_23_P36397	CYP27B1	cytochrome P450, family 27, subfamily B, polypeptide 1	0.00105
A_23_P398460	HK2	hexokinase 2	0.00412
A_23_P364236	MGA (includes EG:23269)	MAX gene associated	0.00577
A_23_P110585	PRELID2	PRELI domain containing 2	0.00501
A_23_P127652	ZNF202	zinc finger protein 202	0.00341
A_24_P148907	MAB21L2	mab-21-like 2 (C. elegans)	0.00407
A_23_P142304	MKNK2	MAP kinase interacting serine/threonine kinase 2	0.00087
A_24_P917951	NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	0.00609
A_24_P177763	CDADC1	cytidine and dCMP deaminase domain containing 1	0.00267
A_23_P131215	CRYGD	crystallin, gamma D	0.00688
A_23_P387691	DIP2B	DIP2 disco-interacting protein 2 homolog B (Drosophila)	0.00275
A_24_P409126	FNDC3A	fibronectin type III domain containing 3A	0.00384
A_23_P140394	NFATC4	nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4	0.00423
A_24_P114032	EFNA3	ephrin-A3	0.00696
