Curated Gene Symbol	Gene ID	Symbol	Z score Advac	Z score AdE2
BTN3A1	NM_007048	BTN3A1	2.187557697	-4.561632788
HIST1H1C	NM_005319	HIST1H1C	3.370708309	-4.561566081
HSPBAP1	NM_024610	HSPBAP1	3.870316755	-4.358988199
TRMT10C	NM_017819	RG9MTD1	4.19402896	-3.945193021
MXI1	NM_005962	MXI1	0.729088739	-3.893871926
PAPOLG	NM_022894	PAPOLG	1.55591228	-3.699755535
TDP1	NM_018319	TDP1	2.550884187	-3.659716511
KIAA0101	NM_014736	KIAA0101	3.22016873	-3.652902337
XPR1	NM_004736	XPR1	2.379297317	-3.585489677
GABRA3	NM_000808	GABRA3	3.512433046	-3.53061106
C1orf27	NM_017847	C1orf27	1.33469012	-3.510940924
YEATS4	NM_006530	YEATS4	2.939851568	-3.496470732
TSR1	NM_018128	TSR1	2.550102339	-3.478214087
	NM_022034		2.488888949	-3.445653864
PARVG	NM_022141	PARVG	2.070865238	-3.389498447
CECR1	NM_017424	CECR1	2.720437409	-3.378439791
MTO1	NM_012123	MTO1	2.806876011	-3.375213894
TAAR2	NM_014626	TAAR2	3.435594289	-3.372925485
MAR7	NM_022826	AXOT	2.577568344	-3.316286796
OSGEPL1	NM_022353	OSGEPL1	2.258547632	-3.280077852
CDK14	NM_012395	PFTK1	1.966002346	-3.279721614
RPL22	NM_000983	RPL22	0.3625646	-3.27535435
MPDZ	NM_003829	MPDZ	4.52948425	-3.262659675
PRTFDC1	NM_020200	PRTFDC1	3.658809812	-3.24846358
DCUN1D2	NM_018185	C13orf17	2.751115241	-3.236974706
SNRPE	NM_003094	SNRPE	2.783200027	-3.205508383
CPB2	NM_001872	CPB2	5.322075242	-3.203257023
LGALS8	NM_006499	LGALS8	1.593752058	-3.196571746
STAG3L1	NM_018991	STAG3L1	2.833024992	-3.182060045
GFRA1	NM_005264	GFRA1	3.868641884	-3.16638346
GCA	NM_012198	GCA	3.472689867	-3.158807541
HUS1	NM_004507	HUS1	2.343089794	-3.117063442
CYP21A2	NM_000500	CYP21A2	3.31397982	-3.110046128
ATP5SL	NM_018035	FLJ10241	1.976906827	-3.103997928
NMU	NM_006681	NMU	0.101210182	-3.100909045
RBM26	NM_022118	RBM26	5.090122686	-3.091892033
	NM_018410	DKFZp762E1312	0.634145022	-3.086332218
GRTP1	NM_024719	GRTP1	1.756737968	-3.075217423
SSFA2	NM_006751	SSFA2	1.754625005	-3.059115524
GALNT7	NM_017423	GALNT7	0.736818776	-3.057971692
ADARB1	NM_015833	ADARB1	-0.270466182	-3.055947175
GK2	NM_033214	GK2	0.796543686	-3.054247427
NDUFC2	NM_004549	NDUFC2	3.052594118	-3.023209474
HMGCR	NM_000859	HMGCR	4.883394298	-2.990350794
	NM_015583		1.184758305	-2.988950448
TMOD2	NM_014548	TMOD2	2.263730674	-2.980200888
TMOD3	NM_014547	TMOD3	3.444657122	-2.963441618
ZNF35	NM_003420	ZNF35	4.051349589	-2.962096919
MOB4	NM_015387	PREI3	2.977819567	-2.947487353
AP3M1	NM_012095	AP3M1	3.281765576	-2.941022294
MAPK13	NM_002754	MAPK13	2.375259198	-2.936493629
MMRN2	NM_024756	MMRN2	3.157897122	-2.929705536
KLF9	NM_001206	BTEB1	2.478672936	-2.908729675
WARS2	NM_015836	WARS2	2.641782987	-2.893537561
TRIM14	NM_033220	TRIM14	2.157001823	-2.891711708
	XM_017654		0.891551735	-2.890680373
APLP1	NM_005166	APLP1	4.631530816	-2.88753705
TTC19	NM_017775	FLJ20343	2.882124943	-2.881457208
CLK4	NM_020666	CLK4	3.394938066	-2.85936169
TBCB	NM_001281	CKAP1	1.603941662	-2.853096435
DET1	NM_017996	DET1	2.715756903	-2.846598203
KIAA0196	NM_014846	KIAA0196	1.233844844	-2.84082371
DSC1	NM_024421	DSC1	1.749536439	-2.839431808
TRPC4	NM_016179	TRPC4	4.093543967	-2.834896882
WFDC1	AF169631	WFDC1	2.130537469	-2.827901026
CUL3	NM_003590	CUL3	1.27376358	-2.806622741
	NM_018118		2.118748156	-2.806468369
STBD1	NM_003943	GENX-3414	2.828096457	-2.800128687
ETHE1	NM_014297	ETHE1	-0.140444674	-2.796991518
ZNF580	NM_016202	ZNF580	1.214114295	-2.796931031
PTCH2	NM_003738	PTCH2	2.585095288	-2.788804606
	XM_004628		1.268091302	-2.788678252
SHCBP1	NM_024745	SHCBP1	2.634946739	-2.787411779
DHX40	NM_024612	DHX40	3.479083843	-2.78340606
EMCN	NM_016242	EMCN	1.927132958	-2.78330432
UBN1	NM_016936	UBN1	2.530967803	-2.773000958
TAF9	NM_016283	TAF9	4.272484022	-2.772769593
THNSL1	NM_024838	THNSL1	3.902585944	-2.768357692
NDC80	NM_006101	KNTC2	2.41754533	-2.761975695
DPM2	NM_003863	DPM2	2.584217267	-2.759547918
FSHB	NM_000510	FSHB	2.628207125	-2.757764529
	NM_020161	DKFZp547H025	0.011397061	-2.751541814
TTK	NM_003318	TTK	2.255812816	-2.744628975
RPAP3	NM_024604	FLJ21908	3.031656204	-2.743682924
CAPN9	NM_006615	CAPN9	2.536544069	-2.740155541
PAX3	NM_000438	PAX3	3.288140733	-2.738056082
PCM1	NM_006197	PCM1	3.112447615	-2.731945525
SLC1A4	NM_003038	SLC1A4	2.332168943	-2.725899235
ADH5	NM_000671	ADH5	2.027869659	-2.724534917
GPN3	NM_016301	MGC14560	2.658917647	-2.722942375
PER2	NM_022817	PER2	1.244827246	-2.716645051
NFATC4	NM_004554	NFATC4	2.004008104	-2.715269671
MTL5	NM_004923	MTL5	0.951912733	-2.715033666
POLR3F	NM_006466	POLR3F	1.361071914	-2.712695488
TYRP1	NM_000550	TYRP1	0.854537462	-2.709074164
DBF4	NM_006716	ASK	1.38910131	-2.705579681
GID8	NM_017896	C20orf11	-0.060099556	-2.702385006
	NM_023013	LOC65121	2.409232227	-2.698721776
FMR1	NM_002024	FMR1	2.234111657	-2.697306119
SUV420H1	NM_017635	CGI-85	3.048496151	-2.691294003
VWA5A	NM_014622	LOH11CR2A	-0.419324832	-2.678075644
RAB1A	NM_004161	RAB1A	1.979202368	-2.676611455
SEPT7	NM_001788	CDC10	2.925509527	-2.675196153
MPPE1	NM_023075	MPPE1	1.999539973	-2.674790256
	NM_014897		2.59151961	-2.659836861
EIF5A2	NM_020390	EIF5A2	2.544410361	-2.656667512
STMN2	NM_007029	STMN2	3.576457473	-2.651872584
DEPDC1	NM_017779	DEPDC1	3.618169174	-2.64925118
MPO	NM_000250	MPO	2.496066766	-2.641213146
ZNF7	NM_014066	ZNF7	2.800357883	-2.630385647
ITGA2	NM_002203	ITGA2	0.963324526	-2.630027578
LYZ	NM_000239	LYZ	1.05333052	-2.616526108
NFS1	NM_021100	NFS1	2.820365093	-2.609169665
AKAP3	NM_006422	AKAP3	1.967993747	-2.608388539
