Gene symbols	MCF7	MDA-MB-231-ER	MDA-MB-231-ER+FOXA1+GATA3	MDA-MB-231-VECTOR
ACADSB	-0.0855	-0.052	-0.0201	-0.0923
ACPP	-0.1093	-0.0352	-0.0616	-0.0632
AGR2	1.0474	-0.1374	0.0541	0.0232
ANXA9	-0.3655	0.0316	0.0129	0.019
CBLN1	0.0031	0.0598	0.0525	-0.0778
CCL28	0.0293	-0.1111	0.0055	-0.028
CENTD1	-0.0237	0.0034	-0.0735	0.0229
DENND2D	-0.1902	0.0231	0.0381	0.0851
EGR3	1.2475	-0.0015	0.0913	0.0252
EMP2	0.7677	-0.0748	-0.1277	0.0313
ESR1	0.1989	-0.0063	-0.012	-0.0607
ETNK2	-0.2308	-0.0318	0.1126	-0.0831
FBP1	-0.2781	0.0062	0.0928	0.0118
FGFR4	0.2103	0.0012	0.0254	0.027
FOXA1	-0.1031	0.0633	0.1274	-0.0348
FRK	-0.0097	-0.0271	-0.0322	0.0136
GATA3	-0.0475	-0.019	0.1153	0.0418
GRAMD2	0.2642	-0.0025	0.0806	0.0533
HSPA12B	0.113	-0.1391	-0.0304	-0.0983
KIAA0182	0.0813	-0.1246	-0.0614	-0.0568
KIF12	0.1221	-0.0388	-0.0119	-0.0996
KRT18	-0.2083	-0.0062	0.0055	-0.0451
KRT8	-0.1965	-0.1253	0.0362	-0.0068
LARGE	-0.0649	0.0165	0.0241	-0.0019
LIPH	-0.2968	-0.2352	0.0813	0.0542
LRBA	-0.2877	-0.1053	0.0782	-0.0977
MCCC2	0.2054	-0.0703	0.1031	0.0916
MYB	1.6511	0.0633	0.0249	0.0538
NAT1	0.2868	0.0419	0.0082	-0.001
PPP1R3D	1.1366	0.0884	0.0449	0.0789
PREX1	-0.5713	-0.0086	0.044	-0.0342
RET	1.7333	0.0055	-0.0341	0.0287
RHOB	-0.1278	-0.0328	-0.1924	0.003
S100A16	-0.6419	-0.1909	0.1694	0.0112
SCNN1A	-0.8603	-0.2892	-0.067	-0.0949
SCUBE2	0.0482	-0.0448	-0.0487	0.0271
SIDT1	-0.7104	0.0255	-0.0592	0.0385
SLC39A6	1.4719	-0.0293	-0.0868	-0.0049
SYT13	0.1174	0.0011	0.0907	-0.0392
TACSTD2	-0.2465	-0.1065	-0.3571	-0.0879
TPD52L1	1.5787	0.0685	0.0126	0.0599
TSPAN13	0.7268	-0.0392	-0.1513	-0.013
ULK1	0.3675	-0.0744	-0.1744	-0.0678
XBP1	2.2144	0.093	-0.07	0.0258
ZNF552	0.4812	-0.0099	0.0205	-0.0798
