# Generate Mapping Tables Script: Version 4 11:04 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:04 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
unigene|Hs.89832|Hs.89832	hgnc_symbol|INS|INS
unigene|Hs.427202|Hs.427202	hgnc_symbol|TTR|TTR

unigene|Hs.49407|Hs.49407	hgnc_symbol|REG1A|REG1A

unigene|Hs.133430|Hs.133430
unigene|Hs.423901|Hs.423901	hgnc_symbol|GCG|GCG


unigene|Hs.401448|Hs.401448	hgnc_symbol|TPT1|TPT1


unigene|Hs.78546|Hs.78546	hgnc_symbol|ATP2B1|ATP2B1
unigene|Hs.429437|Hs.429437	hgnc_symbol|PCSK1N|PCSK1N
unigene|Hs.48516|Hs.48516	hgnc_symbol|B2M|B2M
unigene|Hs.422118|Hs.422118	hgnc_symbol|EEF1A1|EEF1A1
unigene|Hs.95243|Hs.95243	hgnc_symbol|TCEAL1|TCEAL1
unigene|Hs.75106|Hs.75106	hgnc_symbol|CLU|CLU
unigene|Hs.2265|Hs.2265	hgnc_symbol|SCG5|SCG5
unigene|Hs.418650|Hs.418650	hgnc_symbol|FTH1|FTH1
unigene|Hs.107003|Hs.107003	hgnc_symbol|CCNB1IP1|CCNB1IP1
unigene|Hs.268049|Hs.268049	hgnc_symbol|NIP7|NIP7
unigene|Hs.169476|Hs.169476	hgnc_symbol|GAPDH|GAPDH
unigene|Hs.90436|Hs.90436	hgnc_symbol|SPAG7|SPAG7


unigene|Hs.2281|Hs.2281	hgnc_symbol|CHGB|CHGB
unigene|Hs.180370|Hs.180370	hgnc_symbol|CFL1|CFL1
unigene|Hs.77495|Hs.77495	hgnc_symbol|UBXN4|UBXN4
unigene|Hs.76053|Hs.76053	hgnc_symbol|DDX5|DDX5
unigene|Hs.419094|Hs.419094	hgnc_symbol|PRSS1|PRSS1

unigene|Hs.323562|Hs.323562	hgnc_symbol|MAGT1|MAGT1
unigene|Hs.426138|Hs.426138	hgnc_symbol|TMSB4X|TMSB4X
unigene|Hs.75360|Hs.75360	hgnc_symbol|CPE|CPE
unigene|Hs.73818|Hs.73818	hgnc_symbol|UQCRH|UQCRH



unigene|Hs.142255|Hs.142255	hgnc_symbol|IAPP|IAPP
unigene|Hs.379466|Hs.379466	hgnc_symbol|UBE2A|UBE2A
unigene|Hs.14376|Hs.14376	hgnc_symbol|ACTG1|ACTG1
unigene|Hs.404283|Hs.404283	hgnc_symbol|RAD23B|RAD23B
unigene|Hs.374523|Hs.374523	hgnc_symbol|GNAS|GNAS
unigene|Hs.181244|Hs.181244	hgnc_symbol|HLA-A|HLA-A
unigene|Hs.181874|Hs.181874	hgnc_symbol|IFIT3|IFIT3
unigene|Hs.75410|Hs.75410	hgnc_symbol|HSPA5|HSPA5
unigene|Hs.8709|Hs.8709	hgnc_symbol|CTRC|CTRC
unigene|Hs.234726|Hs.234726	hgnc_symbol|SERPINA3|SERPINA3
unigene|Hs.423|Hs.423	hgnc_symbol|REG3A|REG3A
