UID	NAME	C1	C3	C2	H1	H6	H3	H5	H2	H4
A_01_P008580	||  || A_01_P008580 ||  || Homo sapiens mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli) (MSH2), mRNA [NM_000251] ||  ||  || 6268653	-0.99	-0.82	-0.9	-0.46	-0.43	-0.4	-0.25	-0.57	-0.2
A_01_P008991	||  || A_01_P008991 ||  || Homo sapiens signal recognition particle 19kDa (SRP19), mRNA. [NM_003135] ||  ||  || 6271681	-0.53	-0.43	-0.43	-0.12	0.27	-0.15	0.01	-0.08	0.07
A_01_P011569	||  || A_01_P011569 ||  || Homo sapiens pregnancy specific beta-1-glycoprotein 3 (PSG3), mRNA [NM_021016] ||  ||  || 6293930	1.61	1.5	1.39	-0.09	0.64	0	0.72	-0.44	-0.24
A_01_P008773	||  || A_01_P008773 ||  || Homo sapiens TBP-like 1 (TBPL1), mRNA [NM_004865] ||  ||  || 6269342	0.45	0.46	0.54	0.78	0.92	0.79	1.14	1.11	0.85
A_01_P014194	||  || A_01_P014194 ||  || Homo sapiens chromosome 16 open reading frame 9 (C16orf9), mRNA. [NM_032039] ||  ||  || 6286724	0.76	0.62	0.78	0.28	0.03	0.35	0.31	0.14	0.23
A_01_P011042	||  || A_01_P011042 ||  || PREDICTED: Homo sapiens olfactory receptor, family 2, subfamily M, member 4 (OR2M4), mRNA [XM_371358] ||  ||  || 6272730	-0.08	-0.28	-0.17	0.57	1.11	0.83	0.83	0.47	0.25
A_01_P003552	||  || A_01_P003552 ||  || Homo sapiens chromosome 6 open reading frame 51 (C6orf51), mRNA [NM_138408] ||  ||  || 6283803	-0.34	-0.28	-0.22	0.1	0.3	-0.02	-0.03	0.06	0.06
A_01_P011999	||  || A_01_P011999 ||  || Homo sapiens monogenic, audiogenic seizure susceptibility 1 homolog (mouse) (MASS1), mRNA [NM_032119] ||  ||  || 6268537	-0.4	-0.51	-0.39	-1.02	-1.4	-0.97	-1.35	-0.75	-1.2
A_01_P006491	||  || A_01_P006491 ||  || Homo sapiens KIAA1838 (KIAA1838), mRNA. [NM_032448] ||  ||  || 6270234	-0.55	-0.51	-0.52	-0.59	-0.68	-0.7	-0.66	-0.78	-0.68
A_01_P004562	||  || A_01_P004562 ||  || ILLUMIGEN_MCQ_39129 Katze_MMPB2 Macaca mulatta cDNA clone IBIUW:21744 5 similar to Bases 393 to 753 highly similar to human CTSD (Hs.343475), mRNA sequence [CO646399] ||  ||  || 6269403	0.1	0.08	0.02	-0.22	-0.22	-0.31	-0.01	-0.17	-0.27
A_01_P009204	||  || A_01_P009204 ||  || Homo sapiens SREBP CLEAVAGE-ACTIVATING PROTEIN (SCAP), mRNA [NM_012235] ||  ||  || 6277008	0.13	0.06	0.02	-0.21	-0.36	-0.14	-0.15	-0.21	-0.15
A_01_P000383	||  || A_01_P000383 ||  || PREDICTED: Homo sapiens hypothetical protein FLJ20847 (FLJ20847), mRNA [XM_373413] ||  ||  || 6286060	-0.58	-0.69	-0.59	-1.39	-0.87	-1.25	-1.01	-0.97	-1.29
A_01_P001900	||  || A_01_P001900 ||  || Homo sapiens zinc finger protein 593 (ZNF593), mRNA [NM_015871] ||  ||  || 6292189	0.67	0.72	0.78	0.41	0.51	0.36	0.36	0.29	0.63
A_01_P010813	||  || A_01_P010813 ||  || Homo sapiens TYRO3 protein tyrosine kinase (TYRO3), mRNA [NM_006293] ||  ||  || 6279698	0.41	0.22	0.36	-0.2	0.13	0.02	-0.28	-0.17	-0.24
A_01_P018610	||  || A_01_P018610 ||  || Homo sapiens Treacher Collins-Franceschetti syndrome 1 (TCOF1), transcript variant 3, mRNA [NM_001008657] ||  ||  || 6285592	-0.12	-0.47	-0.38	0.21	0.4	0.71	0.44	1.23	0.42
A_01_P016805	||  || A_01_P016805 ||  || Homo sapiens G protein-coupled receptor kinase interactor 1 (GIT1), mRNA. [NM_014030] ||  ||  || 6278127	0.69	0.82	0.53	-0.32	-1.56	-0.48	-0.39	-0.77	0.06
A_01_P006417	||  || A_01_P006417 ||  || Homo sapiens SEC22 vesicle trafficking protein-like 2 (S. cerevisiae) (SEC22L2), mRNA [NM_012430] ||  ||  || 6277806	-1.55	-1.74	-2.08	-0.98	-0.77	-0.39	-0.01	-0.78	-0.52
A_01_P018856	||  || A_01_P018856 ||  || Homo sapiens solute carrier family 26, member 6 (SLC26A6), transcript variant 1, mRNA. [NM_022911] ||  ||  || 6278123	0.09	0	-0.11	0.71	0.27	0.45	0.26	0.47	0.54
A_01_P019066	||  || A_01_P019066 ||  || Homo sapiens interleukin 13 (IL13), mRNA [NM_002188] ||  ||  || 6270203	0.22	0.17	-0.05	1.78	0.72	1.48	0.89	0.69	1.01
