Gene name	GeneID	Symbol	Change (fold)
Myosin, heavy polypeptide 3, skeletal muscle, embryonic	17883	Myh3	55.35
Sarcolipin	66402	Sln	29.21
Myosin, light polypeptide 4, alkali; atrial, embryonic	17896	Myl4	21.21
Troponin T2, cardiac	21956	Tnnt2	18.79
Ankyrin repeat domain 1 (cardiac muscle)	107765	Ankrd1	17.15
Angiotensin II receptor, type 2	11609	Agtr2	15.94
Metallothionein 2	17750	Mt2	15.63
Myosin, heavy polypeptide 8, skeletal muscle, perinatal	17885	Myh8	10.84
Delta-like 1 homolog (Drosophila)	13386	Dlk1	8.81
Lectin, galactose binding, soluble 3	16854	Lgals3	7.66
C1q and tumor necrosis factor-related protein 3	81799	C1qtnf3	7.33
Metallothionein 1	17748	Mt1	7.12
Procollagen, type VIII, alpha 1	12837	Col8a1	7.03
Tubulin, beta 2b	73710	Tubb2b	6.95
Leukocyte immunoglobulin-like receptor, subfamily B, member 4	14728	Lilrb4	6.92
Macrophage-expressed gene 1	17476	Mpeg1	6.83
S100 calcium-binding protein A4	20198	S100a4	6.8
C-type (calcium-dependent, carbohydrate recognition domain) lectin, superfamily member 12	56644	Clec7a	6.62
GTL2, imprinted maternally expressed untranslated mRNA	17263	Meg3	6.28
Double cortin and calcium/calmodulin-dependent protein kinase-like 1	13175	Dclk1	6.08
Ectodysplasin A2 isoform receptor	245527	Eda2r	6.03
RIKEN cDNA 6030416H16 gene	77712	6030416H16Rik	6.02
Expressed sequence AW551984	244810	AW551984	5.53
Cathepsin S	13040	Ctss	5.24
Cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	214425	Cilp	5.21
ATPase (Na+)/K+-transporting, beta 4 polypeptide	67821	Atp1b4	4.99
Proteoglycan 4 (megakaryocyte-stimulating factor, articular superficial zone protein)	65022	Prg4	4.99
Serine (or cysteine) proteinase inhibitor, clade A, member 3N	20716	Serpina3n	4.97
Procollagen, type XIX, alpha 1	12823	Col19a1	4.65
CD44 antigen	12505	Cd44	4.63
RIKEN cDNA 1110006E14 gene	76286	1110006E14Rik	4.63
Periostin, osteoblast-specific factor	50706	Postn	4.58
Insulin-like growth factor 2	16002	Igf2	4.54
Thrombospondin 4	21828	Thbs4	4.26
Glycoprotein (transmembrane) nmb	93695	Gpnmb	4.23
RIKEN cDNA 1110002H13 gene	66139		4.2
Potassium voltage-gated channel, Isk-related family, member 1-like	66240	Kcne1l	4.12
Cytochrome P450, family 2, subfamily f, polypeptide 2	13107	Cyp2f2	4.09
Kruppel-like factor 5	12224	Klf5	3.87
A disintegrin and metalloprotease domain 8	11501	Adam8	3.85
