Unigene	Gene Symbol	GeneTitle	Fold Change P. gingivalis	Fold Change Fim A	Fold Change LPS
Hs.514913	SERPINB2	Serine (or cysteine) proteinase inhibitor, clade B, member 2	162.0	86.9	62.9
Hs.512234	IL6	Interleukin 6 (interferon,  2)	123.9	60.6	135.7
Hs.196384	PTGS2	Prostaglandin-endoperoxide synthase 2	118.7	67.8	131.6
Hs.160789	LOC341720	Similar to immune-responsive gene 1	84.8	75.0	198.9
Hs.546280	PTX3	Pentaxin-related gene, rapidly induced by IL-1	84.3	66.9	94.2
Hs.389874	TSLP	Thymic stromal lymphopoietin	76.1	32.8	32.6
Hs.75498	CCL20	Chemokine (CC motif) ligand 20	68.2	55.5	53.3
Hs.98309	IL23A	Interleukin 23,  subunit p19	66.3	27.6	25.0
Hs.75765	CXCL2	Chemokine (CXC motif) ligand 2	66.3	50.0	43.4
Hs.530443	LOC387763	Hypothetical LOC387763	56.6	31.2	46.8
Hs.89690	CXCL3	Chemokine (CXC motif) ligand 3	52.8	46.1	43.1
Hs.371976	DMRTA1	DMRT-like family A1	50.3	28.8	11.7
Hs.1722	IL1A	Interleukin 1, 	49.2	22.8	19.5
Hs.99141	COBL	Cordon-bleu homolog (mouse)	48.6	52.5	40.7
Hs.241570	TNF	Tumor necrosis factor (TNF superfamily, member 2)	37.3	24.3	26.7
Hs.519909	MARCKS	Myristoylated alanine-rich protein kinase C substrate	35.2	36.0	37.4
Hs.369785	MGC2749	Hypothetical protein MGC2749	29.9	22.3	18.9
Hs.532316	DBC1	Deleted in bladder cancer 1	26.6	20.4	18.0
Hs.674	IL12B	Interleukin 12B	26.5	9.3	13.7
Hs.445818	SPON1	Spondin 1, extracellular matrix protein	23.6	17.8	16.0
Hs.126256	IL1B	Interleukin 1, 	23.4	21.2	20.2
Hs.164073	SLC26A9	Solute carrier family 26, member 9	22.9	18.7	23.7
Hs.789	CXCL1	Chemokine (CXC motif) ligand 1	21.6	18.6	17.2
Hs.272493	CCL14	Chemokine (CC motif) ligand 14	18.3	8.8	13.7
Hs.506423	EDN1	Endothelin 1	17.9	10.7	11.2
Hs.335891	ABCC11	ATP-binding cassette, subfamily C, member 11	17.8	15.3	13.0
Hs.508234	KLF5	Kruppel-like factor 5 (intestinal)	17.4	15.6	14.4
Hs.248189	KRTHA6	Keratin, hair, acidic, 6	15.6	11.1	14.6
Hs.487046	SOD2	Superoxide dismutase 2, mitochondrial	15.3	12.7	11.1
Hs.466919	GEMIN7	Gem (nuclear organelle) associated protein 7	15.2	11.9	14.5
Hs.210043	SGPP2	Sphingosine-1-phosphate phosphatase 2	14.6	11.3	10.7
Hs.50550	KBTBD10	Kelch repeat and BTB (POZ) domain containing 10	14.5	12.6	14.7
Hs.274256	ELOVL7	ELOVL family member 7, elongation of long-chain fatty acids	14.3	12.4	11.4
Hs.502328	CD44	CD44 antigen (homing function and Indian blood group system)	14.2	5.4	7.5
Hs.23582	TACSTD2	Tumor-associated calcium signal transducer 2	13.1	11.9	15.0
Hs.235768	NKIR	CD300 antigen-like family member F	12.8	7.9	11.2
Hs.432132	G0S2	Putative lymphocyte G0/G1 switch gene	12.4	8.5	6.3
Hs.105448	WNK4	WNK lysine-deficient protein kinase 4	12.3	9.5	12.1
Hs.76095	IER3	Immediate early response 3	11.8	9.5	6.9
Hs.55999	NKX3–1	NK3 transcription factor-related locus 1	11.6	7.1	7.4
Hs.413924	CXCL10	Chemokine (CXC motif) ligand 10	10.8	14.2	34.8
Hs.155396	NFE2L2	Nuclear factor (erythroid-derived 2)-like 2	9.4	11.3	10.3
Hs.525607	TNFAIP2	Tumor necrosis factor,  -induced protein 2	9.4	8.2	8.7
Hs.112148	TGIF2LY	TGFB-induced factor 2-like, Y-linked	8.5	7.4	10.6
Hs.113912	RAPGEF2	Rap guanine nucleotide exchange factor (GEF) 2	5.8	8.3	12.0
Hs.157818	KCNAB1	Potassium voltage-gated channel, shaker-related subfamily,  member 1	16.4	10.9	NC
Hs.506415	PCTK2	PCTAIRE protein kinase 2	13.9	8.4	NC
Hs.268785	ACSL4	Acyl-CoA synthetase long-chain family member 4	14.6	NC	NC
Hs.489615	PBEF1	Pre-B cell colony enhancing factor 1	13.1	NC	NC
Hs.428214	MAML2	Mastermind-like 2 (Drosophila)	11.4	NC	NC
Hs.93177	IFNB1	Interferon,  1, fibroblast	NC	NC	132.4
Hs.518814	CXCL11	Chemokine (CXC motif) ligand 11	NC	NC	98.6
Hs.437609	IFIT2	Interferon-induced protein with tetratricopeptide repeats 2	NC	NC	68.1
Hs.118633	OASL	2-5-oligoadenylate synthetase like	NC	NC	26.3
Hs.20315	IFIT1	Interferon-induced protein with tetratricopeptide repeats 1	NC	NC	18.8
Hs.47357	CH25H	Cholesterol 25-hydroxylase	NC	NC	12.8
Hs.38260	USP18	Ubiquitin-specific protease 18	NC	NC	11.0
Hs.376206	KLF4	Kruppel-like factor 4 (gut)	NC	NC	9.4
Hs.166120	IRF7	Interferon regulatory factor 7	NC	NC	7.6
Hs.50640	SOCS1	Suppressor of cytokine signaling 1	NC	NC	5.9
