Probeset ID	Corr.	Gene Symbol	Gene description
213557_at	0.38	CDK12 (CRK7)	cyclin-dependent kinase 12
210930_s_at	0.42	ERBB2	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)
213506_at	0.35	F2RL1	coagulation factor II (thrombin) receptor-like 1
210761_s_at	0.43	GRB7	growth factor receptor-bound protein 7
204615_x_at	0.37	IDI1	isopentenyl-diphosphate delta isomerase 1
208083_s_at	0.36	ITGB6	integrin, beta 6
221811_at	0.37	PERLD1 (PGAP3)	post-GPI attachment to proteins 3
203497_at	0.45	PPARBP (MED1, TRP220)	mediator complex subunit 1
201916_s_at	0.37	SEC63	SEC63 homolog (S. cerevisiae)
202991_at	0.37	STARD3	StAR-related lipid transfer (START) domain containing 3
202702_at	0.36	TRIM26	tripartite motif-containing 26
219619_at	-0.36	DIRAS2	DIRAS family, GTP-binding RAS-like 2
218321_x_at	-0.36	DUSP24 (STYXL1)	serine/threonine/tyrosine interacting-like 1
202692_s_at	-0.36	UBTF	upstream binding transcription factor, RNA polymerase I
