Gene Symbol	Gene Description	FC	P value
AGTR1	angiotensin II receptor	K7	0.046
CCDC85A	coiled-coil domain containing 85A	K2	0.018
CDH16	cadherin 16	K4	0.041
CITED2	Cbp/p300-interacting transactivator	K3	0.008
CTGF	connective tissue growth factor	K6	0.011
CYR61	cysteine-rich, angiogenic inducer, 61	K4	0.038
DLC1	deleted in liver cancer 1	K2	0.042
DNASE1L3	DNase I-like 3	K7	0.005
DUSP14	dual specificity phosphatase 14	K2	0.035
EGR2	early growth response 2	K8	0.005
FOSB	FBJ murine osteosarcoma viral oncogene	K8	0.01
JUN	jun oncogene	K3	0.034
KCNAB1	potassium voltage-gated channel	K4	0.045
MAN1C1	mannosidase, alpha	K3	0.026
MATN2	matrilin 2	K3	0.043
NR4A1	nuclear receptor subfamily 4	K7	0.009
NR4A3	nuclear receptor subfamily 4, group A	K24	0.032
PLA2R1	phospholipase A2 receptor 1	K4	0.007
PTPRN2	protein tyrosine phosphatase	K2	0.027
SDPR	serum deprivation response	K5	0.01
SLC26A4	solute carrier family 26	K3	0.038
SLCO2A1	solute carrier organic anion transporter family	K2	0.032
