Gene Symbol	Gene Description
ABCC4	ATP-binding cassette, sub-family C (CFTR/MRP), member 4
C11orf75	chromosome 11 open reading frame 75
CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)
ENC1	ectodermal-neural cortex (with BTB-like domain)
ESRP2	epithelial splicing regulatory protein 2
GOLM1	golgi membrane protein 1
KIAA0101	KIAA0101
MYO5B	myosin VB
NDUFS8	NADH dehydrogenase (ubiquinone) Fe-S protein 8, 23 kDa (NADH-coenzyme Q reductase)
NNMT	nicotinamide N-methyltransferase
NTM	neurotrimin
PBRM1	polybromo 1
PDLIM5	PDZ and LIM domain 5
POSTN	periostin, osteoblast specific factor
RUNX1	runt-related transcription factor 1
SERP1	stress-associated endoplasmic reticulum protein 1
SORD	sorbitol dehydrogenase
SPATS2L	spermatogenesis associated, serine-rich 2-like
VOPP1	vesicular, overexpressed in cancer, prosurvival protein 1
YARS	tyrosyl-tRNA synthetase
