Gene abbreviation	Gene name	Expression	Promoter
ALCAM	Activated leukocyte cell adhesion molecule	-	-
ANKRD15	Ankyrin repeat domain 15	-	-
CCPG1	Cell cycle progression 1 (predicted)	-	+
CXCR4	Chemokine (C-X-C motif) receptor 4	+	+
DMN	Desmuslin	-	-
DNAJB9	DnaJ (Hsp40) homolog, subfamily B, member 9	-	-
FOXA1	Forkhead box A1	-	-
GATM	Glycine amidinotransferase	-	-
KIDINS220	Kinase D-interacting substance 220	-	-
MGMT	O-6-methylguanine-DNA methyltransferase	+	+
MTUS1	Mitochondrial tumor suppressor 1	-	-
MYCL1	v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived	+	+
MYO1E	Myosin IE	-	-
NPM1	Nucleophosmin 1 (Nucleolar phosphoprotein B23) (Numatrin)	+	-
NTRK2	Neurotrophic tyrosine kinase, receptor, type 2	-	+
TP53	Tumor protein p53	+	+
PDE4B	Phosphodiesterase 4B, cAMP specific	-	-
PLTP	Phospholipid transfer protein (predicted)	+	+
PRKCH	Protein kinase C, eta	-	+
PRPSAP1	Phosphoribosyl pyrophosphate synthetase-associated protein 1	+	+
RGS16	Regulator of G-protein signaling 16	+	-
SGK	Serum/glucocorticoid regulated kinase	-	-
SLC19A1	Solute carrier family 19, member 1	+	+
SLIT2	Slit homolog 2 (Drosophila)	-	+
TST	Thiosulfate sulfurtransferase	+	-
