Curated Gene Symbol	FeatureNumber	GeneName	siCTNNB1	siBRG1	siP300	siMLLT10	Description
CYTIP	16926	PSCDBP	-3.343	-0.008	-0.001	0.183	pleckstrin homology, Sec7 and coiled-coil domains, binding protein (PSCDBP), mRNA [NM_004288]
	8278	THC2665398	-3.212	-0.954	-0.503	-0.087	Q5T0S6_HUMAN (Q5T0S6) Palmitoyl-protein thioesterase 1 (Ceroid-lipofuscinosis, neuronal 1, infantile) (Fragment), partial (5%) [THC2665398]
SP5	71	SP5	-3.149	1.004	1.636	0.359	Sp5 transcription factor (SP5), mRNA [NM_001003845]
PTPRO	16832	PTPRO	-3.116	-0.605	-0.601	-0.579	protein tyrosine phosphatase, receptor type, O (PTPRO), transcript variant 1, mRNA [NM_030667]
ACSL5	37439	ACSL5	-3	0.132	-1.897	0.065	acyl-CoA synthetase long-chain family member 5 (ACSL5), transcript variant 3, mRNA [NM_203380]
DEFA6	33320	DEFA6	-2.931	-2.73	-3.928	0.833	defensin, alpha 6, Paneth cell-specific (DEFA6), mRNA [NM_001926]
ASCL2	17435	ASCL2	-2.813	0.038	0.508	-0.286	achaete-scute complex homolog 2 (Drosophila) (ASCL2), mRNA [NM_005170]
CTNNB1	31409	CTNNB1	-2.803	0.214	0.254	0.028	catenin (cadherin-associated protein), beta 1, 88kDa (CTNNB1), mRNA [NM_001904]
CTNNB1	32329	CTNNB1	-2.73	0.207	0.253	0.008	catenin (cadherin-associated protein), beta 1, 88kDa (CTNNB1), mRNA [NM_001904]
CTNNB1	14130	CTNNB1	-2.729	0.268	0.284	0.042	catenin (cadherin-associated protein), beta 1, 88kDa (CTNNB1), mRNA [NM_001904]
CTNNB1	12154	CTNNB1	-2.724	0.235	0.262	0.037	catenin (cadherin-associated protein), beta 1, 88kDa (CTNNB1), mRNA [NM_001904]
CTNNB1	22688	CTNNB1	-2.708	0.238	0.343	0.006	catenin (cadherin-associated protein), beta 1, 88kDa (CTNNB1), mRNA [NM_001904]
CTNNB1	3467	CTNNB1	-2.706	0.2	0.264	0.058	catenin (cadherin-associated protein), beta 1, 88kDa (CTNNB1), mRNA [NM_001904]
CTNNB1	35727	CTNNB1	-2.704	0.231	0.316	0.052	catenin (cadherin-associated protein), beta 1, 88kDa (CTNNB1), mRNA [NM_001904]
CTNNB1	35413	CTNNB1	-2.692	0.188	0.297	0.023	catenin (cadherin-associated protein), beta 1, 88kDa (CTNNB1), mRNA [NM_001904]
CTNNB1	29757	CTNNB1	-2.676	0.217	0.319	0.024	catenin (cadherin-associated protein), beta 1, 88kDa (CTNNB1), mRNA [NM_001904]
CTNNB1	7985	CTNNB1	-2.673	0.256	0.284	0.025	catenin (cadherin-associated protein), beta 1, 88kDa (CTNNB1), mRNA [NM_001904]
	11447	AK022843	-2.655	-1.179	-0.437	-0.599	Homo sapiens cDNA FLJ12781 fis, clone NT2RP2001861. [AK022843]
KIAA1199	12967	KIAA1199	-2.623	0.219	-0.517	0.271	KIAA1199 (KIAA1199), mRNA [NM_018689]
	10298	THC2603717	-2.592	0.165	0.054	0.073	Q8WNW4_PIG (Q8WNW4) Beta-catenin, partial (11%) [THC2603717]
KIAA1199	43613	KIAA1199	-2.569	0.339	-0.448	0.363	KIAA1199 (KIAA1199), mRNA [NM_018689]
SP5	8926	SP5	-2.545	1.023	1.602	0.299	Sp5 transcription factor (SP5), mRNA [NM_001003845]
TNFSF12	19861	TNFSF12	-2.503	0.449	0.434	-0.185	tumor necrosis factor (ligand) superfamily, member 12 (TNFSF12), mRNA [NM_003809]
CTNNB1	30265	CTNNB1	-2.487	-0.04	0.115	0.065	catenin (cadherin-associated protein), beta 1, 88kDa (CTNNB1), mRNA [NM_001904]
KRTAP9-2	6036	KRTAP9-2	-2.417	-3.913	-4.221	-0.047	keratin associated protein 9-2 (KRTAP9-2), mRNA [NM_031961]
RGMB	2860	RGMB	-2.416	-0.813	-1.236	-0.873	RGM domain family, member B (RGMB), transcript variant 2, mRNA [NM_173670]
	26592	THC2689175	-2.355	-0.474	-0.405	0.468	AB002334 Start codon is not identified {Homo sapiens} (exp=-1; wgp=0; cg=0), partial (9%) [THC2689175]
REG1A	37142	REG1A	-2.346	-0.903	-0.679	-0.235	regenerating islet-derived 1 alpha (pancreatic stone protein, pancreatic thread protein) (REG1A), mRNA [NM_002909]
ETS2	29851	ETS2	-2.309	0.437	-0.161	-0.255	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian) (ETS2), mRNA [NM_005239]
ASMT	42082	ASMT	-2.257	-0.142	-0.636	0.089	acetylserotonin O-methyltransferase (ASMT), mRNA [NM_004043]
ENC1	45165	ENC1	-2.251	0.23	0.035	0.164	ectodermal-neural cortex (with BTB-like domain) (ENC1), mRNA [NM_003633]
ARID5B	17665	ARID5B	-2.244	0.345	-0.497	0.006	AT rich interactive domain 5B (MRF1-like) (ARID5B), mRNA [NM_032199]
MEX3A	10746	MEX3A	-2.241	-0.072	0.029	-0.251	mex-3 homolog A (C. elegans) (MEX3A), mRNA [NM_001093725]
EPHA4	30076	EPHA4	-2.199	-0.057	0.013	-0.19	EPH receptor A4 (EPHA4), mRNA [NM_004438]
SLC12A2	12792	SLC12A2	-2.173	0.508	-0.012	-0.144	solute carrier family 12 (sodium/potassium/chloride transporters), member 2 (SLC12A2), mRNA [NM_001046]
EPHB3	23055	EPHB3	-2.136	-0.397	-0.205	-0.122	EPH receptor B3 (EPHB3), mRNA [NM_004443]
SLC12A2	44948	SLC12A2	-2.132	-0.224	-0.501	-0.129	solute carrier family 12 (sodium/potassium/chloride transporters), member 2 (SLC12A2), mRNA [NM_001046]
ENC1	10561	ENC1	-2.048	0.059	-0.245	0.185	ectodermal-neural cortex (with BTB-like domain) (ENC1), mRNA [NM_003633]
ARID5B	23962	ARID5B	-2.032	0.356	-0.443	0.038	AT rich interactive domain 5B (MRF1-like) (ARID5B), mRNA [NM_032199]
RGMB	11134	RGMB	-2.029	0.237	0.234	-0.539	RGM domain family, member B (RGMB), transcript variant 1, mRNA [NM_001012761]
ETS2	13632	ETS2	-2.018	0.007	-0.321	-0.407	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian) (ETS2), mRNA [NM_005239]
ITPR2	7654	ITPR2	-2.002	-0.008	-0.101	-0.144	inositol 1,4,5-triphosphate receptor, type 2 (ITPR2), mRNA [NM_002223]
AXIN2	34975	AXIN2	-1.972	0.012	-0.221	0.18	axin 2 (conductin, axil) (AXIN2), mRNA [NM_004655]
KIF3C	5281	KIF3C	-1.965	0.085	0.493	0.082	kinesin family member 3C (KIF3C), mRNA [NM_002254]
SMOC2	42394	SMOC2	-1.936	-0.445	-0.246	-0.625	SPARC related modular calcium binding 2 (SMOC2), mRNA [NM_022138]
SMAD9	18345	SMAD9	-1.861	0.073	-0.013	-0.126	SMAD family member 9 (SMAD9), mRNA [NM_005905]
PMAIP1	13963	PMAIP1	-1.849	0.27	0.015	-0.094	phorbol-12-myristate-13-acetate-induced protein 1 (PMAIP1), mRNA [NM_021127]
LOXL3	18705	LOXL3	-1.813	-0.513	-0.335	-0.326	lysyl oxidase-like 3 (LOXL3), mRNA [NM_032603]
SYBU	24032	GOLSYN	-1.809	0.37	-0.471	-0.231	Golgi-localized protein (GOLSYN), transcript variant 9, mRNA [NM_017786]
PMAIP1	12185	PMAIP1	-1.801	0.125	-0.014	-0.141	phorbol-12-myristate-13-acetate-induced protein 1 (PMAIP1), mRNA [NM_021127]
CYP26B1	1451	CYP26B1	-1.797	0.287	1.203	0.264	cytochrome P450, family 26, subfamily B, polypeptide 1 (CYP26B1), mRNA [NM_019885]
TMEM80	40130	TMEM80	-1.775	-0.031	1.585	-0.7	transmembrane protein 80 (TMEM80), transcript variant 2, mRNA [NM_001042463]
PMAIP1	8535	PMAIP1	-1.773	0.261	0.013	-0.097	phorbol-12-myristate-13-acetate-induced protein 1 (PMAIP1), mRNA [NM_021127]
KRTAP3-3	45115	KRTAP3-3	-1.77	-2.468	-3.656	0.179	keratin associated protein 3-3 (KRTAP3-3), mRNA [NM_033185]
ETS2	7642	ETS2	-1.765	0.745	0.065	-0.345	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian) (ETS2), mRNA [NM_005239]
	40774	A_24_P565496	-1.729	-0.46	0.066	0.137	Unknown
SEMA3A	8719	SEMA3A	-1.728	0.41	0.823	-0.224	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A (SEMA3A), mRNA [NM_006080]
MEX3A	5153	MEX3A	-1.714	-0.086	-0.021	-0.197	mex-3 homolog A (C. elegans) (MEX3A), mRNA [NM_001093725]
LRP4	33659	LRP4	-1.712	0.576	-0.544	-0.337	low density lipoprotein receptor-related protein 4 (LRP4), mRNA [NM_002334]
	4591	BX647543	-1.658	-3.414	-2.829	-0.194	Homo sapiens mRNA; cDNA DKFZp779F2345 (from clone DKFZp779F2345). [BX647543]
PMAIP1	7384	PMAIP1	-1.656	0.186	-0.066	-0.17	phorbol-12-myristate-13-acetate-induced protein 1 (PMAIP1), mRNA [NM_021127]
PMAIP1	13511	PMAIP1	-1.637	0.212	-0.018	-0.184	phorbol-12-myristate-13-acetate-induced protein 1 (PMAIP1), mRNA [NM_021127]
ID1	37294	ID1	-1.633	0.744	0.767	0.068	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein (ID1), transcript variant 1, mRNA [NM_002165]
	26591	THC2539634	-1.63	-0.127	-0.369	0.314	Q5T5W6_HUMAN (Q5T5W6) OTTHUMP00000016820, partial (82%) [THC2539634]
	18729	ENST00000359454	-1.613	-1.232	-0.961	-0.396	Similar to CG32662-PA. [Source:Uniprot/SPTREMBL;Acc:Q6NS92] [ENST00000359454]
	27893	BX111592	-1.609	-0.427	0.062	-0.303	BX111592 Soares_testis_NHT Homo sapiens cDNA clone IMAGp998D162621, mRNA sequence [BX111592]
RHOBTB3	5817	RHOBTB3	-1.59	-0.178	-0.519	-0.058	Rho-related BTB domain containing 3 (RHOBTB3), mRNA [NM_014899]
PMAIP1	37441	PMAIP1	-1.576	0.265	-0.025	-0.153	phorbol-12-myristate-13-acetate-induced protein 1 (PMAIP1), mRNA [NM_021127]
NAV3	2819	NAV3	-1.571	-0.895	-0.917	-0.434	neuron navigator 3 (NAV3), mRNA [NM_014903]
CPXM2	26269	CPXM2	-1.567	-0.091	-0.586	-0.47	carboxypeptidase X (M14 family), member 2 (CPXM2), mRNA [NM_198148]
SLC6A6	4733	SLC6A6	-1.561	-0.328	-0.556	-0.051	solute carrier family 6 (neurotransmitter transporter, taurine), member 6 (SLC6A6), mRNA [NM_003043]
