Probe set	Genbank	Gene Symbol	Nevi-Mean	Nevi-StdErr	Melanoma-Mean	Melanoma-StdErr	p-value	Description
1552652_at	NM_152843	HPS4	80.61	12.16	223.61	35.05	2.23E-04	Hermansky-Pudlak syndrome 4
1555167_s_at	BC020691	PBEF1	143.35	27.54	475.57	66.14	2.11E-05	pre-B-cell colony enhancing factor 1
1555505_a_at	BC027179	TYR	59.07	18.39	359.59	53.14	7.13E-06	tyrosinase (oculocutaneous albinism IA)
1555579_s_at	BC029442	PTPRM	65.71	17.99	430.62	47.44	2.36E-07	protein tyrosine phosphatase, receptor type, M
1556593_s_at	AI192486		66.13	7.92	12.17	1.83	1.67E-04	CDNA FLJ40061 fis, clone TESOP2000083
1556690_s_at	AW341225	ZNF42	79.47	6.69	39.42	3.51	1.73E-04	Zinc finger protein 42 (myeloid-specific retinoic acid-responsive)
1556839_s_at	AA515490	SPTBN5	606.98	73.17	50.91	17.93	2.73E-04	Spectrin, beta, non-erythrocytic 5
1556988_s_at	BE220618	CHD1L	45.24	4.32	82.79	8.32	8.59E-05	chromodomain helicase DNA binding protein 1-like
1557292_a_at	AW665790	MCOLN3	53.73	13.95	203.04	26.96	3.86E-05	mucolipin 3
1557797_a_at	AW611486	ZFHX1B	119.29	32.81	736.29	83.12	3.73E-07	Zinc finger homeobox 1b
1558695_at	AF085937	PLEKHA5	37.95	9.19	119.8	25.03	2.18E-04	Pleckstrin homology domain containing, family A member 5
1559035_a_at	AA115234	AHR	16.28	2.79	29.42	4.46	1.24E-04	Aryl hydrocarbon receptor
1559397_s_at	BE788667	MGC3121	222.18	27.01	64.5	14.35	4.04E-07	hypothetical protein MGC3121
1559759_at	BE407830	KIFC3	33.77	3.75	16.91	1.41	5.30E-05	Kinesin family member C3
200601_at	U48734	ACTN4	507.22	37.69	126.67	14.8	3.05E-07	actinin, alpha 4
200645_at	NM_007278	GABARAP	1207.88	52.96	609.53	68.45	3.50E-05	GABA(A) receptor-associated protein
200665_s_at	NM_003118	SPARC	161.23	24.84	840.08	107.62	1.31E-07	secreted protein, acidic, cysteine-rich (osteonectin)
200747_s_at	NM_006185	NUMA1	117.66	6.55	61.99	4.79	1.67E-04	nuclear mitotic apparatus protein 1
200755_s_at	BF939365	CALU	215.37	18.31	480.09	61.73	9.97E-05	calumenin
200782_at	NM_001154	ANXA5	168.01	24.87	602.76	64.31	3.14E-05	annexin A5
200819_s_at	NM_001018	RPS15	3484.7	171.23	1321.29	108.41	4.04E-07	ribosomal protein S15
200914_x_at	BF589024	KTN1	401.66	22.08	258.91	24.14	5.80E-05	kinectin 1 (kinesin receptor)
200958_s_at	NM_005625	SDCBP	531.24	85.85	2685.15	190.75	3.11E-07	syndecan binding protein (syntenin)
201037_at	NM_002627	PFKP	77.55	7.26	190.99	18.39	2.84E-04	phosphofructokinase, platelet
201091_s_at	BE748755	CBX3	690.74	39.69	1406.55	107.74	4.00E-05	chromobox homolog 3 (HP1 gamma homolog, Drosophila)
201245_s_at	AL523776	OTUB1	253.01	40	65.66	8.6	9.45E-05	OTU domain, ubiquitin aldehyde binding 1
201247_at	BE513151	SREBF2	150.01	15.5	45.97	3.85	1.38E-04	sterol regulatory element binding transcription factor 2
201278_at	N21202	DAB2	30.81	5.35	192.2	28.79	7.43E-05	Disabled homolog 2, mitogen-responsive phosphoprotein
201299_s_at	NM_018221	MOBK1B	663.01	27.96	397.14	33.55	2.04E-04	MOB1, Mps One Binder kinase activator-like 1B (yeast)
