Description	GenBank	ln(ratio)	s.d.
EST	AA957259	-0.69	0.21
ESTs, similar to mouse sulfatase 2	AA818752	-0.67	0.21
ribosomal protein S2	AA858970	-0.61	0.28
ESTs	AI535091	-0.6	0.06
ESTs	AI535146	-0.56	0.18
ESTs	AA819706	-0.56	0.22
ESTs	AA925017	-0.55	0.24
ESTs	AA819629	-0.54	0.13
ESTs	AA899719	-0.5	0.08
ESTs	AA999079	-0.5	0.24
EST	AI712691	-0.48	0.2
ESTs	AI511338	-0.45	0.18
ESTs, similar to human cAMP-specific phosphodiesterase	AI029492	-0.45	0.08
Ketohexokinase	AI043767	-0.45	0.06
ESTs	AA963223	-0.44	0.17
removed by submitter	AI029900	-0.44	0.2
ESTs	AA964046	-0.44	0.16
EST	AA901153	-0.43	0.13
(F344/Crj)rearranged mRNA for T-cell receptor gamma chain	AA997294	-0.43	0.18
ESTs	AI502193	-0.43	0.2
ESTs, similar to human splicing factor, arginine/serine-rich 8	AA996595	-0.43	0.1
ESTs	AA997608	-0.42	0.15
ESTs	AI071858	-0.42	0.15
ESTs	AA965083	-0.42	0.2
	AA965259	-0.42	0.11
potassium voltage gated channel, Shal-related family, member 3	AA875401	-0.41	0.17
ESTs	AA956878	-0.41	0.15
ESTs	AA956015	-0.41	0.17
ESTs, similar to mouse synaptotagmin 4	AA819815	-0.41	0.18
ESTs, similar to mouse DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 13 (RNA helicase A)	AI547754	-0.4	0.12
ESTs	AI070805	-0.4	0.2
ESTs	AA955765	-0.4	0.15
ESTs, similar to mouse beta-1,3-galactosyltransferase-related protein	AA925019	-0.4	0.17
ESTs	AI030024	-0.4	0.15
nuclear transcription factor - Y beta	AA817843	-0.39	0.1
ESTs	AI045410	-0.39	0.15
glycine cleavage system protein H (aminomethyl carrier)	AA964330	-0.39	0.13
ESTs	AA964269	-0.39	0.19
ESTs	AI044521	-0.39	0.08
ESTs	AA817988	-0.38	0.17
ESTs, similar to mouse small unique nuclear receptor co-repressor	AI454091	-0.38	0.09
ESTs	AA819794	-0.38	0.13
	AI070885	-0.38	0.17
liver regeneration p-53 related protein	AA924085	-0.37	0.11
	AA900615	-0.37	0.17
ESTs	AI030506	-0.37	0.13
ESTs	AA866349	-0.37	0.14
ESTs	AA858474	-0.36	0.14
ESTs	AA997807	-0.36	0.16
ESTs	AA818801	-0.36	0.13
growth response protein (CL-6)	AI548002	-0.36	0.17
matrin 3	AI072656	-0.36	0.15
Protein-L-isoaspartate (D-aspartate) O-methyltransferase	AA997617	-0.36	0.1
ESTs	AI071446	-0.36	0.14
ESTs	AI045277	-0.36	0.07
ESTs	AA819650	-0.35	0.17
ESTs	AA924888	-0.35	0.07
