ProbeID	gene	Status	F	P.Value	adj.P.Val
239214_at	CDNA clone IMAGE:7505105	Down	55.599209	3.09E-47	1.38E-42
228827_at	MRNA; cDNA DKFZp564B213 (from clone DKFZp564B213)	Down	52.281396	9.15E-46	4.09E-41
221969_at	Transcribed locus	Down	50.018177	1.02E-44	4.58E-40
203074_at	ANXA8 /// ANXA8L1 /// ANXA8L2: annexin A8-like 2 /// annexin A8 /// annexin A8-like 1	Down	43.459645	1.91E-41	8.56E-37
215925_s_at	CD72: CD72 molecule	Down	41.308937	2.75E-40	1.23E-35
209101_at	CTGF: connective tissue growth factor	Down	41.303613	2.77E-40	1.24E-35
227646_at	CDNA FLJ39389 fis, clone PLACE6003621	Down	37.217947	6.02E-38	2.7E-33
213539_at	CD3D: CD3d molecule, delta (CD3-TCR complex)	Up	36.202001	2.46E-37	1.1E-32
214651_s_at	HOXA9: homeobox A9	Up	35.86989	3.93E-37	1.76E-32
205529_s_at	RUNX1T1: runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	Down	35.055217	1.25E-36	5.6E-32
206398_s_at	CD19: CD19 molecule	Down	33.837494	7.35E-36	3.29E-31
205110_s_at	FGF13: fibroblast growth factor 13	Down	33.613037	1.02E-35	4.58E-31
201069_at	MMP2: matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	Down	32.998347	2.56E-35	1.14E-30
207655_s_at	BLNK: B-cell linker	Down	31.835198	1.5E-34	6.71E-30
204069_at	MEIS1: Meis homeobox 1	Up	31.727711	1.77E-34	7.92E-30
239393_at	Transcribed locus	Down	31.503592	2.51E-34	1.12E-29
223828_s_at	LGALS12: lectin, galactoside-binding, soluble, 12 (galectin 12)	Down	30.11764	2.23E-33	9.99E-29
205528_s_at	RUNX1T1: runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	Down	29.558396	5.51E-33	2.46E-28
209905_at	HOXA9: homeobox A9	Up	29.515003	5.91E-33	2.64E-28
205382_s_at	CFD: complement factor D (adipsin)	Down	29.083975	1.2E-32	5.35E-28
209170_s_at	GPM6B: glycoprotein M6B	Down	28.91621	1.58E-32	7.05E-28
216320_x_at	MST1: macrophage stimulating 1 (hepatocyte growth factor-like)	Up	28.479383	3.26E-32	1.46E-27
206940_s_at	POU4F1: POU class 4 homeobox 1	Down	28.408849	3.66E-32	1.64E-27
213150_at	HOXA10: homeobox A10	Up	28.002436	7.25E-32	3.24E-27
214297_at	CSPG4: chondroitin sulfate proteoglycan 4	Down	27.727978	1.15E-31	5.17E-27
227719_at	Hs.103262.0	Down	27.637104	1.35E-31	6.03E-27
38487_at	STAB1: stabilin 1	Down	27.292402	2.43E-31	1.09E-26
224918_x_at	MGST1: microsomal glutathione S-transferase 1	Down	27.199091	2.86E-31	1.28E-26
219667_s_at	BANK1: B-cell scaffold protein with ankyrin repeats 1	Down	26.967568	4.26E-31	1.91E-26
233500_x_at	CLEC2D: C-type lectin domain family 2, member D	Down	26.60198	8.06E-31	3.6E-26
205614_x_at	MST1: macrophage stimulating 1 (hepatocyte growth factor-like)	Up	26.459263	1.04E-30	4.63E-26
221558_s_at	LEF1: lymphoid enhancer-binding factor 1	Up	26.437157	1.08E-30	4.81E-26
231736_x_at	MGST1: microsomal glutathione S-transferase 1	Down	26.326514	1.31E-30	5.85E-26
209167_at	GPM6B: glycoprotein M6B	Down	26.318917	1.33E-30	5.93E-26
211341_at	POU4F1: POU class 4 homeobox 1	Down	26.055991	2.11E-30	9.44E-26
235521_at	HOXA3: homeobox A3	Up	25.977128	2.43E-30	1.09E-25
228424_at	NAALADL1: N-acetylated alpha-linked acidic dipeptidase-like 1	Down	25.963273	2.49E-30	1.11E-25
209168_at	GPM6B: glycoprotein M6B	Down	25.764279	3.55E-30	1.59E-25
230983_at	FAM129C: family with sequence similarity 129, member C	Down	25.428021	6.49E-30	2.9E-25
211796_s_at	TRBC1 /// TRBV19 /// TRBV3-1 /// TRBV5-4 /// TRBV7-2: T cell receptor beta variable 19 /// T cell receptor beta variable 7-2 /// T cell receptor beta variable 5-4 /// T cell receptor beta variable 3-1 /// T cell receptor beta constant 1	Up	25.029504	1.34E-29	5.99E-25
214049_x_at	CD7: CD7 molecule	Up	25.028863	1.34E-29	5.99E-25
211126_s_at	CSRP2: cysteine and glycine-rich protein 2	Down	24.943658	1.57E-29	7E-25
213830_at	TRA@: T cell receptor alpha locus	Up	24.939856	1.58E-29	7.05E-25
218468_s_at	GREM1: gremlin 1, cysteine knot superfamily, homolog (Xenopus laevis)	Down	24.778629	2.12E-29	9.48E-25
210915_x_at	TRBC1 /// TRBV19: T cell receptor beta variable 19 /// T cell receptor beta constant 1	Up	24.69269	2.48E-29	1.11E-24
201360_at	CST3: cystatin C (amyloid angiopathy and cerebral hemorrhage)	Down	24.644187	2.71E-29	1.21E-24
216191_s_at	TRA@ /// TRD@: T cell receptor alpha locus /// T cell receptor delta locus	Up	24.636058	2.76E-29	1.23E-24
204150_at	STAB1: stabilin 1	Down	24.418593	4.12E-29	1.84E-24
210116_at	SH2D1A: SH2 domain protein 1A, Duncans disease (lymphoproliferative syndrome)	Up	24.179783	6.43E-29	2.87E-24
205821_at	KLRK1: killer cell lectin-like receptor subfamily K, member 1	Down	24.015048	8.75E-29	3.91E-24
207030_s_at	CSRP2: cysteine and glycine-rich protein 2	Down	23.962566	9.65E-29	4.32E-24
217143_s_at	TRA@ /// TRD@: T cell receptor alpha locus /// T cell receptor delta locus	Up	23.8801	1.13E-28	5.04E-24
229487_at	CDNA FLJ39389 fis, clone PLACE6003621	Down	23.534599	2.17E-28	9.69E-24
204891_s_at	LCK: lymphocyte-specific protein tyrosine kinase	Up	23.496894	2.33E-28	1.04E-23
218816_at	LRRC1: leucine rich repeat containing 1	Up	23.463157	2.48E-28	1.11E-23
233261_at	EBF1: Early B-cell factor 1	Down	23.434388	2.62E-28	1.17E-23
206255_at	BLK: B lymphoid tyrosine kinase	Down	23.289743	3.46E-28	1.55E-23
236787_at	CDNA FLJ35091 fis, clone PLACE6005786	Down	23.235957	3.83E-28	1.71E-23
205049_s_at	CD79A: CD79a molecule, immunoglobulin-associated alpha	Up	23.079765	5.18E-28	2.31E-23
219463_at	C20orf103: chromosome 20 open reading frame 103	Down	23.015658	5.86E-28	2.62E-23
204214_s_at	RAB32: RAB32, member RAS oncogene family	Down	22.994001	6.11E-28	2.73E-23
226415_at	KIAA1576: KIAA1576 protein	Down	22.609536	1.29E-27	5.76E-23
200935_at	CALR: calreticulin	Down	22.480485	1.66E-27	7.41E-23
234032_at	PRO1550	Down	22.469043	1.7E-27	7.58E-23
201497_x_at	MYH11: myosin, heavy chain 11, smooth muscle	Down	22.3877	1.99E-27	8.89E-23
205624_at	CPA3: carboxypeptidase A3 (mast cell)	Down	22.38708	1.99E-27	8.9E-23
226244_at	CLEC14A: C-type lectin domain family 14, member A	Down	22.11809	3.39E-27	1.51E-22
216268_s_at	JAG1: jagged 1 (Alagille syndrome)	Down	22.037514	3.97E-27	1.78E-22
213147_at	HOXA10: homeobox A10	Up	21.84966	5.77E-27	2.58E-22
209099_x_at	JAG1: jagged 1 (Alagille syndrome)	Down	21.808259	6.27E-27	2.8E-22
204548_at	STAR: steroidogenic acute regulatory protein	Down	21.550722	1.05E-26	4.7E-22
219013_at	GALNT11: UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11)	Down	21.510078	1.14E-26	5.1E-22
