Gene	Changes vs. day 0, fold
   alpha1-catenin	-2.4
   Basigin; CD147 antigen	-2.9
   CD44 antigen; hyaluronate receptor	1.2
   CD59 glycoprotein	-1.1
   CDC42 homolog	1.9
   COL1A2	2.7
   COL3A1	1.7
   Cytoplasmic beta-actin	-1.4
   Endothelial plasminogen activator inhibitor 1	-2
   Fibronectin 1	-1.2
   Hypoxanthine-guanine phosphoribosyltransferase 1	-1.2
   Insulin-like growth factor binding protein 4	-1.7
   Laminin alpha4 subunit precursor	-1.7
   Laminin beta2 subunit precursor	-1.5
   Liver GAPDH	1.5
   Low-density lipoprotein receptor-related protein 1	-1.3
   Major histocompatibility complex class I C	-1.1
   Matrix metalloproteinase 2	1.5
   Matrix metalloproteinase 14	-1.2
   nm23-H4; nucleoside-diphosphate kinase	2
   Nucleoside diphosphate kinase A	1
   Nucleoside diphosphate kinase B	1.2
   Phospholipase A2	1
   Ras homolog gene family member A	1
   Ras homolog gene family member B	1.4
   Ras homolog gene family member C	1
   Rho GDP-dissociation inhibitor 1	-1.4
   60S ribosomal protein L13A	1
   40S ribosomal protein SA	1.3
   40S ribosomal protein S9	-1.1
   Tenascin	1.4
   Tissue inhibitor of metalloproteinase 1	-1.9
   Tissue inhibitor of metalloproteinase 2	-1.6
   Tissue inhibitor of metalloproteinase 3	-1.3
   Tissue-type plasminogen activator	2.2
   Tubulin alpha1	-1.4
   Ubiquitin C	1
   Versican core protein; chondroitin sulfate proteoglycan core protein 2	1.4
