Gene ID	Fold Change	Gene Symbol	Gene Title
GgaAffx.26441.1.S1_at	0.030559168	LOC424460	hypothetical LOC424460
Gga.1714.1.S1_at	0.046298401	A2M	alpha-2-macroglobulin
GgaAffx.3016.1.S1_at	0.073498965	FAM5C	family with sequence similarity 5, member C
GgaAffx.2488.1.S1_at	0.073846154	E2F8	E2F transcription factor 8
GgaAffx.1771.1.S1_s_at	0.074488802	TMEM132C	transmembrane protein 132C
Gga.13060.1.S1_at	0.087215064	---	---
Gga.7900.2.S1_a_at	0.098473511	FIBIN	fin bud initiation factor
GgaAffx.4701.1.S1_at	0.098642787	LOC422306	hypothetical LOC422306
Gga.4321.2.S1_s_at	0.10186586	NT5C3L	5-nucleotidase, cytosolic III-like
Gga.14498.1.S1_at	0.102132262	---	---
Gga.14502.1.S1_at	0.112512124	COL24A1 /// LOC424525	Collagen, type XXIV, alpha 1 /// Similar to alpha 1 type XXIV collagen
GgaAffx.11447.1.S1_s_at	0.113915416	SF3B3	splicing factor 3b, subunit 3, 130kDa
Gga.12998.1.S1_at	0.12026936	LOC420209	similar to carbonic anhydrase III
Gga.2422.2.S1_x_at	0.131440534	LOC772322	similar to early response to neural induction ERNI
Gga.2422.2.S2_x_at	0.132762123	LOC772322	similar to early response to neural induction ERNI
GgaAffx.24058.1.S1_at	0.139697322	IPO8	importin 8
Gga.9479.1.S1_at	0.156121985	ARF/CPS3	ADP-ribosylation factor
GgaAffx.21044.1.S1_at	0.158041958	DACT2	Dapper, antagonist of beta-catenin, homolog 2 (Xenopus laevis)
Gga.9574.1.S1_at	0.16054631	LOC419390	similar to enhancer of split related protein-7
GgaAffx.9045.1.S1_at	0.162835249	A2M	alpha-2-macroglobulin
GgaAffx.282.1.S1_s_at	0.164905952	TMPRSS9	transmembrane protease, serine 9
GgaAffx.4698.1.S1_at	0.168461538	LOC428714	similar to putative transmembrane protein TA-2
Gga.16689.1.S1_s_at	0.175623179	PARVB	parvin, beta
Gga.18770.1.S1_at	0.178226145	NEIL3	nei endonuclease VIII-like 3 (E. coli)
GgaAffx.6715.1.S1_s_at	0.183709869	PTPN21	protein tyrosine phosphatase, non-receptor type 21
Gga.8191.1.S1_at	0.186220736	---	---
Gga.125.1.S1_at	0.186474995	LOC396449	riboflavin-binding protein
Gga.4424.1.S1_at	0.189761092	SH3GL3	SH3-domain GRB2-like 3
GgaAffx.23292.1.S1_at	0.19295302	---	---
GgaAffx.2627.2.S1_s_at	0.216864551	GRHL3	grainyhead-like 3 (Drosophila)
Gga.19269.1.S1_at	0.21856449	---	---
GgaAffx.24678.1.S1_s_at	0.223814774	FAM110B	family with sequence similarity 110, member B
Gga.4875.1.S1_at	0.227666188	HBZ	hemoglobin, zeta
GgaAffx.282.3.S1_at	0.229829985	TMPRSS9	transmembrane protease, serine 9
GgaAffx.25255.1.S1_at	0.231364562	KPNB1	karyopherin (importin) beta 1
GgaAffx.1951.1.S1_at	0.255194219	LOC425103	similar to Uncharacterized protein C20orf129
GgaAffx.13010.1.S1_at	0.257338552	NUF2	NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)
Gga.2168.1.S1_at	0.258356147	---	---
Gga.14814.1.S1_s_at	0.258542141	CENPO	centromere protein O
GgaAffx.23327.1.S1_s_at	0.258580473	RIN3	Ras and Rab interactor 3
Gga.4733.1.A1_at	0.261200109	---	---
Gga.5592.1.S1_s_at	0.262509065	ESCO2	establishment of cohesion 1 homolog 2 (S. cerevisiae)
Gga.16002.1.S1_at	0.265764161	ENOX1	ecto-NOX disulfide-thiol exchanger 1
GgaAffx.10717.1.S1_at	0.268511302	GABRA5	gamma-aminobutyric acid (GABA) A receptor, alpha 5
Gga.11370.1.S1_at	0.283617146	PTGFR	prostaglandin F receptor (FP)
Gga.14837.1.S1_at	0.285949325	---	---
Gga.805.2.S1_a_at	0.296260786	EPHA3	EPH receptor A3
Gga.1964.1.S1_at	0.300006123	MYO10	myosin X
GgaAffx.9243.1.S1_s_at	0.301971326	CNOT6 /// LOC772253	CCR4-NOT transcription complex, subunit 6 /// similar to CCR4-NOT transcription complex, subunit 6
GgaAffx.11886.1.S1_s_at	0.303465347	GSPT1 /// RSL1D1	G1 to S phase transition 1 /// ribosomal L1 domain containing 1
GgaAffx.23072.1.S1_at	0.309189189	EML4	echinoderm microtubule associated protein like 4
GgaAffx.2075.1.S1_at	0.315172414	SETD8	SET domain containing (lysine methyltransferase) 8
GgaAffx.6110.1.S1_s_at	0.317064961	ARHGAP11A	Rho GTPase activating protein 11A
GgaAffx.22819.1.S1_at	0.317250496	ECT2	epithelial cell transforming sequence 2 oncogene
Gga.9377.1.S1_at	0.317462879	LOC776358	Similar to Expressed sequence AW146242
Gga.5002.1.S1_at	0.320929617	MDK	midkine (neurite growth-promoting factor 2)
Gga.10608.1.A1_at	0.322063037	---	---
Gga.16589.1.S1_at	0.323890463	LSP1	lymphocyte-specific protein 1
Gga.3674.1.S1_at	0.323932927	STK39	serine threonine kinase 39 (STE20/SPS1 homolog, yeast)
Gga.7476.1.S1_at	0.324371712	TMEM108	transmembrane protein 108
Gga.1245.1.S1_at	0.324406533	---	---
Gga.13008.1.S1_at	0.326394052	---	---
GgaAffx.20323.1.S1_at	0.326499012	DAG1	dystroglycan
GgaAffx.23892.1.S1_s_at	0.330225813	CUL1	cullin 1
GgaAffx.1193.1.S1_s_at	0.330756255	LAMA1	laminin, alpha 1
GgaAffx.24061.2.S1_s_at	0.334219269	MYO10	myosin X
GgaAffx.20296.1.S1_s_at	0.335442482	LOC777450	Similar to similar to 60 kDa heat shock protein, mitochondrial precursor (Hsp60) (60 kDa chaperonin) (CPN60) (Heat shock protein 60) (HSP-60) (Mitochondrial matrix protein P1) (HSP-65)
Gga.2364.1.S1_at	0.336917563	LOC423793	similar to M-phase phosphoprotein 1
GgaAffx.282.2.S1_s_at	0.337556561	TMPRSS9	transmembrane protease, serine 9
GgaAffx.843.1.S1_s_at	0.337807245	LOC417487	similar to general transcription factor 3
Gga.2081.1.S2_at	0.340611914	GATA5	GATA binding protein 5
GgaAffx.8725.1.S1_s_at	0.341491139	CNDP2	CNDP dipeptidase 2 (metallopeptidase M20 family)
GgaAffx.23225.1.S1_s_at	0.341935484	SMARCAD1	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1
Gga.3398.1.S1_at	0.343740497	PITX2	paired-like homeodomain 2
GgaAffx.102.1.S1_at	0.344765343	ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif, 19
Gga.15541.1.S1_at	0.348582345	DHCR7	7-dehydrocholesterol reductase
Gga.14009.1.S1_at	0.349335175	---	---
GgaAffx.6849.2.S1_s_at	0.349566378	ERO1LB	ERO1-like beta (S. cerevisiae)
Gga.7812.2.S1_a_at	0.349733497	ORC6L	origin recognition complex, subunit 6 like (yeast)
Gga.1955.1.S1_s_at	0.351298701	RCJMB04_32l2	hypothetical gene supported by CR352610
