Gene	B/W-ratio	Mean/Variance of “more hypoxic” group	Mean/Variance of “less hypoxic” group
ADM	14,63	-0.974025974	-1.525974026
ANKRD37	13,46	-3.081481481	-9.416666667
P4HA2	12,88	-24.63636364	-4.168316832
NDRG1	9,81	2.36/1.48	0.83/2.07
SLC2A1	9,55	1.96/1.31	0.53/1.85
P4HA1	8,27	-2.392156863	-5.474137931
LOX	6,41	-0.648809524	-1.239795918
C3orf28	6,17	-0.901408451	-2.744680851
BNIP3L	5,98	-1.642857143	-2.056603774
BNIP3	5,32	-1.431818182	-1.085714286
EGLN3	4,89	-0.264423077	-1.068493151
PDK1	4,35	-2.948275862	-4.914893617
PFKFB3	3,58	0.46/0.95	-0.203389831
KCTD11	3,54	-0.888888889	-1.758426966
ALDOA	3,52	-0.572649573	-1.019736842
IGFBP3	2,81	-0.345588235	-0.769662921
FOSL2	2,31	-0.403100775	-0.815789474
HIG2	2,27	-2.841059603	-2.56372549
ERO1L	2,23	0.00/0.76	-0.430656934
C18orf19	1,7	-20.47619048	-6.884057971
GPI	1,3	0.01/0.40	-0.377777778
JMJD1A	1,07	-0.866972477	-1.288770053
CA9	0,99	-2.479166667	-1.710843373
C4orf3	0,98	-0.59375	-0.435064935
SLC6A8	0,87	-1.046511628	-1.259668508
RORA	0,75	-5.369863014	-4.237623762
AK3L1	0,71	-4.596491228	-2.681818182
EGLN1	0,26	-8.411764706	-6.974358974
ARRDC3	0,03	-1.235159817	-4.453781513
CCNG2	0	-3.111111111	-3.390070922
