TbetaRIIdeltak transgenic	Fold change	Expression
Thrombospondin 1 precursor	4.6	overexpression
Prothymosin alpha	3.8	overexpression
Rab2 Ras-related protein	3.1	overexpression
G1 cyclin-Cdk kinase inhibitor	3	overexpression
Osteopontin precursor	2.5	overexpression
Biglycan	2.5	overexpression
N-Ras proto-oncogene	2.1	overexpression
Vimentin	2	overexpression
Interferon gamma receptor	2	overexpression
AT motif-binding factor	4.4	underexpression
Engrailed homeobox protein	3.5	underexpression
Keratinocyte growth factor (FGF-7)	3.5	underexpression
Homeobox protein 11	3	underexpression
Involucrin	2.8	underexpression
Fragile X mental retardation syndrome	2.6	underexpression
Myogenic factor Myf6	2.5	underexpression
Proenkephalin A precursor	2.2	underexpression
Ret proto-oncogene precursor	2.2	underexpression
Macrophage CSF 1 receptor	2.1	underexpression
Signal-transducing adaptor molecule	2.1	underexpression
Rac alpha serine/threonine kinase	2	underexpression
Thrombomodulin	2	underexpression
Breast cancer type 2 susceptibility	2	underexpression
Frizzled homolog 6	1.9	underexpression
