Gene Symbol	Gene Title	Description	log fold	Adjusted p-value
CCND2	cyclin D2	cell cycle	22,25	0,039
FERMT3	fermitin family homolog 3 (Drosophila)	cell adhesion	21,70	0,039
SYTL3	synaptotagmin-like 3	intracellular protein transport /// Rab GTPase binding	21,61	0,021
GABRA3	gamma-aminobutyric acid (GABA) A receptor, alpha 3	ion transport /// cell junction	21,38	0,022
ABI3	ABI gene family, member 3	regulation of cell migration	21,28	0,039
HMGCS1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)	isoprenoid biosynthetic process	21,16	0,046
OCLN	occludin	cell junction	21,12	0,040
GPR176	G protein-coupled receptor 176	G-protein coupled receptor protein signaling pathway	21,07	0,040
AMIGO2	adhesion molecule with Ig-like domain 2	cell adhesion /// negative regulation of programmed cell death	21,03	0,046
GNGT2	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 2	signal transduction /// G-protein coupled receptor protein signaling pathway	20,99	0,039
ASAM	adipocyte-specific adhesion molecule	cell junction	20,97	0,042
HMGCR	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	isoprenoid biosynthetic process	20,93	0,050
SCARF1	scavenger receptor class F, member 1	cell adhesion	20,91	0,039
STAT5A	signal transducer and activator of transcription 5A	transcription factor activity /// positive regulation of cell proliferation /// regulation of cell adhesion /// regulation of epithelial cell differentiation /// negative regulation of apoptosis /// positive regulation of survival gene product expression /// positive regulation of mitotic cell cycle /// positive regulation of inflammatory response	20,81	0,047
CASP4	caspase 4	induction of apoptosis	20,79	0,046
PCDHB2	protocadherin beta 2	cell adhesion	20,74	0,040
CARD6	caspase recruitment domain family, member 6	regulation of apoptosis	20,73	0,043
TP53BP1	tumor protein p53 binding protein 1	DNA repair /// transcription activator activity	20,72	0,046
