Gene abbrev.	Gene name	Fold change	P
ARHGDIB	Rho-GDP dissociation inhibitor (GDI) beta	4.44	0.05
ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	6.76	0.05
BAX	BCL2-associated X protein	1.9	0.009
BTG1	B-cell translocation gene 1	2.7	0.02
CASP8	Caspase 8	2.07	0.02
CD2	CD2 antigen (p50)	3.94	0.03
CD38	CD38 molecule	1.9	0.03
CIDEB	Cell death-inducing DFFA-like effector b	7.2	0
CIDEC	Cell death-inducing DFFA-like effector c	3.16	0
DDX41	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41	4.4	0.05
DIDO1	Death inducer-obliterator 1	1.8	0.04
DNASE1	Deoxyribonuclease I	2.3	0.05
DUSP2	Dual specificity phosphatase 2	6.94	0.02
FHIT	Fragile histidine triad gene	2.11	0
FIS1	Fission 1 homology	3.7	0.04
FXR1	Fragile X mental retardation	2.1	0
GADD45B	Growth arrest and DNA-damage-inducible, beta	2.4	0.04
GZMA	Granzyme A	4.62	0.05
GZMH	Granzyme H	2.2	0.03
IER3	Immediate early response 3	18	0
IL1B	Interleukin 1 beta	7.2	0
MAL	Mal, T-cell differentiation protein	7.3	0
MRPL41	Mitochondrial ribosomal protein L41	11.25	0.05
NCAM1	Neural cell adhesion molecule 1	2.16	0.03
PACS2	Phosphofurin acidic cluster sorting protein 2	2.3	0.02
PCBP4	Poly(rC) binding protein 4	3.4	0.03
PPMIF	Protein phosphatase 1F	4.2	0.03
RPS3	Ribosomal protein S3	12.6	0
TNFSF2	Tumor necrosis factor superfamily, member 2, tumor necrosis factor-alpha	5.5	0
TNFSF6	Tumor necrosis factor (ligand) superfamily, member 6, Fas ligand	2.9	0.02
