Gene Symbol	FNAB array P1	FFPE array P1	FFPE qPCR P1	FFPE vs. FNAB r2	FFPE vs. qPCR r3	Array P1	OS P4	DMFS P4	Array P1	OS P4	RFS P4
AKR7A3	0.001	0	0	0.701	0.653	0	0	0.248	0	0.284	0.787
ANKRA2	0.001	0.009	0.021	0.522	0.39	0	0.021	0.071	0	0.064	0.139
ANLN	0	0.002	0.007	0.731	0.543	0	0.002	0.01	0	0.009	0.004
CA12	0	0	0	0.607	0.71	0	0.01	0.299	0	0.358	0.468
DNALI1	0	0	0	0.681	0.646	0	0.009	0.097	0	0.565	0.582
ERBB2	0	0.008	0	0.37	0.815	0	0.005	0.024	0	0.006	0.001
ESR1	0	0	0	0.787	0.862	0	0.004	0.03	0	0.698	0.742
FUT3	0.001	0.001	0.003	0.542	0.444	0	0.061	0.009	0	0.023	0.287
GREB1	0.001	0.001	0	0.732	0.711	0	0.054	0.667	0	0.023	0.487
KIAA1407	0	0	0.01	0.46	0.337	0	< 0.001	0	0	0.006	0.197
KIF2C	0	0.001	0.02	0.71	0.647	0	< 0.001	0	0	0.022	0.004
LONRF2	0.001	0.007	0.004	0.398	0.588	0	0.001	0.168	0	0.294	0.393
MAPT	0	0	0	0.74	0.677	0	0.007	0.023	0	0.001	0.014
PGR	0	0	0	0.87	0.674	0	< 0.001	< 0.001	0	0.022	0.206
