Probe set	Gene name	Relative Intensity (mean +/-SEM): Scrambled siRNA	Relative Intensity (mean +/-SEM): Sp1 siRNA	Ratio (Sp1siRNA/Scrambled siRNA	p value
204733_at	KLK6	88.88 +/- 4.02	425.95 +/- 67.56	5.27	P<0.001
215808_at	KLK10	53.46 +/- 6.04	187.17 +/- 69.40	3.5	P<0.05
220782_x_at	KLK12	85.39 +/- 7.17	233.29 +/- 13.00	2.73	P<0.001
233687_s_at	KLK8 /// KLK9	47.97 +/-8.30	112.87 +/- 6.54	2.35	P<0.001
234316_x_at	KLK12	96.42 +/- 7.28	219.07 +/- 32.08	2.27	P<0.01
209792_s_at	KLK10	3541.23 +/- 320.10	6723.03 +/- 415.80	1.9	P<0.001
1552319_a_at	KLK8	219.66 +/- 5.91	363.16 +/- 22.27	1.65	P<0.001
222242_s_at	KLK5	4633.18 +/- 599.77	7657.66 +/- 160.40	1.65	P<0.01
205778_at	KLK7	3077.18 +/- 306.69	4459.33 +/- 759.10	1.45	P<0.05
239381_at	KLK7	2275.83 +/- 72.40	3542.96 +/- 102.97	1.56	P<0.001
