Symbol	Description	WT Value	WT+GW Value	PDK1 Value	PDK1+GW Value	WT+GWvsWT Fold Change	PDK1vsWT Fold Change	PDK1+GWvsWT Fold Change
Abp1	amiloride binding protein 1 (amine oxidase, copper-containing)	280.2	19.9	498.4	67.5	-14.08040201	1.778729479	-4.151111111
Abpa	androgen binding protein alpha	68.8	31.9	50.2	2117.5	-2.156739812	-1.370517928	30.77761628
Abpb	androgen binding protein beta	31.7	29.6	33.1	804.4	-1.070945946	1.044164038	25.37539432
Acaca	acetyl-Coenzyme A carboxylase alpha	253	854.8	626	763.8	3.378656126	2.4743083	3.018972332
Acacb	acetyl-Coenzyme A carboxylase beta	1363.3	4439.8	2779.7	2963.7	3.256656642	2.038949608	2.173916233
Acly	ATP citrate lyase	1846.8	7022.9	3429.6	4640.9	3.802739874	1.857050032	2.512941304
Acot11	acyl-CoA thioesterase 11	250.7	2041.9	896.5	621.4	8.144794575	3.575987236	2.478659753
Acss2	acyl-CoA synthetase short-chain family member 2	2933.1	8952.2	4077.9	8042.9	3.052129147	1.390303774	2.74211585
Acta1	actin, alpha 1, skeletal muscle	8012.4	6787.9	16168.3	1728.5	-1.180394526	2.01790974	-4.635464275
Actn2	actinin alpha 2	60.6	83.4	430.7	81	1.376237624	7.107260726	1.336633663
Actn3	actinin alpha 3	1608.5	1191.3	4533	152	-1.350205658	2.818153559	-10.58223684
Ampd1	adenosine monophosphate deaminase 1 (isoform M)	374.4	283	1066.4	33.6	-1.322968198	2.848290598	-11.14285714
Apobec2	apolipoprotein B editing complex 2	158.7	168	1307.4	38.9	1.058601134	8.238185255	-4.079691517
Aqp11	aquaporin 11	185.6	579.4	300.1	310.7	3.121767241	1.616918103	1.674030172
Asb11	ankyrin repeat and SOCS box-containing protein 11	102.1	86.2	335.9	39.5	-1.184454756	3.289911851	-2.584810127
Asb5	ankyrin repeat and SOCs box-containing protein 5	70.2	53	386.3	41.2	-1.324528302	5.502849003	-1.703883495
Atp2a1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1	1863.6	1558	7403.2	298.6	-1.196148909	3.972526293	-6.241125251
Car6	carbonic anhydrase 6	146.8	53.5	59.4	823.1	-2.743925234	-2.471380471	5.606948229
Casq1	calsequestrin 1	545	390.2	1826.5	120.8	-1.396719631	3.351376147	-4.511589404
Ckm	creatine kinase, muscle	3856.3	3151	10115.7	467.2	-1.223833704	2.623162098	-8.254066781
Ckmt2	creatine kinase, mitochondrial 2	151.2	110.9	1114.1	10.5	-1.363390442	7.368386243	-14.4
Cmya5	cardiomyopathy associated 5	292.4	252.6	1290.7	99.8	-1.157561362	4.414158687	-2.929859719
Cox6a2	cytochrome c oxidase, subunit VI a, polypeptide 2	361.7	373.2	1781.5	212.2	1.031794305	4.925352502	-1.704524034
Cox7a1	cytochrome c oxidase, subunit VIIa 1	939.9	4973.6	3511.4	2068.4	5.291626769	3.735929354	2.200659645
Cpt1b	carnitine palmitoyltransferase 1b, muscle	322	979.5	882.4	653.1	3.041925466	2.740372671	2.02826087
Cspg3	chondroitin sulfate proteoglycan 3	80.6	356	159.1	332.4	4.416873449	1.973945409	4.124069479
Csrp3	cysteine and glycine-rich protein 3	33.3	49.9	307.6	28.4	1.498498498	9.237237237	-1.172535211
Ddit4l	DNA-damage-inducible transcript 4-like	157.2	162.3	569.6	38.7	1.032442748	3.623409669	-4.062015504
Dhrs7c	dehydrogenase/reductase (SDR family) member 7C	101.8	116.4	465.6	9.9	1.143418468	4.57367387	-10.28282828
Dio2	deiodinase, iodothyronine, type II	102	174.4	319	190.8	1.709803922	3.12745098	1.870588235
E2f5	E2F transcription factor 5	117.5	503.6	544.3	277.5	4.285957447	4.632340426	2.361702128
Egr2	early growth response 2	667.7	606.9	2043.7	762.3	-1.100181249	3.060805751	1.141680395
Elovl3	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 3	150.1	2738	1413.4	431.2	18.24117255	9.416389074	2.872751499
Elovl6	ELOVL family member 6, elongation of long chain fatty acids (yeast)	2834.9	10041.1	4798	10607	3.541959152	1.692475925	3.741578186
Eno3	enolase 3, beta muscle	2040.1	1361.2	5748.5	458.3	-1.498751102	2.817754032	-4.451451015
Fabp3	fatty acid binding protein 3, muscle and heart	618.6	2867.9	3048.9	1144.2	4.636113805	4.92870999	1.849660524
Gpd2	glycerol phosphate dehydrogenase 2, mitochondrial	444.5	1486.4	896.1	945.9	3.343982002	2.015973003	2.128008999
Gyk	glycerol kinase	175.4	461.3	757	284.4	2.629988597	4.315849487	1.621436716
Has2	hyaluronan synthase 2	347.8	147	430.5	92.4	-2.365986395	1.237780334	-3.764069264
Hrc	histidine rich calcium binding protein	220.3	140.7	817.5	91	-1.565742715	3.710848842	-2.420879121
Hspa9a	heat shock protein 9A	156.7	515.9	394.2	423.5	3.292278239	2.515634971	2.702616465
Kng1	kininogen 1	30.3	407.8	127.4	105.2	13.45874587	4.204620462	3.471947195
Ldb3	LIM domain binding 3	252	222	987.6	52.8	-1.135135135	3.919047619	-4.772727273
Mb	myoglobin	123.8	158.8	1040	123.6	1.282714055	8.400646204	-1.001618123
Med18	mediator of RNA polymerase II transcription, subunit 18 homolog (yeast)	60.2	287.1	443.2	388.2	4.76910299	7.362126246	6.448504983
Mlf1	myeloid leukemia factor 1	173.1	161.9	733.5	98.6	-1.069178505	4.237435009	-1.755578093
Mmd2	monocyte to macrophage differentiation-associated 2	229.1	114.7	874.7	137.3	-1.997384481	3.817983413	-1.668608886
Mybpc2	myosin binding protein C, fast-type	847.1	662.2	2970.7	122.4	-1.279220779	3.506905914	-6.920751634
Myh1	myosin, heavy polypeptide 1, skeletal muscle, adult	216.4	111.8	4550.1	467.4	-1.935599284	21.02634011	2.159889094
