Gene symbol	Gene name	Function	Univariate HR
ADH1B	Alcohol dehydrogenase 1B	Ethanol oxidation	0.77
ADIPOQ	Adiponectin	Regulation of glucose and lipid metabolism	0.78
ANK2	Ankyrin 2	Cell motility and proliferation	0.53
GPD1	Glycerol-3-phosphate dehydrogenase 1	Glycolytic pathway enzyme	0.61
NTRK2	Neurotrophic tyrosine kinase receptor type 2	Signal transduction and cellular differentiation	0.74
PLIN	Perilipin	Inhibition of lipolysis	0.72
RBP4	Retinol binding protein 4	Carrier for retinol in the blood	0.77
MMP14	Matrix metallopeptidase 14	Breakdown of extracellular matrix	2.84
PTK7	Protein tyrosine kinase 7	Extracellular signal transduction and cell adhesion	4.16
RAB23	RAB23, member RAS oncogene family	GTPase-mediated signal transduction and intracellular protein transport	1.85
TOP2A	Topoisomerase II alpha	Alteration of DNA topologic state during transcription	1.70, 1.85
