Probe ID	Gene Symbol	Gene Title	p-value
209993_at	ABCB1	ATP-binding cassette, sub-family B (MDR/TAP), member 1 	3.13E-09
209735_at	ABCG2	ATP-binding cassette, sub-family G (WHITE), member 2	3.09E-09
213454_at	APITD1	apoptosis-inducing, TAF9-like domain 1	0.0000206
219336_s_at	ASCC1	activating signal cointegrator 1 complex subunit 1	0.0000507
213015_at	BBX	bobby sox homolog (Drosophila)	0.000000216
214806_at	BICD1	bicaudal D homolog 1 (Drosophila)	0.0000281
205733_at	BLM	Bloom syndrome, RecQ helicase-like	0.0000514
202265_at	BMI1	BMI1 polycomb ring finger oncogene	0.0000328
203755_at	BUB1B	budding uninhibited by benzimidazoles 1 homolog beta (yeast)	0.000209
221652_s_at	C12orf11	chromosome 12 open reading frame 11	0.0000612
206656_s_at	C20orf3	chromosome 20 open reading frame 3	0.0000266
209682_at	CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	0.00022
200877_at	CCT4	chaperonin containing TCP1, subunit 4 (delta)	0.000335
212014_x_at	CD44	CD44 molecule (Indian blood group)	0.000187
203213_at	CDC2	cell division cycle 2, G1 to S and G2 to M	0.000051
215296_at	CDC42BPA	CDC42 binding protein kinase alpha (DMPK-like)	0.0000323
209172_s_at	CENPF	centromere protein F, 350/400ka (mitosin)	0.0000295
219555_s_at	CENPN	centromere protein N	0.0000351
221058_s_at	CKLF	chemokine-like factor	0.00000537
204576_s_at	CLUAP1	clusterin associated protein 1	0.0000324
209804_at	DCLRE1A	DNA cross-link repair 1A (PSO2 homolog, S. cerevisiae)	0.0000514
219000_s_at	DSCC1	defective in sister chromatid cohesion 1 homolog (S. cerevisiae)	0.0000603
217901_at	DSG2	desmoglein 2	0.0000236
218585_s_at	DTL	denticleless homolog (Drosophila)	0.00000508
203762_s_at	DYNC2LI1	dynein, cytoplasmic 2, light intermediate chain 1	0.0000542
200879_s_at	EPAS1	endothelial PAS domain protein 1	0.0000219
201637_s_at	FXR1	fragile X mental retardation, autosomal homolog 1	0.0000475
204324_s_at	GOLIM4	golgi integral membrane protein 4	0.0000319
222140_s_at	GPR89A /// GPR89B /// GPR89C	G protein-coupled receptor 89A /// G protein-coupled receptor 89B /// G protein-coupled receptor 89C	0.0000681
201501_s_at	GRSF1	G-rich RNA sequence binding factor 1	0.0000585
200989_at	HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	0.0000423
214463_x_at	HIST1H4J	histone cluster 1, H4j	0.0000322
202983_at	HLTF	helicase-like transcription factor	0.0000544
202854_at	HPRT1	hypoxanthine phosphoribosyltransferase 1	0.000211
205207_at	IL6	interleukin 6 (interferon, beta 2)	1.98E-10
205968_at	KCNS3	potassium voltage-gated channel, delayed-rectifier, subfamily S, member 3	0.0000334
220266_s_at	KLF4	Kruppel-like factor 4 (gut)	0.0000299
204177_s_at	KLHL20	kelch-like 20 (Drosophila)	0.0000496
213564_x_at	LDHB	lactate dehydrogenase B	0.00000282
215839_at	LILRA5	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5	0.000202
202737_s_at	LSM4	LSM4 homolog, U6 small nuclear RNA associated (S. cerevisiae)	0.0000079
211042_x_at	MCAM	melanoma cell adhesion molecule	0.000271
210483_at	MGC31957	hypothetical protein MGC31957	0.000215
203800_s_at	MRPS14	mitochondrial ribosomal protein S14	0.000314
202911_at	MSH6	mutS homolog 6 (E. coli)	0.000017
202431_s_at	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	0.0000251
220184_at	NANOG	Nanog homeobox	0.0000681
209484_s_at	NSL1	NSL1, MIND kinetochore complex component, homolog (S. cerevisiae)	0.000000423
222027_at	NUCKS1	Nuclear casein kinase and cyclin-dependent kinase substrate 1	0.0000548
202184_s_at	NUP133	nucleoporin 133kDa	0.000044
207877_s_at	NVL	nuclear VCP-like	0.0000789
213222_at	PLCB1	phospholipase C, beta 1 (phosphoinositide-specific)	0.000211
218476_at	POMT1	protein-O-mannosyltransferase 1	0.000147
208286_x_at	POU5F1 /// POU5F1B /// POU5F1P3 /// POU5F1P4	POU class 5 homeobox 1 /// POU class 5 homeobox 1B /// POU class 5 homeobox 1 pseudogene 3 /// POU class 5 homeobox 1 pseudogene 4	0.00012
209586_s_at	PRUNE	prune homolog (Drosophila)	0.00000191
202754_at	R3HDM1	R3H domain containing 1	0.0000032
203344_s_at	RBBP8	retinoblastoma binding protein 8	0.0000614
204098_at	RBMX2	RNA binding motif protein, X-linked 2	0.0000536
203209_at	RFC5	replication factor C (activator 1) 5, 36.5kDa	0.0000366
201451_x_at	RHEB	Ras homolog enriched in brain	0.000218
222258_s_at	SH3BP4	SH3-domain binding protein 4	0.0000117
219185_at	SIRT5	sirtuin (silent mating type information regulation 2 homolog) 5 (S. cerevisiae)	0.0000689
203775_at	SLC25A13	solute carrier family 25, member 13 (citrin)	0.000112
201918_at	SLC25A36	solute carrier family 25, member 36	0.0000101
219480_at	SNAI1	snail homolog 1 (Drosophila)	0.0000363
213139_at	SNAI2	snail homolog 2 (Drosophila)	0.000034
213721_at	SOX2	SRY (sex determining region Y)-box 2	0.0000297
203145_at	SPAG5	sperm associated antigen 5	0.00000335
208991_at	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor) 	2.81E-10
210053_at	TAF5	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa	0.000018
203177_x_at	TFAM	transcription factor A, mitochondrial	0.000124
212279_at	TMEM97	transmembrane protein 97	0.0000278
201291_s_at	TOP2A	topoisomerase (DNA) II alpha 170kDa	0.00000879
213009_s_at	TRIM37	tripartite motif-containing 37	0.0000706
213943_at	TWIST1	twist homolog 1 (Drosophila)	0.0000366
218257_s_at	UGGT1	UDP-glucose glycoprotein glucosyltransferase 1	0.0000521
214061_at	WDR67	WD repeat domain 67	0.000133
212764_at	ZEB1	zinc finger E-box binding homeobox 1	0.000017
218968_s_at	ZFP64	zinc finger protein 64 homolog (mouse)	0.0000489
203318_s_at	ZNF148	zinc finger protein 148	0.0000135
