Gene Symbol	Rank	Gene Name	P-Value	Q-Value
KIF20A	1	2830638_KIF20A	5.34531E-07	0.000277778
PLK1	2	3653072_PLK1	5.34531E-07	0.000277778
KIF23	3	3599811_KIF23	5.34531E-07	0.000277778
CENPA	4	2473991_CENPA	5.34531E-07	0.000277778
CCNB1	5	2813414_CCNB1	5.34531E-07	0.000277778
INCENP	6	3333358_INCENP	5.34531E-07	0.000277778
RACGAP1	7	3454223_RACGAP1	5.34531E-07	0.000277778
XPC	8	2663810_XPC	5.34531E-07	0.000277778
ARHGAP11A	9	3587457_ARHGAP11A	5.34531E-07	0.000277778
FAM72A	10	4052881_FAM72A	5.34531E-07	0.000277778
PHLDA3	11	2450855_PHLDA3	5.34531E-07	0.000277778
PCNA	12	3896200_PCNA	5.34531E-07	0.000277778
GTSE1	13	3949055_GTSE1	5.34531E-07	0.000277778
NEK2	14	2454444_NEK2	5.34531E-07	0.000277778
UBE2C	15	3887049_UBE2C	5.34531E-07	0.000277778
CDC20	16	2333136_CDC20	5.34531E-07	0.000277778
ISG20L1	17	3607232_ISG20L1	5.34531E-07	0.000277778
KIF4A	18	3980560_KIF4A	5.34531E-07	0.000277778
TOR1A	19	3227098_TOR1A	5.34531E-07	0.000277778
GDF15	20	3824993_GDF15	5.34531E-07	0.000277778
PRC1	21	3639031_PRC1	5.34531E-07	0.000277778
ZNF79	22	3189837_ZNF79	5.34531E-07	0.000277778
CDC45L	23	3936913_CDC45L	5.34531E-07	0.000277778
PPM1D	24	3729528_PPM1D	5.34531E-07	0.000277778
CENPF	25	2379863_CENPF	5.34531E-07	0.000277778
BLOC1S2	26	3303392_BLOC1S2	5.34531E-07	0.000277778
HJURP	27	2604254_HJURP	5.34531E-07	0.000277778
AURKA	28	3910785_AURKA	5.34531E-07	0.000277778
ANKRA2	29	2862380_ANKRA2	5.34531E-07	0.000277778
DDB2	30	3329649_DDB2	5.34531E-07	0.000277778
CENPE	31	2780172_CENPE	5.34531E-07	0.000277778
ASPM	32	2449559_ASPM	5.34531E-07	0.000277778
CDKN1A	33	2905169_CDKN1A	5.34531E-07	0.000277778
CCNF	34	3644764_CCNF	5.34531E-07	0.000277778
CDC6	35	3720896_CDC6	5.34531E-07	0.000277778
DEPDC1	36	2417528_DEPDC1	5.34531E-07	0.000277778
VWCE	37	3375192_VWCE	1.06906E-06	0.000526316
ASAH3L	38	3164312_ASAH3L	1.06906E-06	0.000526316
RREB1	39	2893562_RREB1	2.13812E-06	0.00097561
BUB1	40	2570616_BUB1	2.13812E-06	0.00097561
PALB2	41	3685329_PALB2	2.13812E-06	0.00097561
CCNB2	42	3595979_CCNB2	2.67265E-06	0.001162791
LIG1	43	3866898_LIG1	2.67265E-06	0.001162791
TMEM137	44	3336402_TMEM137	3.20718E-06	0.001333333
RACGAP1	45	3451960_RACGAP1	3.20718E-06	0.001333333
ANLN	46	2997376_ANLN	3.74172E-06	0.001521739
CDC25C	47	2877378_CDC25C	5.34531E-06	0.00212766
TACC3	48	2714955_TACC3	5.87984E-06	0.002291667
ZNF561	49	3849797_ZNF561	6.9489E-06	0.002653061
UNQ353	50	3629125_UNQ353	7.48343E-06	0.002678571
CDCA8	51	2330773_CDCA8	7.48343E-06	0.002678571
GADD45A	52	2341083_GADD45A	7.48343E-06	0.002678571
NDC80	53	3776139_NDC80	8.01796E-06	0.002678571
PLEKHF1	54	3828067_PLEKHF1	8.01796E-06	0.002678571
MYO19	55	3754227_MYO19	8.01796E-06	0.002678571
SGOL2	56	2522212_SGOL2	8.01796E-06	0.002678571
SMAD5	57	2830010_SMAD5	1.01561E-05	0.003333333
CDCA2	58	3090697_CDCA2	1.06906E-05	0.003448276
NUMA1	59	3380901_NUMA1	1.12251E-05	0.003559322
IGFBP4	60	3721010_IGFBP4	1.17597E-05	0.003606557
DLG7	61	3565663_DLG7	1.17597E-05	0.003606557
HIST1H3J	62	2947095_HIST1H3J	1.28287E-05	0.003870968
TMEM168	63	3068476_TMEM168	1.44323E-05	0.004285714
ZNF295	64	3933399_ZNF295	1.55014E-05	0.00453125
TPX2	65	3881443_TPX2	1.97776E-05	0.005692308
DCUN1D3	66	3683845_DCUN1D3	2.13812E-05	0.005882353
AURKB	67	3744263_AURKB	2.13812E-05	0.005882353
FBXO22	68	3602526_FBXO22	2.13812E-05	0.005882353
TNFRSF10B	69	3127703_TNFRSF10B	0.000026192	0.007
EDA2R	70	4011096_EDA2R	0.000026192	0.007
HIST1H3H	71	2900051_HIST1H3H	2.72611E-05	0.007183099
ZNF337	72	3902081_ZNF337	2.77956E-05	0.007222222
HIST1H4B	73	2946208_HIST1H4B	2.99337E-05	0.007567568
DEPDC1B	74	2858592_DEPDC1B	2.99337E-05	0.007567568
TAP1	75	2950214_TAP1	3.31409E-05	0.008266667
TNFRSF10C	76	3089816_TNFRSF10C	4.38315E-05	0.010789474
C12orf5	77	3401756_C12orf5	4.54351E-05	0.011038961
LY6G5B	78	2902574_LY6G5B	5.02459E-05	0.012025317
HIST1H2BM	79	2900059_HIST1H2BM	5.07804E-05	0.012025317
PRRG4	80	3325740_PRRG4	5.61257E-05	0.013125
TRIAP1	81	3474495_TRIAP1	5.77293E-05	0.013333333
C18orf25	82	3787031_C18orf25	6.20056E-05	0.014146342
ZNF540	83	3831975_ZNF540	6.68163E-05	0.015060241
TYK2	84	3850278_TYK2	6.89545E-05	0.015357143
NDUFS3	85	3329904_NDUFS3	7.00235E-05	0.015411765
IER5	86	2370355_IER5	7.26962E-05	0.015813954
DONSON	87	3929775_DONSON	8.81976E-05	0.018965517
HIST1H2BL	88	2947032_HIST1H2BL	9.40774E-05	0.02
SASH3	89	3990512_SASH3	0.000104234	0.021428571
PSMC3IP	90	3757970_PSMC3IP	0.000104234	0.021428571
APTX	91	3203311_APTX	0.000104234	0.021428571
PKMYT1	92	3677315_PKMYT1	0.000107441	0.021847826
PRKAB1	93	3434142_PRKAB1	0.000111717	0.022473118
HIST1H3C	94	2899102_HIST1H3C	0.000122942	0.023960396
TRIM32	95	3186745_TRIM32	0.000123477	0.023960396
CCDC45	96	3731228_CCDC45	0.00012508	0.023960396
BTN3A3	97	2899413_BTN3A3	0.000125615	0.023960396
HSPA14	98	3236395_HSPA14	0.000127218	0.023960396
MCM10	99	3235789_MCM10	0.000129356	0.023960396
PRR14	100	3656318_PRR14	0.000129356	0.023960396
PLK3	101	2334191_PLK3	0.000129356	0.023960396
PSRC1	102	2426951_PSRC1	0.000132564	0.02407767
STX6	103	2446567_STX6	0.000132564	0.02407767
ZMYM3	104	4011889_ZMYM3	0.000134702	0.024230769
TNFSF9	105	3818468_TNFSF9	0.000142185	0.024907407
HIST1H2AB	106	2946219_HIST1H2AB	0.00014272	0.024907407
LDLR	107	3821015_LDLR	0.00014272	0.024907407
BTN3A2	108	2899298_BTN3A2	0.000143789	0.024907407
MDM2	109	3421300_MDM2	0.0001486	0.025504587
LASS5	110	3454296_LASS5	0.000150738	0.025636364
DPM2	111	3226237_DPM2	0.000155548	0.026216216
CCNE2	112	3145107_CCNE2	0.000163032	0.026929825
SPAG5	113	3750785_SPAG5	0.000164101	0.026929825
SLC7A6	114	3666146_SLC7A6	0.000164101	0.026929825
HIST1H3D	115	2946324_HIST1H3D	0.000166239	0.027043478
ZNF383	116	3831774_ZNF383	0.000169446	0.027327586
CPSF4	117	3014764_CPSF4	0.000173723	0.027777778
TTK	118	2914777_TTK	0.000179068	0.028083333
GLCCI1	119	2989537_GLCCI1	0.000179602	0.028083333
HIST1H1D	120	2946353_HIST1H1D	0.000180137	0.028083333
FDXR	121	3770457_FDXR	0.000191897	0.029669422
CTPS	122	2332144_CTPS	0.000198311	0.030322581
GLT8D3	123	3451246_GLT8D3	0.00019938	0.030322581
C15orf42	124	3607698_C15orf42	0.000200984	0.030322581
KIAA1128	125	3255402_KIAA1128	0.000204725	0.030396825
BAX	126	3838067_BAX	0.000204725	0.030396825
CSNK1G1	127	3629012_CSNK1G1	0.000213278	0.031417323
SLC12A4	128	3696057_SLC12A4	0.000215416	0.031484375
HKR1	129	3831831_HKR1	0.000226107	0.032615385
SESN2	130	2327391_SESN2	0.000226641	0.032615385
FAS	131	3257098_FAS	0.000234659	0.033432836
ZNF37A	132	3243164_ZNF37A	0.000236797	0.033432836
ARFGAP2	133	3371928_ARFGAP2	0.000238935	0.033432836
SEC61A2	134	3235414_SEC61A2	0.00023947	0.033432836
CKAP5	135	3371719_CKAP5	0.000244281	0.033676471
ZDHHC9	136	4021341_ZDHHC9	0.000244815	0.033676471
FRMD8	137	3335131_FRMD8	0.000263524	0.035985402
E2F1	138	3903146_E2F1	0.000275818	0.037
SH2D3C	139	3226041_SH2D3C	0.000276887	0.037
NUDT15	140	3488942_NUDT15	0.000276887	0.037
RAD51L3	141	3753412_RAD51L3	0.000306821	0.04070922
MXD1	142	2487549_MXD1	0.000314304	0.041258741
C19orf48	143	3868659_C19orf48	0.000315373	0.041258741
L2HGDH	144	3563814_L2HGDH	0.000326598	0.042430556
KIF18A	145	3367338_KIF18A	0.000334082	0.0428
RAB3IP	146	3421762_RAB3IP	0.000334082	0.0428
E2F7	147	3463112_E2F7	0.000336754	0.0428
FTSJ2	148	3035682_FTSJ2	0.000338893	0.0428
TRAF3IP3	149	2378121_TRAF3IP3	0.000343169	0.0428
POPDC2	150	2690956_POPDC2	0.000343169	0.0428
MFNG	151	3960110_MFNG	0.000347445	0.043046358
IKIP	152	3467315_IKIP	0.000354394	0.043618421
PI4KB	153	2434925_PI4KB	0.000359739	0.043986928
UHRF1	154	3817698_UHRF1	0.000365619	0.044129032
TMEM68	155	3136015_TMEM68	0.000365619	0.044129032
RNF19B	156	2405312_RNF19B	0.000372033	0.044585987
RASGEF1B	157	2775259_RASGEF1B	0.000374172	0.044585987
PGAP1	158	2593407_PGAP1	0.000384328	0.044878049
POU2AF1	159	3390860_POU2AF1	0.000386466	0.044878049
DCP1B	160	3440192_DCP1B	0.000388604	0.044878049
HIST2H2AB	161	2434129_HIST2H2AB	0.000388604	0.044878049
GLS2	162	3457891_GLS2	0.000390207	0.044878049
SESN1	163	2968652_SESN1	0.000392346	0.044878049
CEACAM1	164	3863669_CEACAM1	0.000393415	0.044878049
FAM83D	165	3884892_FAM83D	0.000403036	0.045297619
MKI67	166	3312490_MKI67	0.000406778	0.045297619
NELF	167	3230968_NELF	0.000406778	0.045297619
RAB3IP	168	3421706_RAB3IP	0.000406778	0.045297619
CCDC90B	169	3384471_CCDC90B	0.000453282	0.05
HN1L	170	3643966_HN1L	0.000456489	0.05
C13orf34	171	3493391_C13orf34	0.000457024	0.05
TPH1	172	3365203_TPH1	0.000488561	0.052701149
TCP11L1	173	3325839_TCP11L1	0.00048963	0.052701149
HIST1H3G	174	2946369_HIST1H3G	0.000490165	0.052701149
HMMR	175	2838656_HMMR	0.000497114	0.053142857
ZNF563	176	3851353_ZNF563	0.000509408	0.054147727
NOTCH1	177	3230141_NOTCH1	0.000533462	0.056384181
MCM7	178	3063685_MCM7	0.00054148	0.056910112
ECT2	179	2652675_ECT2	0.000548429	0.057318436
CDC25A	180	2673085_CDC25A	0.000553239	0.0575
RAD51C	181	3728776_RAD51C	0.000560188	0.057692308
CHAF1B	182	3920003_CHAF1B	0.000561257	0.057692308
ARRDC2	183	3824713_ARRDC2	0.000568741	0.057880435
KIF2C	184	2334098_KIF2C	0.000569275	0.057880435
EVI2B	185	3752258_EVI2B	0.000596002	0.06
BUB1B	186	3589697_BUB1B	0.000596536	0.06
C13orf31	187	3487600_C13orf31	0.000607227	0.060748663
RAP2B	188	2648378_RAP2B	0.000620056	0.061587302
LIF	189	3957160_LIF	0.000622194	0.061587302
ZFYVE1	190	3571248_ZFYVE1	0.000627539	0.061789474
RAD54L	191	2334646_RAD54L	0.00063823	0.062513089
SOCS4	192	3536650_SOCS4	0.000658007	0.063608247
GLG1	193	3698919_GLG1	0.000658007	0.063608247
PEA15	194	2363042_PEA15	0.000659611	0.063608247
ARHGAP19	195	3302187_ARHGAP19	0.000668163	0.063877551
KIF14	196	2450345_KIF14	0.000669232	0.063877551
HIST1H2AK	197	2947063_HIST1H2AK	0.000703977	0.066852792
ZNF335	198	3907561_ZNF335	0.000725893	0.068585859
INPP1	199	2520113_INPP1	0.000738721	0.068905473
BRMS1L	200	3532560_BRMS1L	0.000739256	0.068905473
MAPKAPK2	201	2376922_MAPKAPK2	0.000740325	0.068905473
ORAOV1	202	3380080_ORAOV1	0.000755826	0.07
POLH	203	2908100_POLH	0.000764913	0.070492611
BTN3A2	204	2899333_BTN3A2	0.000806072	0.073921569
ZNF195	205	3359751_ZNF195	0.00081997	0.074829268
BFAR	206	3649245_BFAR	0.000857922	0.077777778
EI24	207	3354731_EI24	0.000860594	0.077777778
BTG1	208	3465409_BTG1	0.000899615	0.080476191
EXOSC2	209	3191695_EXOSC2	0.000902288	0.080476191
SLC44A2	210	3820612_SLC44A2	0.000903357	0.080476191
SORD	211	3592109_SORD	0.000931687	0.082606635
DRAM	212	3428783_DRAM	0.000941843	0.082910798
RRM2B	213	3147286_RRM2B	0.000943981	0.082910798
EZH1	214	3758078_EZH1	0.000980329	0.085700935
AP4B1	215	2428855_AP4B1	0.00101935	0.088697674
C18orf55	216	3793588_C18orf55	0.001029506	0.088772727
HIST1H2BI	217	2899261_HIST1H2BI	0.00103111	0.088772727
CHAF1A	218	3817501_CHAF1A	0.001042335	0.088772727
LRDD	219	3358425_LRDD	0.001042869	0.088772727
PSEN2	220	2383312_PSEN2	0.001043938	0.088772727
AGPAT7	221	3617412_AGPAT7	0.001049818	0.088868778
TDP1	222	3548152_TDP1	0.001062112	0.089504505
RASA1	223	2819044_RASA1	0.001066923	0.089506727
CCM2	224	3000167_CCM2	0.001083494	0.090491071
TGM1	225	3558043_TGM1	0.001098995	0.091377778
ZNF343	226	3895022_ZNF343	0.001113427	0.091956522
CKAP2L	227	2571457_CKAP2L	0.001120911	0.091956522
RNF26	228	3352130_RNF26	0.001126791	0.091956522
PRKAB2	229	2433209_PRKAB2	0.001129998	0.091956522
FBXO42	230	2398073_FBXO42	0.001130532	0.091956522
STAG3	231	3015338_STAG3	0.001146034	0.092813853
HIST1H3F	232	2946364_HIST1H3F	0.001176502	0.09487069
UNC84B	233	3960827_UNC84B	0.001198418	0.096223176
MICALL1	234	3945084_MICALL1	0.001211247	0.096837607
IL16	235	3604287_IL16	0.001225679	0.097574468
LOC81691	236	3651509_LOC81691	0.001232093	0.097669492
PSMC4	237	3833291_PSMC4	0.001257751	0.0992827
C1orf183	238	2428079_C1orf183	0.001263096	0.099285714
HIST2H3A	239	2434080_HIST2H3A	0.001279666	0.100167364
HIST1H2AJ	240	2947040_HIST1H2AJ	0.00130372	0.101625
CLP1	241	3331392_CLP1	0.001319756	0.102448133
FAM26D	242	2922732_FAM26D	0.001334189	0.103140496
C6orf114	243	2942432_C6orf114	0.001348086	0.103786008
FLJ12529	244	3375340_FLJ12529	0.00137802	0.105428571
RBM19	245	3472468_RBM19	0.001380693	0.105428571
CCR5	246	2620855_CCR5	0.001395125	0.106097561
NOLC1	247	3261492_NOLC1	0.001415972	0.107246964
TOPORS	248	3203135_TOPORS	0.001423455	0.107309237
C11orf61	249	3396144_C11orf61	0.001428266	0.107309237
ZNF658	250	3206317_ZNF658	0.001477443	0.11056
EVI2A	251	3752271_EVI2A	0.001514325	0.112868526
SLC1A4	252	2485636_SLC1A4	0.001523412	0.113095238
SEH1L	253	3779756_SEH1L	0.001549604	0.11458498
GPR108	254	3848118_GPR108	0.001566709	0.115254902
PLK2	255	2858023_PLK2	0.001570986	0.115254902
RNF121	256	3339230_RNF121	0.001597712	0.116459144
TCF19	257	2902178_TCF19	0.00159985	0.116459144
HIST1H2AH	258	2899772_HIST1H2AH	0.001644751	0.119263566
KIF22	259	3655628_KIF22	0.001660787	0.11996139
CYP4F2	260	3853609_CYP4F2	0.001673081	0.120384615
CIAPIN1	261	3693183_CIAPIN1	0.001691255	0.121226054
ANKRD46	262	3146661_ANKRD46	0.001729741	0.123422053
ZDHHC5	263	3331433_ZDHHC5	0.001735087	0.123422053
HIST1H3B	264	2946215_HIST1H3B	0.001744708	0.123636364
LRRC8C	265	2345929_LRRC8C	0.001829699	0.129169811
CCNG1	266	2838598_CCNG1	0.0018452	0.129440299
SHPK	267	3741502_SHPK	0.001850545	0.129440299
CBL	268	3352070_CBL	0.001854287	0.129440299
DENND4A	269	3629811_DENND4A	0.001879944	0.130743494
PUS3	270	3396736_PUS3	0.001916292	0.132730627
TMTC3	271	3425134_TMTC3	0.001922707	0.132730627
TRAF4	272	3715839_TRAF4	0.001960659	0.134688645
BTLA	273	2688717_BTLA	0.001965469	0.134688645
RERE	274	2395245_RERE	0.001982574	0.135163636
USP20	275	3191176_USP20	0.001986851	0.135163636
BCL9	276	2356818_BCL9	0.002017319	0.136534296
USP49	277	2953798_USP49	0.002021595	0.136534296
TOR1B	278	3191147_TOR1B	0.002032286	0.13676259
PCNX	279	3542689_PCNX	0.002045649	0.137168459
CREB3L2	280	3075136_CREB3L2	0.002207612	0.1475
RPP30	281	3257559_RPP30	0.002271755	0.151245552
C8orf15	282	3124344_C8orf15	0.002312914	0.1528125
BTBD10	283	3363645_BTBD10	0.002317725	0.1528125
POLR1E	284	3168938_POLR1E	0.002327881	0.1528125
CSTF3	285	3368520_CSTF3	0.002333761	0.1528125
KPNA1	286	2691982_KPNA1	0.002340175	0.1528125
ZNF767	287	3078656_ZNF767	0.0023514	0.1528125
NELF	288	4051750_NELF	0.00235247	0.1528125
POM121	289	3007438_POM121	0.002406457	0.15537931
TRPV5	290	3077128_TRPV5	0.002408595	0.15537931
TROAP	291	3413875_TROAP	0.002419286	0.155532646
CFLP1	292	3256669_CFLP1	0.002429976	0.155684932
CCNE1	293	3828112_CCNE1	0.002479153	0.157789116
CIAPIN1	294	3782771_CIAPIN1	0.002479688	0.157789116
REV3L	295	2969677_REV3L	0.002519778	0.15979661
MARCH1	296	2792166_MARCH1	0.002544366	0.16
NTN1	297	3709838_NTN1	0.002548642	0.16
HIST1H2BB	298	2946225_HIST1H2BB	0.002548642	0.16
PMAIP1	299	3790704_PMAIP1	0.002581249	0.1612
WDR63	300	2344731_WDR63	0.00258499	0.1612
