Entrez Gene Identifier	Gene Symbol	Association with overall survival in RCHOP training cohort (DLBCL1) Univariate z-score	p-value	Bivariate (with LMO2) p-value	Tumor vs. Micro-Environment (CD19+ vs CD19-) p-value (paired T-test)
3604	TNFRSF9 (CD137)	-4.3	1.72E-05	2.33E-08	0.04
5578	PRKCA	-3.21	1.32E-03	1.04E-07	0.01
5334	PLCL1	-3.22	1.29E-03	1.67E-07	0.01
64375	IKZF4	-3.71	2.09E-04	1.93E-07	0.04
80273	GRPEL1	3.23	1.24E-03	1.06E-06	0
81615	TMEM163	-3.09	2.03E-03	1.17E-06	0.02
56548	CHST7	3.8	1.44E-04	1.46E-06	0.04
113763	C7orf29	-3.15	1.61E-03	1.65E-06	0
321	APBA2	-3.05	2.26E-03	1.74E-06	0.05
3687	ITGAX	-3.7	2.20E-04	2.33E-06	0.01
286133	SCARA5	-2.6	9.36E-03	3.65E-06	0.05
5919	RARRES2	-2.74	6.07E-03	4.58E-06	0.01
2060	EPS15	-3.22	1.29E-03	5.04E-06	0.03
6355	CCL8	2.76	5.74E-03	6.25E-06	0.01
4208	MEF2C	-2.75	5.92E-03	1.45E-05	0.01
