gene	Fold  change iNOS neg/ cont LN	Fold  change iNOS pos/ cont LN	Fold  change iNOS neg/ iNOS pos	p-value
BCL6	3.4392	4.3294	0.7944	0.806923
C3	0.0441	0.0649	0.6791	0.742404
C3AR1	0.5556	0.383	1.4506	0.703806
C4A	0.9255	0.8738	1.0592	0.687904
CCL11	44.0809	9.3044	4.7376	0.19008
CCL13	1.9113	2.1	0.9101	0.612667
CCL16	1.0006	1.5655	0.6391	0.461518
CCL17	0.0591	0.038	1.5561	0.420791
CCL19	0.1879	0.4184	0.4492	0.289725
CCL2	1.7664	2.6012	0.6791	0.482002
CCL21	0.0426	0.0574	0.7425	0.201404
CCL22	0.2308	0.1	2.308	0.99864
CCL23	56.1352	84.9868	0.6605	0.73454
CCL24	39.8314	40.3757	0.9865	0.524398
CCL3	1.8351	2.3201	0.791	0.841987
CCL4	0.0287	0.0176	1.6349	0.528607
CCL5	1.7864	0.8426	2.1202	0.133397
CCL7	15.6391	35.7945	0.4369	0.581661
CCL8	0.2452	0.254	0.9653	0.589621
CCR1	4.3911	3.5873	1.2241	0.29176
CCR2	0.4853	0.379	1.2805	0.409898
CCR3	42.8013	55.7313	0.768	0.588474
CCR4	0.2733	0.0909	3.0061	0.145138
CCR7	0.0569	0.0357	1.5915	0.702996
CD40	0.9231	0.9679	0.9537	0.450431
CD40LG	0.3834	0.285	1.3453	0.359237
CEBPB	3.2061	3.5749	0.8968	0.642085
CRP	72.3581	106.5522	0.6791	0.742404
CSF1	0.3486	0.8761	0.3979	0.187609
CXCL1	47.2039	72.7143	0.6492	0.843103
CXCL10	6.8093	1.3899	4.899	0.004975
CXCL11	0	0
CXCL2	0.0649	0.1107	0.5866	0.395073
CXCL3	0.2302	0.2687	0.8566	0.620625
CXCL5	0.0671	0.0604	1.1118	0.341652
CXCL6	13.1281	14.2503	0.9213	0.412822
CXCL9	1.2472	0.1442	8.6488	0.147232
CXCR3	214.34	112.791	1.9003	0.316753
CXCR4	0.1293	0.087	1.485	0.237018
FASLG	23.2972	11.615	2.0058	0.233434
FLT3LG	1.2372	1.7492	0.7073	0.309493
FOS	6.4905	8.3133	0.7807	0.853494
HDAC4	1.1306	1.1926	0.948	0.438732
IFNG	1.47	2.4291	0.6052	0.173468
IL10	1.5471	2.2743	0.6803	0.728867
IL10RB	0.2385	0.2458	0.9704	0.747961
IL18	0.3396	0.4272	0.7951	0.530893
IL18RAP	8.959	3.2052	2.7951	0.103987
IL1A	50.8115	39.1697	1.2972	0.268497
IL1B	0.8635	0.4105	2.1037	0.172165
IL1F10	335.9455	354.6904	0.9472	0.650778
IL1R1	2.0291	0.6674	3.0402	0.271535
IL1RAP	1.4065	2.4291	0.579	0.210612
IL1RN	0.5817	0.2979	1.9526	0.734573
IL22	87.0989	103.6385	0.8404	0.48817
IL22RA2	2.1994	2.0892	1.0528	0.610262
IL23A	1.8303	1.611	1.1362	0.676522
IL23R	2.7431	2.6489	1.0356	0.580746
IL6	0.9263	0.4268	2.1703	0.302825
IL6R	0.7446	1.3843	0.5379	0.990687
IL8	3.8828	6.1227	0.6342	0.307149
IL8RA	0.6793	1.0003	0.6791	0.742404
IL8RB	0.9376	4.2846	0.2188	0.330737
IL9	601.3593	461.9736	1.3017	0.46206
ITGB2	0.4616	0.7278	0.6342	0.137649
KNG1	11.0394	7.3254	1.507	0.099436
LTA	0.3399	1.3279	0.256	0.254355
LTB	0.7864	1.087	0.7234	0.222212
LY96	1.4828	2.6375	0.5622	0.222713
MYD88	0.5702	0.2678	2.1294	0.297781
NFATC3	0.1352	0.1884	0.7178	0.725486
NFKB1	0.1633	0.3558	0.459	0.133871
NOS2	1.8478	2.5521	0.7241	0.40237
NR3C1	1.0845	1.1906	0.9109	0.590107
RIPK2	1.5552	1.1109	1.4	0.964904
TIRAP	2.6635	7.3128	0.3642	0.089838
TLR1	1.4249	1.6649	0.8558	0.710831
TLR2	0.533	0.432	1.2336	0.227325
TLR3	5.4202	1.2465	4.3482	0.575828
TLR4	5.5919	5.8378	0.9579	0.554091
TLR5	3.3772	2.5126	1.3441	0.417749
TLR6	1.1695	1.7386	0.6726	0.947679
TLR7	0.1741	0.3209	0.5426	0.806555
TNF	9.0369	10.7344	0.8419	0.597091
TNFSF14	2.584	1.4431	1.7906	0.561231
TOLLIP	0.2581	0.1747	1.4773	0.292274
