Curated Gene Symbol	Sample	GM-Mac Mean +/- SD	M-Mac Mean +/- SD	P value	Fold difference
IL13	IL13	234 +/- 298	4420 +/- 310	0.006	18.9
	IGF-I	592 +/- 372	3500 +/- 616	0.019	5.9
PGF	PlGF	356 +/- 310	1121 +/- 350	0.037	3.2
HGF	HGF	340 +/- 316	1063 +/- 428	0.033	3.1
	GRO-alpha	284 +/- 493	873 +/- 464	0.014	3.1
TNFSF14	LIGHT	1051 +/- 547	2796 +/- 123	0.045	2.7
	IL-6 R	1644 +/- 1190	2686 +/- 1278	0.01	1.6
FIGF	VEGF-D	2925 +/- 296	2493 +/- 294	0.035	1.2
	TNF-beta	3518 +/- 483	2425 +/- 629	0.006	1.5
	TGF-beta3	1685 +/- 106	860 +/- 290	0.043	2
CCL22	CCL22	3638 +/- 1078	983 +/- 228	0.045	3.7
