Probeset ID	Gene	Description	Score(d)	Numerator(r)	Denominator(s+s0)	Fold Change	q-value (%)
AGI_MM_OLIGO_A_51_P392950	Sostdc1	sclerostin domain containing 1	12.5821134	7.002657143	0.556556512	127.48358	0.031841991
AGI_MM_OLIGO_A_51_P326826	Mela	melanoma antigen	20.28199776	4.973428571	0.245213939	31.50632	0.031841991
AGI_MM_OLIGO_A_51_P511927	Slc47a1	Slc47a1 solute carrier family 47, member 1	15.1223525	3.703428571	0.244897649	12.95789	0.031841991
AGI_MM_OLIGO_A_51_P207601	Aqp5	aquaporin 5	11.69145785	3.202285714	0.273899607	9.40988	0.031841991
AGI_MM_OLIGO_A_51_P145453	Xist	inactive X specific transcripts	6.98954739	3.110571429	0.445031882	8.6441	0.031841991
AGI_MM_OLIGO_A_51_P202033	Gpr177	G protein-coupled receptor 177	8.116454887	3.028	0.373069282	8.59631	0.031841991
AGI_MM_OLIGO_A_51_P399305	Tnfrsf19	tumor necrosis factor receptor superfamily, member 19	6.578626161	3.168857143	0.481689803	8.16139	0.031841991
AGI_MM_OLIGO_A_51_P493234	Cp	ceruloplasmin	8.258077799	2.930571429	0.354873313	7.68754	0.031841991
AGI_MM_OLIGO_A_51_P256827	S100a8	S100 calcium binding protein A8 (calgranulin A)	2.57640453	2.084857143	0.809211876	7.49556	0.260119369
AGI_MM_OLIGO_A_51_P333839	Pdgfc	platelet-derived growth factor, C polypeptide	8.721020086	2.808857143	0.322078967	6.9241	0.031841991
AGI_MM_OLIGO_A_51_P499020	Fbp2	fructose bisphosphatase 2	6.319680482	2.786285714	0.440890283	6.42701	0.031841991
AGI_MM_OLIGO_A_51_P174314	Robo1	roundabout homolog 1 (Drosophila)	5.216943268	2.491428571	0.47756482	6.06462	0.031841991
AGI_MM_OLIGO_A_51_P290213	Insig1	insulin induced gene 1	2.563382471	1.928	0.752131226	5.63788	0.260119369
AGI_MM_OLIGO_A_51_P337523	Adcy2	adenylate cyclase 2	7.715508905	2.454857143	0.318171772	5.53384	0.031841991
AGI_MM_OLIGO_A_51_P484158	Steap1	six transmembrane epithelial antigen of the prostate 1	7.757639382	2.509428571	0.323478374	5.52749	0.031841991
AGI_MM_OLIGO_A_51_P201054	Cmkor1	chemokine orphan receptor 1	8.619186685	2.417714286	0.280503761	5.4351	0.031841991
AGI_MM_OLIGO_A_51_P326191	Serpina3g	serine (or cysteine) peptidase inhibitor, clade A, member 3G	4.964112169	2.232	0.449627229	5.14807	0.031841991
AGI_MM_OLIGO_A_51_P457306	Tmprss2	transmembrane protease, serine 2	3.610140842	2.130857143	0.590242109	4.96862	0.031841991
AGI_MM_OLIGO_A_51_P284849	Lphn2	latrophilin 2	5.249314267	2.486	0.473585667	4.96367	0.031841991
AGI_MM_OLIGO_A_51_P284476	Gpm6b	glycoprotein m6b	9.629276792	2.294285714	0.238261477	4.93054	0.031841991
AGI_MM_OLIGO_A_51_P337308	Saa3	serum amyloid A 3	2.588104158	1.785428571	0.689859628	4.80204	0.260119369
AGI_MM_OLIGO_A_51_P340255	Nbea	neurobeachin	6.089621612	2.349714286	0.385855548	4.78382	0.031841991
AGI_MM_OLIGO_A_51_P146126	Cdkn1b	cyclin-dependent kinase inhibitor 1B (P27)	4.965582556	2.064857143	0.415833816	4.6179	0.031841991
AGI_MM_OLIGO_A_51_P290576	Plk2	polo-like kinase 2 (Drosophila)	4.140222322	2.029142857	0.490104806	4.55089	0.031841991
AGI_MM_OLIGO_A_51_P345775	Slc2a12	solute carrier family 2 (facilitated glucose transporter), member 12	7.609683312	2.107714286	0.276977924	4.37322	0.031841991
AGI_MM_OLIGO_A_51_P125467	Igf2r	insulin-like growth factor 2 receptor	4.472468132	1.944857143	0.434850978	4.35226	0.031841991
AGI_MM_OLIGO_A_51_P429308	Neto2	neuropilin (NRP) and tolloid (TLL)-like 2	6.448941895	2.038571429	0.316109443	4.33023	0.031841991
AGI_MM_OLIGO_A_51_P108581	Adrbk2	adrenergic receptor kinase, beta 2	6.199303758	2.102285714	0.339116423	4.31676	0.031841991
AGI_MM_OLIGO_A_51_P290921	Sytl2	synaptotagmin-like 2	6.759837798	2.066571429	0.305713168	4.11568	0.031841991
AGI_MM_OLIGO_A_51_P101347	AI427122	expressed sequence AI427122	5.754377633	1.943714286	0.337780106	3.98696	0.031841991
AGI_MM_OLIGO_A_51_P106488	Apeg1	aortic preferentially expressed gene 1	11.93361829	1.99	0.166755795	3.97041	0.031841991
