GB acc#	Unigene ID	Ratio matrix vs. control	Name
AA050586	Mm.12819	0.746076	branched chain ketoacid dehydrogenase E1, beta polypeptide
AA051441	Mm.3882	1.910079	Bcl2-like
W41358	Mm.449	0.354852	cell death-inducing DNA fragmentation factor, alpha subunit-like effector A
AA145458	Mm.1807	0.657156	fibronectin 1
W49392	Mm.4717	1.376371	laminin, gamma 2
AA270625	Mm.980	0.697035	tenascin C
AA067146	Mm.34576	1.629202	immediate early response, erythropoietin 1
AA122891	Mm.5289	1.902847	glyceraldehyde-3-phosphate dehydrogenase
W80147	Mm.2639	0.674463	lymphocyte antigen 86
AA175692	Mm.28719	1.807473	RIKEN cDNA 2700038M07 gene
AA177596	Mm.28719	1.770656	RIKEN cDNA 2700038M07 gene
W61383	Mm.16898	1.590774	3-phosphoglycerate dehydrogenase
AA110896	Mm.29902	2.752634	phosphoserine aminotransferase
AA274533	Mm.29902	2.324293	phosphoserine aminotransferase
W82737	Mm.8315	1.415219	neural precursor cell expressed, developmentally down-regulated gene 9
AA177814	Mm.707	1.334404	MAD homolog 1 (Drosophila)
AA108928	Mm.321	2.139644	secreted phosphoprotein 1
AA237383	Mm.20901	2.145531	peroxisomal biogenesis factor 11b
W34967	Mm.88730	1.65863	peroxisome biogenesis factor 16
AA250462	Mm.8884	1.502538	nuclear factor of kappa light chain gene enhancer in B-cells inhibitor, alpha
AA261582	Mm.5087	0.588246	fibroblast growth factor 1
AA213082	Mm.24426	1.448752	SEC23A (S. cerevisiae)
AA221184	Mm.22114	1.350874	golgi SNAP receptor complex member 2
AA003078	Mm.5045	0.713753	solute carrier family 16 (monocarboxylic acid transporters), member 2
AA177949	Mm.16757	1.904012	solute carrier family 20, member 1
W83271	Mm.21629	1.356243	ATP-binding cassette, sub-family F (GCN20), member 2
W13053	Mm.2941	1.393133	microsomal triglyceride transfer protein
AA276030	Mm.2041	1.478626	ATPase, H+ transporting, lysosomal 16kD, V0 subunit C
AA067153	Mm.2985	1.599529	platelet-activating factor acetylhydrolase, isoform 1b, beta1 subunit
AA023549	Mm.10299	0.5207	procollagen, type V, alpha 2
AA073604	Mm.6975	0.669202	procollagen, type I, alpha 1
W89883	Mm.4271	0.439916	procollagen, type III, alpha 1
AA497620	Mm.6853	0.693373	small proline-rich protein 2A
W62360	Mm.35774	0.762167	dual specificity phosphatase 19
AA177872	Mm.20288	1.420035	glutathione reductase 1
W83904	Mm.4587	0.707965	peptidylprolyl isomerase C
AA067045	Mm.9638	0.761453	WD repeat domain 10
AA139628	Mm.20399	1.470776	profilin 2
AA208883	Mm.4053	0.684281	Talin
AA200264	Mm.5124	0.752765	biglycan
AA268082	Mm.1677	0.683083	lumican
W12478	Mm.1528	0.773676	glypican 4
W63981	Mm.41573	0.596071	fibromodulin
AA198560	Mm.29254	0.58309	Insulin-like growth factor binding protein 3
AA276440	Mm.22699	0.574132	selenoprotein P, plasma, 1
AA023119	Mm.40016	0.770044	gap junction membrane channel protein alpha 12
W18376	Mm.7263	0.776997	blocked early in transport 1 homolog (S. cerevisiae)
AA016594	Mm.13799	1.584	G protein-coupled receptor 56
W12546	Mm.20806	0.746175	lysosomal apyrase-like 1
AA174215	Mm.930	1.637738	cathepsin L
AA289542	Mm.22753	1.410286	cathepsin B
AA178121	Mm.3619	0.652833	cathepsin S
AA462035	Mm.25699	1.484348	pantophysin
AA199988	Mm.1053	1.450407	mannosidase 1, alpha
AA064011	Mm.10660	0.705416	aquaporin 1
AA086840	Mm.3291	0.716244	FMS-like tyrosine kinase 4
AA175329	Mm.6716	0.639311	histocompatibility 2, class II antigen A, beta 1
W89964	Mm.5238	2.156909	guanine nucleotide binding protein, alpha 13
AA289476	Mm.6272	0.697425	chemokine (C-C) receptor 2
AA413119	Mm.8687	2.306824	adenylyl cyclase-associated CAP protein homolog 1 (S. cerevisiae, S. pombe)
AA242226	Mm.1220	0.635288	cadherin 2
W82406		0.709983	laminin, gamma 1
W83988	Mm.1327	0.681369	decay accelerating factor 1
AA269724	Mm.22564	0.602087	histocompatibility 2, class II antigen E beta
AA272807	Mm.1254	0.497082	histocompatibility 2, class II antigen A, alpha
AA217236	Mm.2681	1.484183	hemochromatosis
W11889	Mm.2681	1.557307	hemochromatosis
AA458178	Mm.498	0.267653	CD36 antigen
AA462281	Mm.27327	1.579307	coatomer protein complex, subunit beta 1
AA000564	Mm.29368	0.66866	angiotensin receptor-like 1
AA511931		1.4947	cholecystokinin A receptor
AA097980	Mm.10742	2.763143	cytochrome P450, 4a10
AA212435	Mm.12838	0.721557	cytochrome P450, 2j5
AA238492	Mm.12838	0.719973	cytochrome P450, 2j5
AA269533	Mm.1758	0.458728	cytochrome P450, 2b9, phenobarbitol inducible, type a
AA013960	Mm.28921	0.671457	claudin 3
AA170009	Mm.984	0.671116	myristoylated alanine rich protein kinase C substrate
AA175094	Mm.984	0.589825	myristoylated alanine rich protein kinase C substrate
AA271494	Mm.30059	0.609752	myristoylated alanine rich protein kinase C substrate
W97442	Mm.4358	1.629521	mitogen activated protein kinase kinase kinase 12
AA016940	Mm.4411	0.676925	glucosaminyl (N-acetyl) transferase 1, core 2
W87014	Mm.24522	1.341246	sialyltransferase 5
W10786	Mm.22633	1.399194	diacylglycerol O-acyltransferase 1
W34054	Mm.3905	1.510952	phosphate cytidylyltransferase 1, choline, alpha isoform
AA213167	Mm.635	4.92818	heme oxygenase (decycling) 1
AA237178	Mm.1668	0.576624	flavin containing monooxygenase 5
W16254	Mm.1703	1.389877	Tubulin, beta 5
AA512478		2.063331	cytochrome c oxidase, subunit VIIa 3
AA014196	Mm.536	1.385304	glutamate dehydrogenase
W41175	Mm.3711	1.618813	glycerol phosphate dehydrogenase 1, mitochondrial
AA274685	Mm.7513	0.205887	hydroxysteroid dehydrogenase-4, delta<5>-3-beta
AA276254	Mm.7513	0.194963	hydroxysteroid dehydrogenase-4, delta<5>-3-beta
W48307	Mm.28162	1.350144	nucleoporin 210
AA003440	Mm.25793	0.528092	hemogen
AA250595	Mm.27201	0.682711	promyelocytic leukemia
AA200984	Mm.56	1.632781	Down syndrome critical region homolog 1 (human)
AA469826	Mm.4563	1.46112	metal response element binding transcription factor 1
AA260352	Mm.33875	1.668737	cerebellar ataxia 3
AA175547	Mm.28708	1.586242	stress induced protein
AA271223	Mm.34537	1.363856	CCAAT/enhancer binding protein (C/EBP), alpha
AA396451	Mm.22522	1.400039	methyl-CpG binding domain protein 1
AA197417	Mm.27934	1.419789	ariadne homolog 2 (Drosophila)
AA168536	Mm.21834	1.404091	origin recognition complex, subunit 4
W13971	Mm.34663	1.31396	NTF2-related export protein 1
AA049474	Mm.29581	1.385652	hairy/enhancer-of-split related with YRPW motif 1
AA050907	Mm.9244	1.310286	suppressor of variegation 3-9 homolog 1 (Drosophila)
AA106263	Mm.34213	1.510344	Williams-Beuren syndrome chromosome region 14 homolog (human)
AA183432	Mm.3288	0.718405	tripartite motif protein 30
AA014643	Mm.3948	1.55938	signal transducer and activator of transcription 3
AA049399	Mm.4605	1.347242	T-box 2
AA396081	Mm.4122	1.320123	TATA box binding protein
AA249976	Mm.2806	1.394249	xeroderma pigmentosum, complementation group C
W66757	Mm.22216	1.666935	glucocorticoid-induced leucine zipper
AA242673	Mm.27160	1.423865	RIKEN cDNA 4930548G07 gene
AA290294	Mm.29266	0.763893	LIM only 2
AA546839	Mm.1745	1.446243	RAD21 homolog (S. pombe)
AA049416	Mm.22570	1.36632	H1 histone family, member 2
AA259788	Mm.1500	1.303764	mini chromosome maintenance deficient 4 homolog (S. cerevisiae)
AA209592	Mm.3470	1.441404	retinoid X receptor alpha
AA002393	Mm.29709	1.357972	origin recognition complex, subunit 6-like (S. cerevisiae)
AA116947	Mm.2361	1.668665	proliferating cell nuclear antigen
AA044475	Mm.1025	1.446077	nuclear, factor, erythroid derived 2, like 2
AA237169	Mm.12407	1.351245	cAMP responsive element binding protein 3
AA476158	Mm.4292	1.781575	TGFB inducible early growth response
AA272876	Mm.87176	1.3713	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)
AA185217	Mm.27962	1.36	zinc finger protein 238
AA472395	Mm.2154	1.534714	Max interacting protein 1
AA222481	Mm.4270	0.732823	AT motif binding factor 1
AA271551	Mm.18789	1.736151	SRY-box containing gene 4
AA272757	Mm.3077	0.659826	nuclear receptor subfamily 1, group I, member 3
AA118976	Mm.19101	1.53625	DEAD (aspartate-glutamate-alanine-aspartate) box polypeptide 5
AA510004	Mm.28480	1.343502	FK506 binding protein 3 (25kD)
AA068665	Mm.41562	1.588543	RIKEN cDNA 2610002K22 gene
AA261287	Mm.8403	1.973271	acyl-Coenzyme A oxidase 1, palmitoyl
AA241896	Mm.29988	0.648694	peroxisomal trans-2-enoyl-CoA reductase
AA245738	Mm.39288	1.523951	CD36 antigen (collagen type I receptor, thrombospondin receptor)-like 2
AA060376	Mm.20560	1.736622	tumor-associated calcium signal transducer 2
W34921	Mm.20560	1.729032	tumor-associated calcium signal transducer 2
W64550	Mm.20560	1.655625	tumor-associated calcium signal transducer 2
AA397125	Mm.1894	0.563532	CD1d1 antigen
AA050218	Mm.30246	1.403754	CD151 antigen
AA047991	Mm.14245	0.665479	ribosomal protein, large P2
AA260227	Mm.2915	1.66747	fatty acid amide hydrolase
AA209640	Mm.653	0.735657	histocompatibility 2, complement component factor B
AA163911	Mm.182913	1.671218	casein kinase 1, delta
AA543916	Mm.34216	1.42302	Unc-51 like kinase 1 (C. elegans)
W66635	Mm.3991	1.752554	solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10
W33774		1.551164	calreticulin
AA276818	Mm.8655	0.679335	complement component factor h
AA473768	Mm.6095	1.559897	cystatin B
AA071899	Mm.1282	1.715131	small inducible cytokine A3
AA444730	Mm.30205	0.544716	small inducible cytokine A19
AA472492	Mm.766	0.740748	small inducible cytokine B subfamily (Cys-X-Cys), member 9
AA146544	Mm.139115	1.34323	RIKEN cDNA 2610109I01 gene
W16053	Mm.5258	1.355385	adenosine deaminase, RNA-specific, B1
AA423144	Mm.3506	1.66555	arginase type II
AA395957	Mm.849	1.723867	protein phosphatase 1B, magnesium dependent, beta isoform
W18642	Mm.3766	1.461565	protein phosphatase 1A, magnesium dependent, alpha isoform
W29607	Mm.2112	1.779988	enoyl coenzyme A hydratase 1, peroxisomal
W18519	Mm.27646	0.549424	3-phosphoadenosine 5-phosphosulfate synthase 2
AA242310	Mm.2675	1.396247	platelet derived growth factor, alpha
AA415370	Mm.23219	1.41232	related RAS viral (r-ras) oncogene homolog 2
AA266975	Mm.1022	1.5604	cell division cycle 42 homolog (S. cerevisiae)
AA277200	Mm.1486	1.33043	ADP-ribosylation factor 4
W54562	Mm.87650	1.411632	RIKEN cDNA 3732413A17 gene
AA008705	Mm.24571	0.682676	RAB3D, member RAS oncogene family
AA221997	Mm.262	1.519502	ras homolog 9 (RhoC)
W64242	Mm.29210	1.759129	ras homolog N (RhoN)
AA178388	Mm.30918	0.61078	GTP binding protein 3
AA419748	Mm.7588	0.726076	signal recognition particle receptor, B subunit
W70912	Mm.28746	1.402028	small GTPase, homolog (S. cerevisiae)
AA240404	Mm.1909	0.479875	guanylate nucleotide binding protein 3
AA260603	Mm.74684	1.684547	guanylate nucleotide binding protein 3
AA415240	Mm.154531	1.420438	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5
AA273927	Mm.20950	2.352489	DEAD (aspartate-glutamate-alanine-aspartate) box polypeptide, Y chromosome
AA177363	Mm.28107	2.324589	ectonucleotide pyrophosphatase/phosphodiesterase 2
W09023	Mm.2433	1.794488	mannosidase 2, alpha 1
AA087559	Mm.1265	1.678109	alkaline phosphatase 2, liver
AA178383	Mm.3956	1.441566	ubiquitin specific protease 9, X chromosome
W34507	Mm.139570	2.137496	RIKEN cDNA 0610041D24 gene
AA120757	Mm.10211	1.617592	ectonucleoside triphosphate diphosphohydrolase 5
W83974	Mm.4221	0.579996	carboxypeptidase E
AA212899	Mm.2774	0.68125	deiodinase, iodothyronine, type I
W08348	Mm.27183	0.714227	phenylalkylamine Ca2+ antagonist (emopamil) binding protein
AA387369	Mm.18939	1.991539	phosphomannomutase 1
AA061801	Mm.29122	1.306866	brain-specific angiogenesis inhibitor 1-associated protein 2
AA000819	Mm.20944	1.846314	sphingosine kinase 1
AA276928	Mm.74642	1.529677	phosphatidylinositol 4-kinase type 2 beta
W46097	Mm.23329	1.346987	protein kinase C and casein kinase substrate in neurons 3
AA277332	Mm.27970	1.329708	mitogen activated protein kinase 13
AA475121	Mm.8359	2.116563	pyruvate kinase liver and red blood cell
W88005	Mm.34446	2.593206	cyclin-dependent kinase inhibitor 1A (P21)
AA008016	Mm.142	0.463084	lymphocyte protein tyrosine kinase
AA015048	Mm.27664	0.735008	Unc-51 like kinase 2 (C. elegans)
AA268478	Mm.7693	1.458888	serine/threonine kinase 2
AA414632	Mm.18133	1.844859	cyclin-dependent kinase-like 2 (CDC2-related kinase)
W64144	Mm.20827	1.69069	homeodomain interacting protein kinase 1
AA276364	Mm.132943	0.38909	C-type (calcium dependent, carbohydrate recognition domain) lectin, superfamily member 12
AA404174	Mm.17911	1.685742	lectin, galactose binding, soluble 4
AA244853	Mm.3539	0.654406	mannan-binding lectin serine protease 2
AA395996	Mm.32920	1.415157	non-canonical ubiquitin conjugating enzyme 1
AA274663	Mm.33731	0.635206	butyryl Coenzyme A synthetase 1
W29492	Mm.2942	1.583842	asparagine synthetase
AA276008	Mm.1570	1.682201	ubiquitin-conjugating enzyme E2D 2
W33415	Mm.25316	1.542265	ATP citrate lyase
W65619	Mm.4282	0.642044	adenylate cyclase 7
AA204262	Mm.90587	2.179553	enolase 1, alpha non-neuron
W11965	Mm.948	1.573867	enolase 3, beta muscle
AA272198	Mm.3160	0.72988	uroporphyrinogen III synthase
W08694	Mm.1641	0.731059	carbonic anhydrase 4
W08299	Mm.203	1.586996	apurinic/apyrimidinic endonuclease 1
W08172	Mm.28119	1.382006	sphingosine phosphate lyase 1
W12827	Mm.28119	1.469542	sphingosine phosphate lyase 1
AA060595	Mm.7459	2.842588	cytochrome P450, 4a14
W14138	Mm.2253	1.337336	expressed sequence AW111961
AA386680	Mm.3380	1.628433	kinesin family member 5B
AA122720	Mm.310	1.437593	zinc finger protein 103
W09719	Mm.26772	1.593928	RIKEN cDNA 2610207I16 gene
AA068375	Mm.252	2.606569	NAD(P)H dehydrogenase, quinone 1
AA067191	Mm.10709	1.679364	UDP-glucose dehydrogenase
AA275737	Mm.14063	0.761201	retinal short-chain dehydrogenase/reductase 1
AA122814	Mm.14609	3.171767	aldehyde dehydrogenase family 1, subfamily A7
AA238090	Mm.27335	1.510428	butyrobetaine (gamma), 2-oxoglutarate dioxygenase 1 (gamma-butyrobetaine hydroxylase)
AA209061	Mm.44552	1.816263	thioredoxin reductase 1
AA472074	Mm.3043	1.342623	xanthine dehydrogenase
W99028	Mm.2577	1.728982	plasminogen
W44032	Mm.29760	1.607188	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13
W85238	Mm.21119	1.775207	LPS-induced TN factor
AA207872	Mm.3537	1.489634	renin 2 tandem duplication of Ren1
AA276457	Mm.3537	1.921963	renin 1 structural
AA123007	Mm.27162	0.597523	2-5 oligoadenylate synthetase-like 2
W36053	Mm.23085	1.750189	neuropathy target esterase
AA237870	Mm.36278	2.079188	formiminotransferase cyclodeaminase
AA241859	Mm.21983	1.611751	betaine-homocysteine methyltransferase
W97296	Mm.21983	2.438706	betaine-homocysteine methyltransferase
AA275042	Mm.6824	2.102961	N-sulfotransferase
AA185055	Mm.29975	0.615138	glycine amidinotransferase (L-arginine:glycine amidinotransferase)
AA289657	Mm.75489	1.673242	2-5 oligoadenylate synthetase-like 1
AA060494	Mm.1522	1.435267	glutamate oxaloacetate transaminase 1, soluble
AA250213	Mm.2786	0.596246	protein C
AA050086	Mm.3268	1.57362	ubiquitin-conjugating enzyme E2I
AA221141	Mm.2409	0.554488	alcohol dehydrogenase 1
W41977	Mm.24395	2.147043	2,4-dienoyl CoA reductase 1, mitochondrial
AA290052	Mm.14301	0.676497	2-5 oligoadenylate synthetase 1A
AA122529	Mm.103621	1.599047	absent in melanoma 1-like
AA266938	Mm.5061	1.367637	ADP-ribosylation factor 2
AA266651	Mm.29117	0.63916	afamin precursor
AA270289	Mm.29117	0.605098	afamin precursor
W13905	Mm.26992	2.279655	angiopoietin-like 4
AA399854	Mm.29192	1.487918	asparaginyl-tRNA synthetase
AA068436	Mm.24745	1.483371	basic leucine zipper and W2 domains 2
AA435252	Mm.29808	1.371562	B-box and SPRY domain containing
AA177687	Mm.4236	1.385414	B-cell receptor-associated protein 29
W16205	Mm.903	1.691795	B-cell translocation gene 2, anti-proliferative
