Gene	Fold expression H/N	Genbank Accession	Putative Function
SMOC2	58.32	NM_022138	Promotion of Matrix assembly
PLEKHA6	13.59	NM_014935	Adhesion
DMKN	10.79	NM_033317	Epithelial cell differentiation
KIT	8.62	NM_000222	Stem cell Proliferation
LAMA1	8.49	NM_005559	Development Retina and Myocytes
SNTG2	7.52	NM_018968	Eye development
GPR56	6.01	NM_201525	Neural development
OXCT2	5.81	NM_022120	Ketone body utilisation
NOG	5.13	NM_005450	Neural tube fusion, joint formation
HOXA11	4.8	NM_005523	Uterine development
