miRNA	Fold change	P	Chromosomal location
hsa-miR-192	3.4208	0.0001	11q13.1
hsa-miR-148a	5.2022	0.0003	7p15.2
hsa-miR-376c	5.2219	0.0006	14q32.31
hsa-miR-489	5.9645	0.0006	7q21.3
hsa-miR-374a	3.0461	0.0007	Xq13.2
hsa-miR-502-3p	3.6029	0.0007	Xp11.23
hsa-miR-128	3.6245	0.0009	2q21.3/3p22.3
hsa-miR-532-3p	3.4476	0.0012	Xp11.23
hsa-miR-136	5.5769	0.0013	14q32.31
hsa-miR-505	2.0836	0.0016	Xq27.1
hsa-miR-197	2.4862	0.0017	1p13.3
hsa-miR-127-3p	4.5601	0.0018	14q32.31
hsa-miR-19b	2.8751	0.0022	13q31.3/Xq26.2
hsa-miR-28-5p	3.072	0.0025	3q26
hsa-miR-335	2.9885	0.0026	7q32.2
hsa-miR-100	1.9009	0.0032	11q24.1
