FeatureNumber	ProbeUID	AgilentProbeID	GeneSymbol	SystematicName	Description	logFoldChange	AverageExpression	t.statistic	p.value	adjusted.p.value
10122	9192	A_24_P99216	LRP10	NM_014045	Homo sapiens low density lipoprotein receptor-related protein 10 (LRP10), mRNA [NM_014045]	-1.286305817	8.552546606	-7.161545209	5.30169E-07	0.001824795
2396	2062	A_24_P231494	DNPEP	NM_012100	Homo sapiens aspartyl aminopeptidase (DNPEP), mRNA [NM_012100]	-0.784287993	9.047740841	-7.598494562	2.16216E-07	0.001824795
39055	35698	A_24_P252973	HEAB	NM_006831	Homo sapiens ATP/GTP-binding protein (HEAB), mRNA [NM_006831]	-0.638034122	8.78554083	-7.490220025	2.69383E-07	0.001824795
6547	5892	A_23_P203364	TMEM109	NM_024092	Homo sapiens transmembrane protein 109 (TMEM109), mRNA [NM_024092]	-0.525420993	7.82107113	-7.213621739	4.75778E-07	0.001824795
20608	18868	A_23_P211598	PMM1	NM_002676	Homo sapiens phosphomannomutase 1 (PMM1), mRNA [NM_002676]	-0.480463137	10.9614192	-7.225628786	4.64075E-07	0.001824795
43197	39501	A_23_P152024	CSK	NM_004383	Homo sapiens c-src tyrosine kinase (CSK), mRNA [NM_004383]	-0.448882523	8.861876188	-7.153999699	5.38566E-07	0.001824795
14466	13253	A_23_P351342	PLEKHM2	BC068599	Homo sapiens pleckstrin homology domain containing, family M (with RUN domain) member 2, mRNA (cDNA clone IMAGE:5263629), complete cds. [BC068599]	-0.423125979	9.099475774	-7.457893635	2.87747E-07	0.001824795
42898	39287	A_23_P416242	RNF166	NM_178841	Homo sapiens ring finger protein 166 (RNF166), mRNA [NM_178841]	-0.362979813	7.86118491	-7.398200877	3.25131E-07	0.001824795
6319	5783	A_23_P73780	IRAK1	NM_001569	Homo sapiens interleukin-1 receptor-associated kinase 1 (IRAK1), transcript variant 1, mRNA [NM_001569]	-0.762915445	10.64641156	-6.923268005	8.74017E-07	0.00222689
25049	22956	A_24_P185624	SLC35C2	NM_173179	Homo sapiens solute carrier family 35, member C2 (SLC35C2), transcript variant 1, mRNA [NM_173179]	-0.73962661	9.330996735	-6.949726258	8.26514E-07	0.00222689
40151	36752	A_23_P153502	AKT1S1	NM_032375	Homo sapiens AKT1 substrate 1 (proline-rich) (AKT1S1), mRNA [NM_032375]	-0.530250361	8.450175518	-6.90747471	9.03704E-07	0.00222689
44091	40291	A_24_P347854	SYNGR2	NM_004710	Homo sapiens synaptogyrin 2 (SYNGR2), mRNA [NM_004710]	-0.824554292	10.32844718	-6.69095447	1.43333E-06	0.002291996
4964	4514	A_24_P291978	ADCK2	NM_052853	Homo sapiens aarF domain containing kinase 2 (ADCK2), mRNA [NM_052853]	-0.811619119	7.951466944	-6.722218527	1.34047E-06	0.002291996
12146	11168	A_24_P148521	TMBIM1	NM_022152	Homo sapiens transmembrane BAX inhibitor motif containing 1 (TMBIM1), mRNA [NM_022152]	-0.803922222	8.566389271	-6.842290756	1.03765E-06	0.002291996
30724	28071	A_32_P194115	UNC84B	NM_015374	Homo sapiens unc-84 homolog B (C. elegans) (UNC84B), mRNA [NM_015374]	-0.778319237	9.415504858	-6.628943777	1.63761E-06	0.002291996
3404	3010	A_24_P225448	CSRP1	NM_004078	Homo sapiens cysteine and glycine-rich protein 1 (CSRP1), mRNA [NM_004078]	-0.673852158	8.563710657	-6.636846845	1.60999E-06	0.002291996
30362	27715	A_24_P295601	KIAA0652	NM_014741	Homo sapiens KIAA0652 (KIAA0652), mRNA [NM_014741]	-0.646580478	8.997778542	-6.688700795	1.44028E-06	0.002291996
35655	32593	A_24_P331128	GNA15	NM_002068	Homo sapiens guanine nucleotide binding protein (G protein), alpha 15 (Gq class) (GNA15), mRNA [NM_002068]	-0.431536953	7.610083657	-6.61401062	1.69114E-06	0.002291996
25154	22996	A_23_P64404	FADS3	NM_021727	Homo sapiens fatty acid desaturase 3 (FADS3), mRNA [NM_021727]	-0.42749149	8.605288755	-6.667467093	1.50743E-06	0.002291996
11708	10689	A_24_P168510	MGC2749	NM_024069	Homo sapiens hypothetical protein MGC2749 (MGC2749), mRNA [NM_024069]	-0.418517181	9.56417444	-6.765739603	1.22139E-06	0.002291996
927	817	A_23_P75470	SCYL1	NM_020680	Homo sapiens SCY1-like 1 (S. cerevisiae) (SCYL1), mRNA [NM_020680]	-0.715981446	9.188727588	-6.590737412	1.77816E-06	0.002295184
31109	28471	A_24_P235012	MTCH1	NM_014341	Homo sapiens mitochondrial carrier homolog 1 (C. elegans) (MTCH1), nuclear gene encoding mitochondrial protein, mRNA [NM_014341]	-0.950844007	10.54061938	-6.309728185	3.27715E-06	0.002565195
38553	35248	A_23_P28238	SNX17	NM_014748	Homo sapiens sorting nexin 17 (SNX17), mRNA [NM_014748]	-0.889469419	8.961990299	-6.282497381	3.47903E-06	0.002565195
8600	7792	A_24_P127828	VCP	NM_007126	Homo sapiens valosin-containing protein (VCP), mRNA [NM_007126]	-0.79541419	9.603128926	-6.296890993	3.37078E-06	0.002565195
33877	31045	A_23_P41143	APEH	NM_001640	Homo sapiens N-acylaminoacyl-peptide hydrolase (APEH), mRNA [NM_001640]	-0.772195085	10.53906118	-6.232909403	3.88006E-06	0.002565195
22691	20828	A_23_P154208	NAGK	NM_017567	Homo sapiens N-acetylglucosamine kinase (NAGK), mRNA [NM_017567]	-0.743860493	11.76692392	-6.474525741	2.2869E-06	0.002565195
36669	33505	A_23_P121265	PTK9L	NM_007284	Homo sapiens PTK9L protein tyrosine kinase 9-like (A6-related protein) (PTK9L), mRNA [NM_007284]	-0.696578248	10.42307899	-6.305164107	3.31013E-06	0.002565195
36175	33073	A_24_P222860	PIK4CB	NM_002651	Homo sapiens phosphatidylinositol 4-kinase, catalytic, beta polypeptide (PIK4CB), mRNA [NM_002651]	-0.692653072	9.574540547	-6.40234227	2.6761E-06	0.002565195
6812	6221	A_23_P131308	CYP27A1	NM_000784	Homo sapiens cytochrome P450, family 27, subfamily A, polypeptide 1 (CYP27A1), nuclear gene encoding mitochondrial protein, mRNA [NM_000784]	-0.685006411	8.645686614	-6.267899618	3.59246E-06	0.002565195
