Curated Gene Symbol	Gene Name	Probe	Systematic Name	Ensembl ID	DAC
VIM	VIM		NM_003380		181.2
TNFRSF4	TNFRSF4		NM_003327		113
GPER	GPR30		NM_001505		85.6
VASN	VASN		NM_138440		78.6
CST6	CST6		NM_001323		63.7
FMR1NB	FMR1NB		NM_152578		46.1
CKM	CKM		NM_001824		45.1
AIF1	AIF1		NM_004847		44.5
COX7A2	COX7A2		NM_001865		44
CMTM3	CMTM3		NM_144601		38.5
GPR68	GPR68		NM_003485		35.9
VIM	VIM		NM_003380		35.3
	LOC645277		XM_928321		32
RAB13	RAB13		NM_002870		31.7
TAS1R1	TAS1R1		NM_138697		31.2
EDNRB	EDNRB		NM_003991		30.4
B3GALT4	B3GALT4		NM_003782		28.9
CXCL9	CXCL9		NM_002416		28.5
PLAT	PLAT		NM_000930		27.5
CCRL2	CCRL2		NM_003965		27.5
TNFAIP2	TNFAIP2		NM_006291		27.4
ACRC	ACRC		NM_052957		26.1
LAG3	LAG3		NM_002286		25.8
		A_24_P177634			24.6
TMEM204	C16orf30		NM_024600		24.4
	THC2333719		THC2333719		23.7
MYO1G	MYO1G		NM_033054		23.1
ID2	ID2		NM_002166		22.8
	M32220		M32220		22.7
LPAR6	P2RY5		NM_005767		22.5
SECTM1	SECTM1		NM_003004		20.7
GPX1	GPX1		NM_201397		20.6
IFI27	IFI27		NM_005532		19.8
CCR9	CCR9		NM_006641		19.4
RHOXF2	PEPP-2		NM_032498		18.9
ART3	ART3		NM_001179		18.8
IFI27	IFI27		NM_005532		18.1
				ENST00000371388	18
APOE	APOE		NM_000041		17.6
PTRF	PTRF		NM_012232		17.4
CHRDL2	CHRDL2		NM_015424		17.4
CLDN19	CLDN19		NM_148960		17.3
HAS3	HAS3		NM_005329		17
EPHA2	EPHA2		NM_004431		17
	THC2337710		THC2337710		17
LGALS8	LGALS8		NM_006499		16.9
SPINT1	SPINT1		NM_003710		16.5
IFI27	IFI27		NM_005532		16.5
ZP1	ZP1		NM_207341		16.3
	LOC440335		BC022385		16.2
	THC2373524		THC2373524		15.7
AGMAT	AGMAT		NM_024758		15.6
CDKN1C	CDKN1C		NM_000076		15.3
TNF	TNF		NM_000594		15.1
CYB5R2	CYB5R2		NM_016229		15
IFI27	IFI27		NM_005532		14.9
IFI27	IFI27		NM_005532		14.8
IFI27	IFI27		NM_005532		14.8
IFI27	IFI27		NM_005532		13.8
NACC2	BTBD14A		NM_144653		13.8
CCR7	CCR7		NM_001838		13.5
VMP1	TMEM49		BC024020		13.5
AGXT2L1	AGXT2L1		NM_031279		13.4
ANGPT2	ANGPT2		NM_001147		13.4
IFI27	IFI27		NM_005532		13.4
NGB	NGB		NM_021257		13.2
CNDP1	CNDP1		NM_032649		13.1
IFI27	IFI27		NM_005532		13.1
AHNAK	AHNAK		NM_001620		13.1
RAMP1	RAMP1		NM_005855		13
	BM045853		BM045853		12.9
ICOS	ICOS		NM_012092		12.8
RUNX3	RUNX3		NM_004350		12.6
LXN	LXN		NM_020169		12.2
SYT11	SYT11		NM_152280		12.2
RPGRIP1	RPGRIP1		NM_020366		12.2
IFI27	IFI27		NM_005532		12.2
TNNC2	TNNC2		NM_003279		12.1
12-Sep	FLJ25410		NM_144605		11.9
LGSN	GLULD1		NM_016571		11.9
MET	MET		NM_000245		11.8
PROC	PROC		NM_000312		11.7
		A_24_P478940			11.3
				ENST00000381781	11.2
GPR56	GPR56		NM_201525		11
SPINT2	SPINT2		NM_021102		11
GNG11	GNG11		NM_004126		11
PLXND1	PLXND1		NM_015103		11
	BC036938		BC036938		10.9
RASD1	RASD1		NM_016084		10.9
FARP1	FARP1		NM_005766		10.8
P2RY6	P2RY6		NM_176798		10.7
LEFTY1	LEFTY1		NM_020997		10.6
CD52	CD52		NM_001803		10.6
GDF15	GDF15		NM_004864		10.5
		A_24_P109661			10.4
		A_23_P15226			10.4
				ENST00000320378	10.3
VCX2	VCX2		NM_016378		10.2
WBP5	WBP5		NM_016303		10.2
KITLG	KITLG		NM_000899		10.1
RHBDL3	RHBDL3		NM_138328		10
	THC2383841		THC2383841		10
