Gene	BM  (15 January  2003)	PB (15 January  2003)
Calgranulin B (migration inhibitory factor-related protein 14)	-1.58E+01	-1.60E+01
Calgranulin C (neutrophil S100 protein)	-1.42E+01	-2.77E+01
Adhesion molecule AMIGA	-1.33E+01	-1.58E+01
T-cell leukaemia/lymphoma protein 1A (TCL1 oncogene)	-8.80E+00	-2.30E+00
Lymphoid enhancer binding factor 1 (LEF-1)	-8.70E+00	-1.63E+01
T-cell surface glycoprotein CD1d (CD1d antigen)	-8.10E+00	-1.35E+01
FceRI gamma	-7.90E+00	-5.60E+00
Hepatic leukaemia factor	-7.80E+00	-9.70E+00
l-myc-1 proto-oncogene protein	-7.60E+00	-1.36E+01
Transcription factor HES-1	-7.60E+00	-1.16E+01
B-lymphocyte antigen CD20	-6.90E+00	-8.80E+00
Leukocyte receptor cluster (LRC) member 8	-6.50E+00	-3.80E+00
P2Y purinoceptor 5 (P2Y5)	-6.50E+00	-9.20E+00
Interleukin-2 receptor beta chain (IL-2 receptor)	-5.60E+00	-4.60E+00
T-lymphocyte activation antigen CD86	-5.60E+00	-6.80E+00
C-Myc target JPO1	-5.40E+00	-1.19E+01
Frizzled 1 (Frizzled-1)	-5.30E+00	-3.30E+00
Focal adhesion kinase 1 (pp125FAK)	-5.20E+00	-8.50E+00
Metastasis suppressor protein 1	-5.20E+00	-5.80E+00
Heme oxygenase 1 (HO-1)	-5.20E+00	-2.40E+00
Interleukin 7 receptor	-5.00E+00	-3.60E+00
Tyrosine-protein kinase HCK	-5.00E+00	-2.30E+00
G protein-coupled sphingolipid receptor (EDG1 protein)	-4.90E+00	-7.50E+00
CD19 antigen	-4.80E+00	-3.00E+00
C–C chemokine receptor type 5 (CCR5)	-4.70E+00	-5.70E+00
RGS10 protein	-4.60E+00	-7.40E+00
T-lymphoma invasion and metastasis inducing protein 1 (TIAM1 protein)	-4.50E+00	-6.20E+00
C–C chemokine receptor type 1 (CCR1)	-4.50E+00	-4.80E+00
T-cell surface glycoprotein CDS beta chain (Antigen CD8B)	-4.40E+00	-4.10E+00
Transcription factor AP-1	-4.30E+00	-6.70E+00
Early activation antigen CD69	-4.00E+00	-1.66E+01
CD48 protein	-4.00E+00	-4.70E+00
CD6 protein	-3.90E+00	-3.50E+00
T-cell surface glycoprotein CDS zeta chain	-3.80E+00	-2.60E+00
Cyclin A2 (cyclin A)	-3.80E+00	-9.50E+00
Calmodulin	-3.80E+00	-4.60E+00
Transferrin	-3.80E+00	-3.90E+00
Serine/threonine-protein kinase PAK 1	-3.60E+00	-3.60E+00
Cyclin A2 (cyclin A)	-3.50E+00	-5.20E+00
Proto-oncogene tyrosine-protein kinase FGR	-3.30E+00	-4.30E+00
