Affymetrix ID	Gene Code	Fold Change
204748 at	PTGS2	-13.96
210794 s at	MEG3	-9.63
205666 at	FMO1	-6.8
210119 at	KCNJ15	-6.15
221009 s at	ANGPTL4	-6.12
213524 s at	G0S2	-6.01
202627 s at	SERPINE1	-5.8
232113 at		-5.42
237151 s at	hCG 17324	-5.24
206336 at	CXCL6	-5.22
232544 at		-5.2
203868 s at	VCAM1	-5.14
229170 s at	TTC18	-4.86
230341 x at	ADAMTS10	-4.83
213906 at	MYBL1	-4.8
219873 at	COLEC11	-4.76
241866 at	SLC16A7	-4.75
223395 at	ABI3BP	-4.55
202628 s at	SERPINE1	-4.53
212977 at	CXCR7	-4.48
219519 s at	SIGLEC1	-4.48
219737 s at	PCDH9	-4.34
229307 at	ANKRD28	-4.3
207057 at	SLC16A7	-4.27
203180 at	ALDH1A3	-4.24
223467 at	RASD1	-4.23
206115 at	EGR3	-4.15
243332 at		-4.13
205328 at	CLDN10	-4.08
244026 at		-4.07
242915 at	ZNF682	-4.02
219550 at	ROBO3	-3.97
208037 s at	MADCAM1	-3.94
206315 at	CRLF1	-3.93
227399 at	VGLL3	-3.9
223533 at	LRRC8C	-3.89
202436 s at	CYP1B1	-3.87
223741 s at	TTYH2	-3.82
236222 at	C3orf15	-3.82
204150 at	STAB1	-3.78
229947 at	PI15	-3.76
223121 s at	SFRP2	-3.74
202435 s at	CYP1B1	-3.73
222162 s at	ADAMTS1	-3.72
238919 at		-3.72
1556039 s at	GPR173	-3.71
202992 at	C7	-3.7
203066 at	GALNAC4S	-3.65
215388 s at	CFH /// CFHR1	-3.65
204604 at	PFTK1 CFHR2	-3.61
206910 x at	CFHR2	-3.6
