Category	Gene
S2-013.MUC1F/S2-013.NEO > 2.0	Metallothionein 1H
S2-013.MUC1F/S2-013.NEO > 2.0	Nucleosome assembly protein 1-like 1
S2-013.MUC1F/S2-013.NEO > 2.0	Metallothionein 1G
S2-013.MUC1F/S2-013.NEO > 2.0	KIAA0544 protein
S2-013.MUC1F/S2-013.NEO > 2.0	N-acetylgalactosaminyltransferase (GalNac-T)
S2-013.MUC1F/S2-013.NEO > 2.0	Glucose regulated protein, 58 kDa
S2-013.MUC1F/S2-013.NEO > 2.0	Thioredoxin reductase 1
S2-013.MUC1F/S2-013.NEO > 2.0	Connective tissue growth factor
S2-013.MUC1F/S2-013.NEO > 2.0	Apolipoprotein E
S2-013.MUC1F/S2-013.NEO > 2.0	MpV17 transgene, murine homolog, glomerulosclerosis
S2-013.MUC1F/S2-013.NEO > 2.0	Collagen, type XIV, alpha I; undulin
S2-013.MUC1F/S2-013.NEO > 2.0	Spermine synthase
S2-013.MUC1F/S2-013.NEO > 2.0	Transferrin receptor (p90, CD71)
S2-013.MUC1F/S2-013.NEO > 2.0	Tropomyosin 1 (alpha)
S2-013.MUC1F/S2-013.NEO > 2.0	Annexin A1
S2-013.MUC1F/S2-013.NEO > 2.0	Clathrin assembly lymphoid-myeloid leukemia gened
S2-013.MUC1F/S2-013.NEO > 2.0	Nucleoporin 88 kDac
S2-013.NEO/S2-013.MUC1F > 2.0	Lipocalin 2 (oncogene 24p3)
S2-013.NEO/S2-013.MUC1F > 2.0	Keratin 19
S2-013.NEO/S2-013.MUC1F > 2.0	Matrix metalloproteinase 7 (matrilysin, uterine)
S2-013.NEO/S2-013.MUC1F > 2.0	Myelin basic proteina
S2-013.NEO/S2-013.MUC1F > 2.0	RNA binding motif protein 3
S2-013.NEO/S2-013.MUC1F > 2.0	Suppression of tumorigenicity 14 (colon carcinoma)
S2-013.NEO/S2-013.MUC1F > 2.0	Leukemia inhibitory factor (cholinergic differentiation factor)
S2-013.NEO/S2-013.MUC1F > 2.0	Transmembrane 4 superfamily member 4
S2-013.NEO/S2-013.MUC1F > 2.0	Proprotein convertase subtilisin/kexin type 5
