Illumina ID	Log2 FC	P Value	ENTREZ	SYMBOL	Description
WDR72	2.19	0.003239	256764	WDR72	WD repeat domain 72 (WDR72), mRNA.
FLJ43692	1.86	0.000974	445328	FLJ43692	ARHGEF5-like (FLJ43692), mRNA.
UBB	1.83	0.000447	7314	UBB	ubiquitin B (UBB), mRNA.
LRP4	1.53	0.00817	4038	LRP4	low density lipoprotein receptor-related protein 4 (LRP4), mRNA.
EPHA1	1.51	0.001363	2041	EPHA1	EPH receptor A1 (EPHA1), mRNA.
GPT2	1.46	0.005674	84706	GPT2	glutamic pyruvate transaminase (alanine aminotransferase) 2 (GPT2), mRNA.
ZNF91	1.37	0.000135	7644	ZNF91	zinc finger protein 91 (ZNF91), mRNA.
ATF5	1.36	0.001375	22809	ATF5	activating transcription factor 5 (ATF5), mRNA.
RAB3IP	1.31	0.002094	117177	RAB3IP	RAB3A interacting protein (rabin3) (RAB3IP), transcript variant beta 1, mRNA.
SOX4	1.27	0.002103	6659	SOX4	SRY (sex determining region Y)-box 4 (SOX4), mRNA.
EDG4	1.14	0.004126	9170	EDG4	endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 4 (EDG4), mRNA.
FBN3	1.12	2.56E-05	84467	FBN3	fibrillin 3 (FBN3), mRNA.
PRSS1	1.08	0.002227	5644	PRSS1	protease, serine, 1 (trypsin 1) (PRSS1), mRNA.
ASNS	1.06	0.004212	440	ASNS	asparagine synthetase (ASNS), transcript variant 1, mRNA.
PLAGL2	1.05	0.006447	5326	PLAGL2	pleiomorphic adenoma gene-like 2 (PLAGL2), mRNA.
NCAPD2	1.04	0.008453	9918	NCAPD2	non-SMC condensin I complex, subunit D2 (NCAPD2), mRNA.
HDAC2	1.01	0.001417	3066	HDAC2	histone deacetylase 2 (HDAC2), mRNA.
TMEM14B	1	0.001666	81853	TMEM14B	transmembrane protein 14B (TMEM14B), mRNA.
FOXP4	1	0.000211	116113	FOXP4	forkhead box P4 (FOXP4), transcript variant 1, mRNA.
