Gene	Description	Fold change	Expression
Fgf-2	Fibroblast growth factor 2	3.5	Upregulated genes
Kcnmb4	Potassium large conductance calcium-activated channel, subfamily M, beta member 4	2.5	Upregulated genes
Loc381796	Similar to carbohydrate (chondroitin 4) sulfotransferase 13	2.4	Upregulated genes
Oxct1	3-oxoacid coa transferase 1	2.1	Upregulated genes
Solt	Soxlz/Sox6 leucine zipper binding protein in testis	1.9	Upregulated genes
Glt25d1	Glycosyltransferase 25 domain containing 1	1.8	Upregulated genes
Bc005764	Cdna sequence BC005764	1.6	Upregulated genes
Prss16	Protease, serine, 16 (thymus)	1.6	Upregulated genes
Aqp5	Aquaporin 5	10.4	Downregulated genes
Chst8	Carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8	7.3	Downregulated genes
Rln1	Relaxin 1	6.1	Downregulated genes
Gadd45a	Growth arrest and DNA-damage-inducible 45 alpha	4.9	Downregulated genes
Cnr2	Cannabinoid receptor 2 (macrophage)	4.8	Downregulated genes
Tmem86a	Transmembrane protein 86A	4.2	Downregulated genes
Ctns	Cystinosis, nephropathic	4.1	Downregulated genes
Ggtla1	Gamma-glutamyltransferase-like activity 1	3.8	Downregulated genes
Cyp3a25	Cytochrome P450, family 3, subfamily a, polypeptide 25	3.7	Downregulated genes
Stc2	Stanniocalcin 2	3.6	Downregulated genes
Gadd45g	Growth arrest and DNA-damage-inducible 45 gamma	3.5	Downregulated genes
Hs3st3b1	Heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	3.4	Downregulated genes
Hs3st6	Heparan sulfate (glucosamine) 3-O-sulfotransferase 6	3	Downregulated genes
Prkcm	Protein kinase C, mu	2.9	Downregulated genes
Gsn	Gelsolin	2.6	Downregulated genes
Slc12a4	Solute carrier family 12, member 4	2.6	Downregulated genes
Rkhd3	Ring finger and KH domain containing 3	2.6	Downregulated genes
Padi2	Peptidyl arginine deiminase, type II	2.6	Downregulated genes
Myh14	Myosin, heavy polypeptide 14	2.6	Downregulated genes
Aspa	Aspartoacylase (aminoacylase) 2	2.6	Downregulated genes
Fuca1	Fucosidase, alpha-L- 1, tissue	2.6	Downregulated genes
Abcc3	ATP-binding cassette, sub-family C (CFTR/MRP), member 3	2.5	Downregulated genes
Angptl4	Angiopoietin-like 4	2.4	Downregulated genes
Trem2	Triggering receptor expressed on myeloid cells 2	2.4	Downregulated genes
Rab27b	RAB27b, member RAS oncogene family	2.4	Downregulated genes
Gng12	Guanine nucleotide binding protein (G protein), gamma 12	2.4	Downregulated genes
Greb1	Gene regulated by estrogen in breast cancer protein	2.4	Downregulated genes
Jundm2	Jun dimerization protein 2	2.3	Downregulated genes
Hif1a	Hypoxia inducible factor 1, alpha subunit	2.2	Downregulated genes
Krt2-4	Keratin complex 2, basic, gene 4	2.2	Downregulated genes
Rasl11b	RAS-like, family 11, member B	2.2	Downregulated genes
Tuba8	Tubulin, alpha 8	2.2	Downregulated genes
Psen2	Presenilin 2	2.2	Downregulated genes
Furin	Furin (paired basic amino acid cleaving enzyme)	2.1	Downregulated genes
Per2	Period homolog 2 (Drosophila)	2.1	Downregulated genes
Sh3d19	SH3 domain protein D19	2.1	Downregulated genes
Kif16b	Kinesin family member 16B	2.1	Downregulated genes
Mras	Muscle and microspikes RAS	2.1	Downregulated genes
Spg20	Spastic paraplegia 20, spartin (Troyer syndrome) homolog (human)	2.1	Downregulated genes
Pcca	Propionyl-Coenzyme A carboxylase, alpha polypeptide	2.1	Downregulated genes
Memo1	Memo1 mediator of cell motility 1	2	Downregulated genes
Myh9	Myosin, heavy polypeptide 9, non-muscle	2	Downregulated genes
