Gene name	Symbol	GenBank accession number	Expression ratio (post:pre)	Function
Immunoglobulin gamma 3	IGHG3	Y14737	1:47	Heavy chain immunoglobulin
Annexin A8	ANXA8	X16662	1:23	Vascular anticoagulant beta; function in heart unknown
Immunoglobulin kappa constant region	IGKC	M63438	1:18	Light chain immunoglobulin
Immunoglobulin lambda constant region 1	IGLC1	M18645	1:16	Light chain immunoglobulin
Haptoglobin	HP	X00442	1:16	Binds free hemoglobin and protects against bacterial growth
Immunoglobulin mu	IGHM	X67301	1:16	Heavy chain immunoglobulin
Immunoglobulin lambda-like light chain 3 (incomplete sequence)		A1932613	1:09	Light chain immunoglobulin
Keratin 7	KRT7	AJ238246	1:07	Unknown
Protein tyrosine phosphatase, non-receptor, type 2	PTPN2	M25393	1:07	Regulator of cell growth and differentiation
Centrin 1	CETN1	U03270	1:06	Involved in centrosome segregation and microtubule severing
Immunoglobulin alpha constant heavy chain 2	IGHA2	S71043	1:06	Heavy chain immunoglobulin
Properdin factor B	BF	L15702	1:06	Serine protease; C3 proaccelerator
Hexosaminidase B	HEXB	M23294	1:06	Ganglioside breakdown
Cyclin E2	CCNE2	AF091433	1:05	DNA synthesis initiator
Tumor necrosis factor receptor superfamily, member 7	TNFRSF7	M63928	1:05	Cell growth, differentiation, and apoptosis
Immunoglobulin lambda constant region	IGLC	X57809	1:05	Light chain immunoglobulin
Kallikrein 11	KLK11	AB012917	1:05	Serine protease
RAS inhibitor	RIN1	L36463	1:04	Inhibitor of RAS-mediated cell growth and differentiation
Carcinoembryonic antigen- related cell adhesion molecule	CEACAM1	X16354	1:04	Member of the immunoglobulin superfamily
Haptoglobin-related protein	HPR	X89214	1:04	Similar to haptoglobulin
Immunoglobulin J chain	IGJ	AI660656	1:04	Synthesized in B lymphocytes; links immunoglobulin monomers
RAL guanine nucleotide dissociation stimulator	RALGDS	AB002349	1:04	RAS-related GTPases; cell signaling
Phosphoenolpyruvate carboxykinase 2 (mitochondrial)	PCK2	X92720	1:04	Gluconeogenesis
Mast cell carboxypeptidase A	MC-CPA	M73720	1:04	Unknown
DMX-like 1 protein	DMXL1	AJ005821	1:04	Protein–protein interactions and regulation
Neuronal nicotinic acetylcholine receptor alpha-7 subunit	CHRNA7	X70297	1:04	Alpha 7 subunit of the neuronal nicotinic acetylcholine receptor
