Gene symbol	Fold change	Gene annotation
SPBP4H10.10	2.53	rhomboid family protease
SPAC27D7.09c	2.38	S. pombe specific But2 family protein
SPCC191.01	2.16	sequence orphan
SPAC4H3.03c	1.9	glucan 1,4-alpha-glucosidase (predicted)
SPAC27D7.09c///SPAC27D7.10c	1.83	S. pombe specific But2 family protein///S. pombe specific But2 family protein
SPAC2E1P3.01	1.73	zinc binding dehydrogenase
etr1	1.7	enoyl-[acyl-carrier protein] reductase
SPAC977.13c	1.61	unknown
SPCC576.04	1.58	bax inhibitor-like protein
isp6	1.5	vacuolar serine protease Isp6
SPAC57A7.05	1.48	conserved protein (fungal and plant)
ish1	1.46	LEA domain protein
