Gene symbol	Gene annotation	Fold change	Domain
dbp2	ATP-dependent RNA helicase Dbp2	0.505654603	CESR
SPAC683.02c	zf-CCHC type zinc finger protein	0.54400796	CESR
rnc1	RNA-binding protein that suppresses calcineurin deletion Rnc1	0.542224422	CESR
SPAC27F1.06c	FKBP-type peptidyl-prolyl cis-trans isomerase (predicted)	0.582198085	CESR
SPBC887.17	uracil permease (predicted)	0.553965422	CESR
SPAC18B11.06	U3 snoRNP-associated protein Lcp5 (predicted)	0.632087271	CESR
SPBC16C6.12c	Las1-like protein	0.629410143	CESR
set5	histone lysine methyltransferase Set5 (predicted)	0.637501511	CESR
SPBC215.06c	human LYHRT homolog	0.573253369	CESR
rpb12	DNA-directed RNA polymerase I, II and III subunit Rpc10	0.617545354	CESR
SPAC19A8.07c	U3 snoRNP-associated protein Imp4 (predicted)	0.589387349	CESR
ade9	C-1-tetrahydrofolatesynthase/methylenetetrahydrof olatedehydrogenase/methylenetetrahydrofolatecyclohydrolase/ formyltetrahydrofolatesynthetase	0.630545769	CESR
SPBC24C6.02	ATP-dependent RNA helicase Spb4 (predicted)	0.660642795	CESR
SPAC1486.09	ribosome biogenesis protein Nob1 (predicted)	0.653557617	CESR
SPAC12G12.02	rRNA processing protein, unnamed	0.629830415	CESR
skb15	Shk1 kinase binding protein 15	0.647791301	CESR
SPBC1711.07	WD repeat protein Rrb1 (predicted)	0.659089519	CESR
SPBP8B7.20c	RNA methyltransferase Nop2 (predicted)	0.651647497	CESR
SPAC19B12.11c	zinc finger protein	0.657976973	CESR
prh1	ATP-dependent RNA helicase Prh1	0.647508633	CESR
SPAC227.02c	rRNA processing protein Rrp15 (predicted)	0.631201118	CESR
rrp8	rRNA methyltransferase Rrp8 (predicted)	0.625843134	CESR
SPCC24B10.18	human Leydig cell tumor 10 kDa protein homolog	0.618587535	CESR
SPBC4F6.07c	ATP-dependent RNA helicase Mak5 (predicted)	0.638965599	CESR
SPAC19G12.05	mitochondrial citrate transporter	0.629015439	CESR
SPBC2D10.19c	sequence orphan	0.662543308	CESR
sda1	SDA1 family protein	0.657625585	CESR
SPBC32H8.05	conserved fungal protein	0.618996862	CESR
SPBC1539.10	ribosome biogenesis protein Nop16 (predicted)	0.654815934	CESR
SPAPB1A10.14	F-box protein, unnamed	0.406160787	H2O2
SPAC683.02c	zf-CCHC type zinc finger protein	0.54400796	H2O2
SPAC19A8.07c	U3 snoRNP-associated protein Imp4 (predicted)	0.589387349	H2O2
SPAC1002.16c	nicotinic acid plasma membrane transporter (predicted)	0.617712972	H2O2
SPBC336.02	18S rRNA dimethylase	0.624420439	H2O2
SPBC1683.01	inorganic phosphate transporter (predicted)	0.631998045	H2O2
prh1	ATP-dependent RNA helicase Prh1	0.647508633	H2O2
SPBC887.17	uracil permease (predicted)	0.553965422	H2O2
SPBP8B7.20c	RNA methyltransferase Nop2 (predicted)	0.651647497	H2O2
dbp3	ATP-dependent RNA helicase Dbp3 (predicted)	0.608664446	H2O2
SPBC1711.07	WD repeat protein Rrb1 (predicted)	0.659089519	H2O2
SPBC215.06c	human LYHRT homolog	0.573253369	H2O2
SPBC16C6.12c	Las1-like protein	0.629410143	H2O2
SPAC869.05c	sulfate transporter (predicted)	0.530882896	H2O2
sda1	SDA1 family protein	0.657625585	H2O2
SPAC18B11.06	U3 snoRNP-associated protein Lcp5 (predicted)	0.632087271	H2O2
dbp2	ATP-dependent RNA helicase Dbp2	0.505654603	H2O2
SPAC12G12.02	rRNA processing protein, unnamed	0.629830415	H2O2
SPAC227.02c	rRNA processing protein Rrp15 (predicted)	0.631201118	H2O2
SPAC27F1.06c	FKBP-type peptidyl-prolyl cis-trans isomerase (predicted)	0.582198085	H2O2
rpb12	DNA-directed RNA polymerase I, II and III subunit Rpc10	0.617545354	H2O2
SPBC2D10.19c	sequence orphan	0.662543308	H2O2
SPAC1486.09	ribosome biogenesis protein Nob1 (predicted)	0.653557617	H2O2
set5	histone lysine methyltransferase Set5 (predicted)	0.637501511	H2O2
SPCC24B10.18	human Leydig cell tumor 10 kDa protein homolog	0.618587535	H2O2
ade9	C-1-tetrahydrofolatesynthase/methylenetetrahydrof olatedehydrogenase/methylenetetrahydrofolatecyclohydrolase/ formyltetrahydrofolatesynthetase	0.630545769	H2O2
rrp8	rRNA methyltransferase Rrp8 (predicted)	0.625843134	H2O2
SPBC24C6.02	ATP-dependent RNA helicase Spb4 (predicted)	0.660642795	H2O2
SPBC4F6.07c	ATP-dependent RNA helicase Mak5 (predicted)	0.638965599	H2O2
dbp3	ATP-dependent RNA helicase Dbp3 (predicted)	0.608664446	Heat
SPBC887.17	uracil permease (predicted)	0.553965422	Heat
dbp2	ATP-dependent RNA helicase Dbp2	0.505654603	Heat
SPBC215.06c	human LYHRT homolog	0.573253369	Heat
SPAC1786.02	phospholipase (predicted)	0.489484868	Heat
SPBPB10D8.01	cysteine transporter (predicted)	0.539599157	Heat
SPAPB1A10.14	F-box protein, unnamed	0.406160787	Heat
SPBC1683.01	inorganic phosphate transporter (predicted)	0.631998045	Heat
SPAC683.02c	zf-CCHC type zinc finger protein	0.54400796	Heat
SPBC16C6.12c	Las1-like protein	0.629410143	Heat
sda1	SDA1 family protein	0.657625585	Heat
SPBC1711.07	WD repeat protein Rrb1 (predicted)	0.659089519	Heat
SPBC336.02	18S rRNA dimethylase	0.624420439	Heat
SPBP8B7.20c	RNA methyltransferase Nop2 (predicted)	0.651647497	Heat
SPAC19A8.07c	U3 snoRNP-associated protein Imp4 (predicted)	0.589387349	Heat
prh1	ATP-dependent RNA helicase Prh1	0.647508633	Heat
ade9	C-1-tetrahydrofolatesynthase/methylenetetrahydrof olatedehydrogenase/methylenetetrahydrofolatecyclohydrolase/ formyltetrahydrofolatesynthetase	0.630545769	Heat
SPAC18B11.06	U3 snoRNP-associated protein Lcp5 (predicted)	0.632087271	Heat
SPAC19B12.11c	zinc finger protein	0.657976973	Heat
SPAC1486.09	ribosome biogenesis protein Nob1 (predicted)	0.653557617	Heat
SPAC227.02c	rRNA processing protein Rrp15 (predicted)	0.631201118	Heat
set5	histone lysine methyltransferase Set5 (predicted)	0.637501511	Heat
SPAC19G12.05	mitochondrial citrate transporter	0.629015439	Heat
rrp8	rRNA methyltransferase Rrp8 (predicted)	0.625843134	Heat
SPAPB1A10.14	F-box protein, unnamed	0.406160787	Cd
dbp2	ATP-dependent RNA helicase Dbp2	0.505654603	Cd
SPBC215.06c	human LYHRT homolog	0.573253369	Cd
SPAC683.02c	zf-CCHC type zinc finger protein	0.54400796	Cd
SPBC887.17	uracil permease (predicted)	0.553965422	Cd
SPBC1711.07	WD repeat protein Rrb1 (predicted)	0.659089519	Cd
SPAC1486.09	ribosome biogenesis protein Nob1 (predicted)	0.653557617	Cd
dbp3	ATP-dependent RNA helicase Dbp3 (predicted)	0.608664446	Cd
SPAC19A8.07c	U3 snoRNP-associated protein Imp4 (predicted)	0.589387349	Cd
SPBC336.02	18S rRNA dimethylase	0.624420439	Cd
SPBP8B7.20c	RNA methyltransferase Nop2 (predicted)	0.651647497	Cd
sda1	SDA1 family protein	0.657625585	Cd
SPBC16C6.12c	Las1-like protein	0.629410143	Cd
skb15	Shk1 kinase binding protein 15	0.647791301	Cd
SPAC19B12.11c	zinc finger protein	0.657976973	Cd
