Gene Symbol	Gene Title	Function	Accession No.	Fold Change	p Value
Slc16a1 (MCT1)	Solute carrier family 16 (monocarboxylic acid transporter 1), member, 1	Organic anion transport	NM_012716	&#11;1.5 ± 0.1	0.001
Nkx2-2 predicted	NK2 transcription factor related (Drosophila) (predicted)	Brain development	AA925143	&#11;1.5 ± 0.04	0.011
Cklfsf6 predicted	Chemokine-like factor -super family 6 (predicted)	Chemotaxis	AI406687	&#11;1.5 ± 0.02	0.012
LOC498276 (Fcy RII &#4;)	Fc gamma receptor II alpha	Immune response	NM_053843	&#11;1.5 ± 0.1	0.013
Col4a1 predicted	Procollagen, type IV alpha 1 (predicted)	Phosphate transport, cell adhesion	AI176393	&#11;1.5 ± 0.06	0.028
RGD1307925 predicted (TBC1D23)	Similar to RIKEN cDNA 4930451A13 (predicted)	Nucleic acid binding	BM390350	&#11;1.5 ± 0.2	0.044
Akap1	A kinase (PRKA) anchor protein 1	Protein kinase binding	NM_053665	&#11;1.5 ± 0.03	0.013
Erbb3	V-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)	Regulation of cell cycle progression	BI284288	&#11;1.5 ± 0.2	0.016
Tmem27 (Collectrin)	kidney-specific membrane protein	Renal organogenesis	NM_020976	&#11;1.5 ± 0.04	0.033
Serpinh1 (HSP47)	Serine/cysteine proteinase inhibitor, clade H, member 1	Protein folding	BI285495	&#11;1.5 ± 0.2	0.026
Dpyd	Dihydropyrimidine dehydrogenase	Electron transport	NM_031027	&#11;1.5 ± 0.1	0.033
Gna12 (G-protein alpha-12)	Guanine nucleotide binding protein, alpha 12	G-protein-coupled receptor binding	NM_031034	&#11;1.5 ± 0.2	0.047
Rffl	Fring	Protein ubiquitination	AW524664	&#11;1.6 ± 0.1	0.009
Prss35	Protease, serine, 35	Proteolysis	AA866443	&#11;1.6 ± 0.2	0.017
Scap2	Src family associated phosphoprotein 2	Negative regulation of cell proliferation	AA891732	&#11;1.6 ± 0.1	0.048
Rt1.Da (HLADRA)	Rt1 class II, locus Da	Immune response	Y00480	&#11;1.6 ± 0.03	0.004
Map1b	Microtubule-associated protein 1b	Microtubule bundle formation	BE096402	&#11;1.6 ± 0.02	0.033
Kdr (VEGFR-2)	Kinase insert domain protein receptor	Angiogenesis	U93307	&#11;1.7 ± 0.1	0.038
Tnfrsf11b (Osteoprotegrin)	Tumor necrosis factor receptor superfamily, member 11b	Apoptosis	NM_012870	&#11;1.7 ± 0.1	0.02
Tgm2	Transglutaminase 2, C polypeptide	G protein-coupled receptor protein signaling pathway	NM_019386	&#11;1.9 ± 0.1	0.028
(STAM2)a	Signal transducing adaptor molecule, (SH3 domain and ITAM motif) 2	Protein binding	BF397766	&#11;1.9 ± 0.2	0.01
Adamts1 (ADAM-TS1)	A disintegrin-like and metalloprotease with thrombospondin type 1 motif, 1	Metalloendopeptidase activity	NM_024400	&#11;2.1 ± 0.2	0.019
Tm4sf1 predicted  [	TM4SF (TAAI6)]	Transmembrane 4 superfamily member 1 (predicted)	Signal transduction	AW435343	&#11;2.1 ± 0.2	0.039
S100a8 (Calgranulin A)	S100 calcium binding protein A8	Chemotaxis, calcium ion binding	NM_053822	&#11;5.5 ± 0.6	0.018
S100a9 (Calgranulin B)	S100 calcium binding protein A9	Chemotaxis, calcium ion binding	NM_053587	&#11;8.2 ± 0.5	0.027
