In vitro derived genes	Included in hypoxia classifier	Function
ADM	ADM	Stress response
AK3L1		Nucleotide metabolism
ALDOA	ALDOA	Glucose metabolism
ANKRD37	ANKRD37	Protein–protein interactions
ARRDC3		Cell surface metabolism
BNIP3	BNIP3	Apoptosis
BNIP3L	BNIP3L	Apoptosis
C3orf28	C3orf28	Unknown
C18orf19		Unknown
CCNG2		Cell cycle regulation
EGLN1		Regulation of HIF-1 activity
EGLN3	EGLN3	Regulation of HIF-1 activity
ERO1L		Oxidoreductase
FOSL2		Cell proliferation
GPI		Glucose metabolism
HIG2		Stress response
IGFBP3		Cell proliferation
JMJD1A		Histone demethylase
KCTD11	KCTD11	Apoptosis
LOC401152		Unknown
LOX	LOX	Extracellular-matrix metabolism
NDRG1	NDRG1	Stress response
P4HA1	P4HA1	Extracellular-matrix metabolism
P4HA2	P4HA2	Extracellular-matrix metabolism
PDK1	PDK1	Energy metabolism
PFKFB3	PFKFB3	Glucose metabolism
RORA		Unknown
SLC2A1	SLC2A1	Glucose metabolism
SLC6A8		Glucose metabolism
CA9		pH regulation
