Ensembl ID	External gene Id	Chr	Gene start (bp)	MYC-binding sites
ENSG00000160967	CUX1	7	101459240	7
ENSG00000148719	DNAJB12	10	74092588	7
ENSG00000169926	KLF13	15	31619058	6
ENSG00000197943	PLCG2	16	81812907	6
ENSG00000251607	AC_092275.1	16	85319914	6
ENSG00000152518	ZFP36L2	2	43449541	5
ENSG00000187514	PTMA	2	232571605	5
ENSG00000002822	MAD1L1	7	1855383	5
ENSG00000156030	C14orf43	14	74181825	5
ENSG00000103653	CSK	15	75074425	5
ENSG00000205047	AC_010536.1	16	87731749	5
ENSG00000104731	KLHDC4	16	87741418	5
ENSG00000142178	SIK1	21	44834395	5
ENSG00000159023	EPB41	1	29213628	4
ENSG00000248141	AC_096947.1	1	61590158	4
ENSG00000160685	ZBTB7B	1	154975133	4
ENSG00000239202	AC_104634.1	2	232510709	4
ENSG00000170522	ELOVL6	4	110967002	4
ENSG00000145919	BOD1	5	173034517	4
ENSG00000077809	GTF2I	7	74071994	4
ENSG00000014164	ZC3H3	8	144519825	4
ENSG00000196092	PAX5	9	36833272	4
ENSG00000201861	5S_rRNA	10	327955	4
ENSG00000108179	PPIF	10	81107225	4
ENSG00000168010	ATG16L2	11	72525451	4
ENSG00000135144	DTX1	12	113495662	4
ENSG00000015133	CCDC88C	14	91737669	4
ENSG00000103489	XYLT1	16	17201254	4
ENSG00000247033	AC_099508.1	16	75142499	4
ENSG00000167513	CDT1	16	88870186	4
ENSG00000070444	MNT	17	2287354	4
ENSG00000249750	AC_007431.1	17	55678228	4
ENSG00000185262	FAM100B	17	74261283	4
ENSG00000131196	NFATC1	18	77155772	4
ENSG00000116017	ARID3A	19	926037	4
ENSG00000127526	SLC35E1	19	16660650	4
ENSG00000101265	RASSF2	20	4760669	4
ENSG00000211685	IGLC7	22	23264766	4
ENSG00000128271	ADORA2A	22	24813847	4
ENSG00000183337	BCOR	X	39909068	4
ENSG00000090020	SLC9A1	1	27425306	3
ENSG00000117394	SLC2A1	1	43391519	3
ENSG00000143590	EFNA3	1	155036300	3
ENSG00000116604	MEF2D	1	156433519	3
ENSG00000228548	RP11-115P16.4	1	226856598	3
ENSG00000231435	AC_011747.3	2	8683722	3
ENSG00000180398	MCFD2	2	47129013	3
ENSG00000213399	AC_022210.2	2	85142910	3
ENSG00000135925	WNT10A	2	219745085	3
ENSG00000142330	CAPN10	2	241526133	3
ENSG00000144711	IQSEC1	3	12938719	3
ENSG00000131389	SLC6A6	3	14444076	3
ENSG00000203632	AC_007690.1	3	186650391	3
ENSG00000240723	AC_093602.2	4	140021531	3
ENSG00000164362	TERT	5	1253262	3
ENSG00000171421	MRPL36	5	1798500	3
ENSG00000043143	PHF15	5	133860003	3
ENSG00000164587	RPS14	5	149822753	3
ENSG00000145911	RP11-889L3.3	5	177540556	3
ENSG00000245916	CTC-205M6.1	5	180237401	3
ENSG00000196230	TUBB	6	30687978	3
ENSG00000197283	SYNGAP1	6	33387847	3
ENSG00000137309	HMGA1	6	34204577	3
ENSG00000112759	SLC29A1	6	44187242	3
ENSG00000211983	AL138919.2	6	88557263	3
ENSG00000224478	RP11-13P5.1	6	159528823	3
ENSG00000136231	IGF2BP3	7	23349828	3
ENSG00000160999	SH2B2	7	101928452	3
ENSG00000226380	AC_058791.1	7	130565751	3
ENSG00000128585	MKLN1	7	130794855	3
ENSG00000146963	LUC7L2	7	139025105	3
ENSG00000055130	CUL1	7	148395006	3
ENSG00000133740	E2F5	8	86089619	3
ENSG00000104472	CHRAC1	8	141521401	3
ENSG00000185730	ZNF696	8	144373559	3
ENSG00000165025	SYK	9	93564069	3
ENSG00000185963	BICD2	9	95473645	3
ENSG00000198113	C9orf167	9	140172201	3
ENSG00000165802	NELF	9	140342022	3
ENSG00000228637	BX322613.2	10	42388477	3
ENSG00000229485	AL031601.3	10	42644758	3
ENSG00000169813	HNRNPF	10	43881065	3
ENSG00000168209	DDIT4	10	74033678	3
ENSG00000232470	RP11-313D6.3	10	112629501	3
ENSG00000229455	RP13-238F13.4	10	126178392	3
ENSG00000174915	PTDSS2	11	450280	3
ENSG00000184281	TSSC4	11	2421718	3
ENSG00000188211	AC_124798.1	11	17373309	3
ENSG00000151702	FLI1	11	128563813	3
ENSG00000134294	SLC38A2	12	46751972	3
ENSG00000111737	RAB35	12	120532899	3
ENSG00000238121	RP11-374F3.4	13	30914407	3
ENSG00000005810	MYCBP2	13	77618792	3
