Gene Symbol	GENE	Fc MDA.FN(+)/MDA
SYNGR3	SYNGR3 (synaptogyrin 3)	-5,48
ZNF19	ZNF19 (zinc finger protein 19 (KOX 12))	-5,28
PBXIP1	PBXIP1 (pre-B-cell leukemia transcription factor interacting protein 1)	-5,10
GALC	GALC (galactosylceramidase (Krabbe disease))	-4,56
DPP4	DPP4 (dipeptidylpeptidase 4 (CD26, adenosine deaminase complexing protein 2))	-4,30
SPINT2	SPINT2 (serine protease inhibitor, Kunitz type, 2)	-3,85
IRF7	IRF7 (interferon regulatory factor 7)	-3,16
PTPRH	PTPRH (protein tyrosine phosphatase, receptor type, H)	-3,13
AHSA1	AHSA1 (AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast))	-3,04
LZTS2	LZTS2 (leucine zipper, putative tumor suppressor 2)	-2,96
TRPC4AP	TRPC4AP (transient receptor potential cation channel, subfamily C, member 4 associated protein)	-2,94
ODC	ODC-p (ornithine decarboxylase-like)	-2,94
PP2135	PP2135 (PP2135 protein)	-2,92
TOM1L2	TOM1L2 (target of myb1-like 2 (chicken))	-2,85
PFDN2	PFDN2 (prefoldin 2)	-2,80
PTK2B	PTK2B (PTK2B protein tyrosine kinase 2 beta)	-2,80
ADFP	ADFP (adipose differentiation-related protein)	-2,79
C10orf10	C10orf10 (chromosome 10 open reading frame 10)	-2,79
ATP5G2	ATP5G2 (ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 2)	-2,77
LY6G5B	LY6G5B (lymphocyte antigen 6 complex, locus G5B)	-2,73
CTL2	CTL2 (CTL2 gene)	-2,73
CPD	CPD (carboxypeptidase D)	-2,55
PROS1	PROS1 (protein S (alpha))	-2,53
TM7SF3	TM7SF3 (transmembrane 7 superfamily member 3)	-2,50
TMEM8	TMEM8 (transmembrane protein 8 (five membrane-spanning domains))	-2,46
CDKN2D	CDKN2D (cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4))	-2,46
INADL	INADL (InaD-like protein)	-2,42
NSE2	NSE2 (breast cancer membrane protein 101)	-2,39
DAG1	DAG1 (dystroglycan 1 (dystrophin-associated glycoprotein 1))	-2,36
KIAA0676	KIAA0676 (KIAA0676 protein)	-2,32
DKFZP434K046	DKFZP434K046 (hypothetical protein DKFZp434K046)	-2,32
KIAA1522	KIAA1522 (KIAA1522 protein)	-2,31
TESK1	TESK1 (testis-specific kinase 1)	-2,30
LOC56965	LOC56965 (hypothetical protein from EUROIMAGE 1977056)	-2,29
PRSS11	PRSS11 (protease, serine, 11 (IGF binding))	-2,28
FLJ10055	FLJ10055 (hypothetical protein FLJ10055)	-2,26
HLAF	HLA-F (major histocompatibility complex, class I, F)	-2,25
RPS6KA1	RPS6KA1 (ribosomal protein S6 kinase, 90kDa, polypeptide 1)	-2,24
ITGB5	ITGB5 (integrin, beta 5)	-2,21
FTHFSDC1	FTHFSDC1 (formyltetrahydrofolate synthetase domain containing 1)	-2,19
KATNB1	KATNB1 (katanin p80 (WD repeat containing) subunit B 1)	-2,14
LPIN2	LPIN2 (lipin 2)	-2,08
CTSH	CTSH (cathepsin H)	-2,06
FBXW1B	FBXW1B (F-box and WD-40 domain protein 1B)	-2,06
CCM2	CCM2 (cerebral cavernous malformation 2)	-2,04
PRKCZ	PRKCZ (protein kinase C, zeta)	-2,03
SORBS1	SORBS1 (sorbin and SH3 domain containing 1)	-2,02
FLJ13710	FLJ13710 (hypothetical protein FLJ13710)	-2,02
SPPL3	SPPL3 (signal peptide peptidase 3)	-2,02
USP20	USP20 (ubiquitin specific protease 20)	-2,01
PLA2G5	PLA2G5 (phospholipase A2, group V)	-2,01
TARDBP	TARDBP (TAR DNA binding protein)	2,01
C1GALT2	C1GALT2 (core 1 UDP-galactose:N-acetylgalactosamine-alpha-R beta 1,3-galactosyltransferase 2)	2,03
PIR51	PIR51 (RAD51-interacting protein)	2,03
GABRB3	GABRB3 (gamma-aminobutyric acid (GABA) A receptor, beta 3)	2,04
RAB8A	RAB8A (RAB8A, member RAS oncogene family)	2,05
TIE	TIE (tyrosine kinase with immunoglobulin and epidermal growth factor homology domains)	2,07
TACR2	TACR2 (tachykinin receptor 2)	2,10
ODC1	ODC1 (ornithine decarboxylase 1)	2,10
C7orf36	C7orf36 (chromosome 7 open reading frame 36)	2,12
CIRH1A	CIRH1A (cirrhosis, autosomal recessive 1A (cirhin))	2,14
LOC54499	LOC54499 (putative membrane protein)	2,15
SLC16A14	SLC16A14 (solute carrier family 16 (monocarboxylic acid transporters), member 14)	2,18
PP784	PP784 (PP784 protein)	2,22
KIDINS220	KIDINS220 (likely homolog of rat kinase D-interacting substance of 220 kDa)	2,22
CPNE1	CPNE1 (copine I)	2,22
C3orf4	C3orf4 (chromosome 3 open reading frame 4)	2,22
SFRS6	SFRS6 (splicing factor, arginine/serine-rich 6)	2,23
SPEC2	SPEC2 (non-kinase Cdc42 effector protein SPEC2)	2,23
TSGA14	TSGA14 (testis specific, 14)	2,26
TPX2	TPX2 (TPX2, microtubule-associated protein homolog (Xenopus laevis))	2,31
KEL	KEL (Kell blood group)	2,32
TEKT3	TEKT3 (tektin 3)	2,33
PAK6	PAK6 (p21(CDKN1A)-activated kinase 6)	2,36
TORC3	TORC3 (transducer of regulated cAMP response element-binding protein (CREB) 3)	2,38
CSTF3	CSTF3 (cleavage stimulation factor, 3 pre-RNA, subunit 3, 77kDa)	2,44
AMD1	AMD1 (adenosylmethionine decarboxylase 1)	2,46
FLJ22794	FLJ22794 (FLJ22794 protein)	2,51
HNRPH3	HNRPH3 (heterogeneous nuclear ribonucleoprotein H3 (2H9))	2,53
KIAA0020	KIAA0020 (KIAA0020)	2,53
UBE1C	UBE1C (ubiquitin-activating enzyme E1C (UBA3 homolog, yeast))	2,56
TLOC1	TLOC1 (translocation protein 1)	2,57
VPS26	VPS26 (vacuolar protein sorting 26 (yeast))	2,61
CCT5	CCT5 (chaperonin containing TCP1, subunit 5 (epsilon))	2,62
SFRS2	SFRS2 (splicing factor, arginine/serine-rich 2)	2,62
MDS025	MDS025 (hypothetical protein MDS025)	2,64
KNSL7	KNSL7 (kinesin-like 7)	2,65
KIAA0483	KIAA0483 (KIAA0483 protein)	2,66
AKAP11	AKAP11 (A kinase (PRKA) anchor protein 11)	2,74
NMI	NMI (N-myc (and STAT) interactor)	2,74
KIAA1279	KIAA1279 (KIAA1279)	2,76
MGC17943	MGC17943 (hypothetical protein MGC17943)	2,77
THBS1	THBS1 (thrombospondin 1)	2,78
NUCB2	NUCB2 (nucleobindin 2)	2,84
IRA1	IRA1 (likely ortholog of mouse IRA1 protein)	2,85
COPS5	COPS5 (COP9 constitutive photomorphogenic homolog subunit 5 (Arabidopsis))	2,87
CSNK1D	CSNK1D (casein kinase 1, delta)	2,89
CML66	CML66 (chronic myelogenous leukemia tumor antigen 66)	2,90
