Curated Gene Symbol	Genes with increased expression	logFC	Adjusted P
ACY1	ACY1	0.61	0.01
ARMCX2	ARMCX2	1.18	0.02
BCL2	BCL2	0.44	0.04
BIK	BIK	1.41	0.02
BLNK	BLNK	0.89	0.02
BSPRY	BSPRY	0.7	0.02
KIAA0226L	C13ORF18	1.37	0.02
NDUFAF3	C3ORF60	0.4	0.02
CBX3	CBX3	0.39	0.05
DALRD3	DALRD3	0.41	0.02
DBN1	DBN1	0.48	0.02
DLAT	DLAT	0.61	0.03
FUT8	FUT8	0.83	0.01
GNL3	GNL3	0.64	0.02
GOT2	GOT2	0.71	0.03
HIST2H4B	HIST2H4B	0.56	0.05
HMBS	HMBS	0.4	0.04
IGF2BP3	IGF2BP3	1.12	0.02
IMPDH2	IMPDH2	0.75	0.01
KIF15	KIF15	0.61	0.03
LIMD1	LIMD1	0.53	0.03
	LOC283412	0.47	0.03
LSM3	LSM3	0.47	0.02
MCM2	MCM2	0.76	0.02
TMSB15B	TMSB15B	0.75	0.01
MFN1	MFN1	0.58	0.03
TMSB15B	MGC39900	0.49	0.01
NPM3	NPM3	0.47	0.04
PHACTR1	PHACTR1	1.08	0
PKIG	PKIG	0.68	0.03
IPO5	RANBP5	0.46	0.03
RASAL1	RASAL1	0.49	0.04
RASGRF1	RASGRF1	0.77	0.03
RBBP8	RBBP8	0.56	0.03
RMI1	RMI1	0.52	0.04
RPL15	RPL15	0.68	0
RPL35A	RPL35A	0.39	0.03
RUVBL1	RUVBL1	0.57	0.02
SH3BP5	SH3BP5	0.83	0.02
SMARCC1	SMARCC1	0.45	0.04
SNRPD1	SNRPD1	0.59	0.03
TBL1XR1	TBL1XR1	0.99	0.01
TCF4	TCF4	0.9	0.02
TMEM97	TMEM97	0.74	0.02
