Gene Symbol	Probeset ID	p-value	Fold-Change
SCRG1	205475_at	0.000147942	14.0319
TAC1	206552_s_at	1.47E-25	13.3646
APOD	201525_at	6.60E-09	12.0899
COL15A1	203477_at	3.79E-09	10.3633
EDN3	208399_s_at	1.52E-11	8.7895
ARHGAP15	218870_at	1.23E-14	7.86546
BGN	213905_x_at	1.21E-14	7.65669
ASNS	205047_s_at	1.68E-09	6.98204
OLIG1	228170_at	0.000552805	6.71379
SOX2	228038_at	2.30E-06	6.22583
MMP1	204475_at	3.45E-08	6.2009
FGFBP3	238453_at	2.13E-09	6.08834
FABP7	205030_at	8.64E-05	5.89504
CHAC1	219270_at	3.47E-10	5.69458
NRCAM	204105_s_at	2.20E-06	5.65749
BGN	201261_x_at	6.83E-14	5.45217
LPL	203548_s_at	4.00E-09	5.42852
	215126_at	3.75E-10	5.36179
CDH19	206898_at	6.08E-06	5.27942
ERBB3	202454_s_at	1.43E-13	5.11484
ADRA2A	209869_at	6.08E-11	5.03062
ERBB3	226213_at	1.72E-13	4.94679
SLC7A11	209921_at	2.95E-11	4.7728
SLC7A11	217678_at	1.37E-11	4.75095
FABP7	205029_s_at	1.73E-05	4.64781
OLIG2	213825_at	0.000584638	4.6141
CBS	212816_s_at	2.09E-06	4.52657
BGN	201262_s_at	3.32E-10	4.40388
FREM2	230964_at	1.57E-06	4.38796
LPL	203549_s_at	1.25E-08	4.37905
CBS	1553972_a_at	1.13E-06	4.32218
BCHE	205433_at	0.00405527	4.22477
PPM1E	236302_at	1.26E-10	4.16516
ENPP2	209392_at	0.000465733	4.1093
CEACAM1	209498_at	0.00250882	4.07556
LOXL3	228253_at	1.54E-09	4.04749
TRIB3	218145_at	1.46E-07	4.0152
CDC42EP5	227850_x_at	2.45E-10	4.00691
RGS5	209071_s_at	1.26E-08	3.99431
ANGPT1	205609_at	5.43E-05	3.95907
TRIB3	1555788_a_at	8.19E-08	3.95253
LOC100128178	232090_at	9.38E-09	3.90562
RXRG	205954_at	0.000597697	3.90476
RGS5	218353_at	1.66E-08	3.89215
GPR155	231166_at	6.78E-06	3.7796
DEPDC6	218858_at	5.00E-07	3.67773
ANO1	218804_at	2.78E-06	3.66834
DDR2	225442_at	9.16E-09	3.61632
RGS5	209070_s_at	1.36E-08	3.61527
CDH19	1555403_a_at	3.40E-05	3.549
ENPP2	210839_s_at	0.00122078	3.5482
PRELP	204223_at	9.01E-07	3.53583
H19	224997_x_at	0.00307068	3.52443
CX3CL1	823_at	1.40E-07	3.52226
TMEM163	223503_at	5.75E-05	3.42335
KLF4	221841_s_at	1.06E-06	3.36891
	228218_at	1.57E-06	3.34344
IFITM1	214022_s_at	6.25E-05	3.33924
SORL1	212560_at	6.38E-07	3.30255
PELI1	218319_at	9.62E-09	3.28685
PCSK2	204870_s_at	1.56E-15	3.2859
SORCS1	228194_s_at	0.000558095	3.28359
CD36	228766_at	7.52E-06	3.26424
GPR64	206002_at	3.43E-06	3.25868
MRC2	37408_at	1.54E-06	3.24164
GPR126	213094_at	0.000350558	3.23233
IGFBP5	211959_at	0.000209233	3.22495
TXNIP	201010_s_at	1.14E-06	3.20775
	1554403_a_at	0.00105755	3.20618
ASS1	207076_s_at	2.89E-06	3.20489
ANGPT1	205608_s_at	1.47E-05	3.1863
HMCN1	235944_at	0.000120083	3.18261
DNM1	215116_s_at	1.03E-09	3.16794
FAM70A	219895_at	0.000219588	3.15674
SCARA5	229839_at	2.81E-05	3.15389
SEPT4	210657_s_at	0.000209579	3.14481
BMP2	205290_s_at	0.00421972	3.13672
PCK2	202847_at	1.68E-10	3.11981
CXCL11	211122_s_at	0.001493	3.10762
ANO4	236420_s_at	2.11E-05	3.09893
JDP2	226267_at	1.31E-09	3.09473
EGR1	227404_s_at	1.08E-07	3.08326
SPARCL1	200795_at	1.05E-06	3.08286
CCL18	32128_at	0.00026408	3.07997
CSPG4	204736_s_at	8.14E-05	3.07283
IGFBP2	202718_at	0.000805176	3.0705
TTYH1	219415_at	0.000398974	3.05508
EGR1	201694_s_at	3.83E-08	3.03758
CHST6	223786_at	1.52E-07	3.03114
RUNX2	232231_at	0.00166043	3.03013
	235494_at	1.17E-07	3.02399
AIF1L	223075_s_at	0.00261429	3.02063
EPHA3	206070_s_at	5.70E-07	3.02011
	235639_at	0.000171127	2.96493
IGDCC4	227870_at	0.002238	2.95798
CRABP1	205350_at	4.74E-13	2.92603
SERPINI1	205352_at	2.37E-06	2.92267
DDR2	205168_at	4.04E-09	2.91899
PSAT1	220892_s_at	0.000372869	2.90681
RGS1	202988_s_at	0.00153516	2.90474
ITIH5	219064_at	0.000124517	2.89366
LRRC17	205381_at	6.94E-09	2.89145
RGS1	216834_at	0.000275763	2.88325
SLAIN1	225619_at	0.00138581	2.87372
EDN3	217154_s_at	5.03E-09	2.8734
EDIL3	225275_at	0.00386348	2.87266
RGS5	1555725_a_at	7.48E-07	2.86733
SDC2	212154_at	2.79E-05	2.86342
PCOLCE	202465_at	4.41E-05	2.85799
CSPG4	214297_at	0.00337668	2.85307
ACSS2	234312_s_at	6.54E-09	2.84749
TOX	204529_s_at	1.29E-06	2.84009
CD36	209555_s_at	0.000708383	2.83329
IFITM1	201601_x_at	0.000270136	2.83142
CTH	217127_at	4.59E-08	2.81563
COL9A3	204724_s_at	1.26E-06	2.80954
BMP8B	235275_at	1.37E-05	2.80796
GLT25D2	209883_at	3.22E-08	2.79746
JPH1	229139_at	2.88E-06	2.79242
PDE7B	230109_at	1.61E-07	2.78672
CA12	203963_at	0.00363036	2.78664
PCDH18	225975_at	1.54E-09	2.77747
SOX2	213721_at	0.000162504	2.77363
KIAA1161	232244_at	1.27E-07	2.77173
SDC2	212158_at	6.83E-06	2.74981
MTSS1	203037_s_at	0.00131853	2.73372
VSNL1	203798_s_at	1.10E-16	2.72586
COL9A1	222008_at	1.76E-10	2.72402
CCL18	209924_at	0.000102435	2.72167
	214896_at	1.21E-08	2.71761
ARRDC4	225283_at	0.00227968	2.7109
DDIT4	202887_s_at	1.51E-06	2.70065
SLC35F1	228060_at	0.000266333	2.69682
SCARA5	235849_at	2.06E-05	2.69102
SEMA3G	219689_at	8.69E-11	2.68491
S100B	209686_at	2.86E-06	2.68341
QPRT	204044_at	0.00165998	2.67854
FOXD3	241612_at	0.000201403	2.67635
GPM6B	209170_s_at	2.40E-11	2.67207
TXNIP	201008_s_at	1.89E-05	2.66104
CHST1	205567_at	0.0005265	2.64277
BMP2	205289_at	0.00284936	2.64236
SLC7A11	207528_s_at	2.11E-18	2.64092
	236709_at	2.14E-09	2.63722
GAS7	202191_s_at	9.56E-09	2.63358
GAS7	202192_s_at	1.25E-06	2.61653
DLK1	209560_s_at	3.97E-06	2.61576
BEAN	214068_at	7.78E-11	2.6089
EGR3	206115_at	4.55E-06	2.60418
	227838_at	2.33E-11	2.60317
DDR2	227561_at	1.18E-07	2.59316
GPM6B	209167_at	9.42E-10	2.58884
FST	226847_at	0.00391124	2.57235
PAQR5	242871_at	2.71E-14	2.56845
SLITRK2	233051_at	8.24E-06	2.56511
HLA-DMB	203932_at	0.00032745	2.55308
NR4A2	216248_s_at	1.81E-10	2.55043
VSNL1	203797_at	2.17E-12	2.54677
PDGFRL	205226_at	0.00146218	2.53996
CD36	206488_s_at	0.000279142	2.53026
